 alpha    c_a    c_d    c_m
-180 0.00000 0.33907 0.00000
-178 0.02865 0.34014 0.04986
-175 0.05729 0.34336 0.09971
-173 0.08594 0.34870 0.14957
-171 0.11459 0.35613 0.19942
-169 0.14324 0.36559 0.20836
-166 0.17188 0.37703 0.19273
-164 0.20053 0.39036 0.17711
-162 0.22918 0.40551 0.16149
-159 0.25783 0.42237 0.15196
-157 0.28647 0.44083 0.16072
-155 0.31512 0.46076 0.16949
-153 0.34377 0.48204 0.17825
-150 0.37242 0.50453 0.18701
-148 0.40106 0.52807 0.18871
-144 0.38142 0.57292 0.18994
-140 0.36284 0.61974 0.19123
-136 0.34365 0.66751 0.19323
-131 0.32280 0.71517 0.19523
-127 0.29969 0.76169 0.19815
-123 0.27400 0.80604 0.20155
-119 0.24567 0.84721 0.20476
-115 0.21482 0.88430 0.20734
-111 0.18172 0.91645 0.20991
-107 0.14679 0.94294 0.21057
-102 0.11052 0.96313 0.21082
-98 0.07352 0.97654 0.20983
-94 0.03644 0.98280 0.20707
-90 0.00000 0.98171 0.20432
-86 -0.03644 0.98280 0.20034
-82 -0.07352 0.97654 0.19637
-78 -0.11052 0.96313 0.19077
-73 -0.14679 0.94294 0.18402
-69 -0.18172 0.91645 0.17695
-65 -0.21482 0.88430 0.16831
-61 -0.24567 0.84721 0.15968
-57 -0.27400 0.80604 0.15051
-53 -0.29969 0.76169 0.14116
-49 -0.32280 0.71517 0.13190
-44 -0.34365 0.66751 0.12277
-40 -0.36284 0.61974 0.11365
-36 -0.38142 0.57292 0.07619
-32 -0.40106 0.52807 0.03662
-28 -0.41019 0.42332 0.02319
-24 -0.39974 0.38516 0.01061
-20 -0.37272 0.35404 0.00005
-18 -0.35222 0.34104 -0.00424
-16 -0.32749 0.32959 -0.00774
-14 -0.29952 0.31961 -0.01029
-12 -0.26861 0.31093 -0.01186
-10 -0.23595 0.30337 -0.01245
 -8 -0.20671 0.29673 -0.01183
 -6 -0.18644 0.29077 -0.00995
 -4 -0.12623 0.28617 -0.01464
 -2 0.02127 0.28394 -0.02920
 -1 0.10748 0.28339 -0.03711
  0 0.19424 0.28308 -0.04448
  1 0.27928 0.28294 -0.05103
  2 0.36157 0.28296 -0.05667
  3 0.44059 0.28311 -0.06142
  4 0.51610 0.28340 -0.06533
  5 0.58784 0.28381 -0.06847
  6 0.65529 0.28437 -0.07085
  7 0.71713 0.28512 -0.07237
  8 0.77144 0.28614 -0.07291
  9 0.81506 0.28763 -0.07235
 10 0.84467 0.28992 -0.07093
 11 0.85018 0.29392 -0.06885
 12 0.81375 0.30168 -0.06685
 13 0.74123 0.31398 -0.06655
 14 0.67465 0.32762 -0.06825
 15 0.62868 0.34067 -0.07091
 16 0.59798 0.35305 -0.07387
 18 0.56297 0.37638 -0.07973
 20 0.54792 0.39845 -0.08529
 24 0.54830 0.44066 -0.09584
 28 0.55915 0.48309 -0.10614
 32 0.57295 0.52807 -0.11725
 36 0.54488 0.57292 -0.12570
 40 0.51834 0.61974 -0.13410
 44 0.49092 0.66751 -0.14171
 49 0.46114 0.71517 -0.14933
 53 0.42813 0.76169 -0.15660
 57 0.39143 0.80604 -0.16370
 61 0.35096 0.84721 -0.17060
 65 0.30688 0.88430 -0.17689
 69 0.25960 0.91645 -0.18318
 73 0.20969 0.94294 -0.18839
 78 0.15788 0.96313 -0.19337
 82 0.10503 0.97654 -0.19767
 86 0.05206 0.98280 -0.20100
 90 0.00000 0.98171 -0.20432
 94 -0.03644 0.98280 -0.20707
 98 -0.07352 0.97654 -0.20983
102 -0.11052 0.96313 -0.21082
107 -0.14679 0.94294 -0.21057
111 -0.18172 0.91645 -0.20991
115 -0.21482 0.88430 -0.20734
119 -0.24567 0.84721 -0.20476
123 -0.27400 0.80604 -0.20155
127 -0.29969 0.76169 -0.19815
131 -0.32280 0.71517 -0.19523
136 -0.34365 0.66751 -0.19323
140 -0.36284 0.61974 -0.19123
144 -0.38142 0.57292 -0.18994
148 -0.40106 0.52807 -0.18871
150 -0.37242 0.50453 -0.18701
153 -0.34377 0.48204 -0.17825
155 -0.31512 0.46076 -0.16949
157 -0.28647 0.44083 -0.16072
159 -0.25783 0.42237 -0.15196
162 -0.22918 0.40551 -0.17083
164 -0.20053 0.39036 -0.19892
166 -0.17188 0.37703 -0.22701
169 -0.14324 0.36559 -0.25510
171 -0.11459 0.35613 -0.24928
173 -0.08594 0.34870 -0.18696
175 -0.05729 0.34336 -0.12464
178 -0.02865 0.34014 -0.06232
180 0.00000 0.33907 0.00000
