 alpha    c_a    c_d    c_m
-180 0.00000 0.09993 0.00000
-178 0.05370 0.10192 0.09143
-175 0.10740 0.10787 0.18286
-173 0.16110 0.11774 0.27429
-171 0.21480 0.13148 0.36571
-169 0.26851 0.14899 0.38607
-166 0.32221 0.17015 0.36378
-164 0.37591 0.19482 0.34149
-162 0.42961 0.22286 0.31920
-159 0.48331 0.25406 0.30650
-157 0.53701 0.28823 0.32256
-155 0.59071 0.32514 0.33862
-153 0.64441 0.36454 0.35468
-150 0.69812 0.40619 0.37074
-148 0.75182 0.44980 0.37272
-144 0.71276 0.53292 0.37268
-140 0.67621 0.61975 0.37278
-136 0.63896 0.70840 0.37485
-131 0.59899 0.79694 0.37693
-127 0.55513 0.88346 0.38110
-123 0.50677 0.96605 0.38638
-119 0.45375 1.04289 0.39135
-115 0.39629 1.11230 0.39537
-111 0.33486 1.17270 0.39938
-107 0.27020 1.22275 0.39994
-102 0.20325 1.26129 0.39978
-98 0.13507 1.28740 0.39735
-94 0.06689 1.30044 0.39170
-90 0.00000 1.30000 0.38604
-86 -0.06689 1.30044 0.37740
-82 -0.13507 1.28740 0.36875
-78 -0.20325 1.26129 0.35721
-73 -0.27020 1.22275 0.34364
-69 -0.33486 1.17270 0.32952
-65 -0.39629 1.11230 0.31273
-61 -0.45375 1.04289 0.29594
-57 -0.50677 0.96605 0.27834
-53 -0.55513 0.88346 0.26047
-49 -0.59899 0.79694 0.24275
-44 -0.63896 0.70840 0.22532
-40 -0.67621 0.61975 0.20788
-36 -0.71276 0.53292 0.14316
-32 -0.75182 0.44980 0.07494
-28 -0.84790 0.26947 0.04960
-24 -0.83498 0.20028 0.02631
-20 -0.79767 0.14295 0.00702
-18 -0.76767 0.11894 -0.00054
-16 -0.73012 0.09787 -0.00643
-14 -0.68698 0.07959 -0.01035
-12 -0.63871 0.06365 -0.01239
-10 -0.59007 0.04979 -0.01248
 -8 -0.54841 0.03754 -0.01085
 -6 -0.48107 0.02715 -0.01422
 -4 -0.26454 0.02070 -0.03639
 -2 0.04138 0.01774 -0.06489
 -1 0.19691 0.01698 -0.07741
  0 0.34905 0.01656 -0.08826
  1 0.49664 0.01640 -0.09747
  2 0.63960 0.01645 -0.10526
  3 0.77822 0.01669 -0.11186
  4 0.91266 0.01710 -0.11745
  5 1.04281 0.01768 -0.12215
  6 1.16829 0.01844 -0.12600
  7 1.28812 0.01942 -0.12894
  8 1.40037 0.02067 -0.13078
  9 1.50184 0.02233 -0.13126
 10 1.58741 0.02463 -0.12997
 11 1.65218 0.02802 -0.12714
 12 1.68588 0.03347 -0.12325
 13 1.66686 0.04341 -0.11924
 14 1.56910 0.06163 -0.11719
 15 1.43309 0.08652 -0.11905
 16 1.32060 0.11234 -0.12376
 18 1.18522 0.16047 -0.13555
 20 1.12051 0.20408 -0.14691
 24 1.08090 0.28499 -0.16778
 28 1.07613 0.36583 -0.18799
 32 1.07402 0.44980 -0.20829
 36 1.01823 0.53292 -0.22583
 40 0.96602 0.61975 -0.24320
 44 0.91279 0.70840 -0.25834
 49 0.85570 0.79694 -0.27348
 53 0.79304 0.88346 -0.28787
 57 0.72396 0.96605 -0.30187
 61 0.64822 1.04289 -0.31553
 65 0.56612 1.11230 -0.32816
 69 0.47837 1.17270 -0.34078
 73 0.38600 1.22275 -0.35156
 78 0.29035 1.26129 -0.36195
 82 0.19296 1.28740 -0.37113
 86 0.09556 1.30044 -0.37859
 90 0.00000 1.30000 -0.38604
 94 -0.06689 1.30044 -0.39170
 98 -0.13507 1.28740 -0.39735
102 -0.20325 1.26129 -0.39978
107 -0.27020 1.22275 -0.39994
111 -0.33486 1.17270 -0.39938
115 -0.39629 1.11230 -0.39537
119 -0.45375 1.04289 -0.39135
123 -0.50677 0.96605 -0.38638
127 -0.55513 0.88346 -0.38110
131 -0.59899 0.79694 -0.37693
136 -0.63896 0.70840 -0.37485
140 -0.67621 0.61975 -0.37278
144 -0.71276 0.53292 -0.37268
148 -0.75182 0.44980 -0.37272
150 -0.69812 0.40619 -0.37074
153 -0.64441 0.36454 -0.35468
155 -0.59071 0.32514 -0.33862
157 -0.53701 0.28823 -0.32256
159 -0.48331 0.25406 -0.30650
162 -0.42961 0.22286 -0.33634
164 -0.37591 0.19482 -0.38149
166 -0.32221 0.17015 -0.42664
169 -0.26851 0.14899 -0.47178
171 -0.21480 0.13148 -0.45714
173 -0.16110 0.11774 -0.34286
175 -0.10740 0.10787 -0.22857
178 -0.05370 0.10192 -0.11429
180 0.00000 0.09993 0.00000
