 alpha    c_a    c_d    c_m
-180 0.00000 0.58147 0.00000
-178 0.00203 0.58154 0.00354
-175 0.00407 0.58177 0.00708
-173 0.00610 0.58215 0.01062
-171 0.00814 0.58268 0.01417
-169 0.01017 0.58335 0.01480
-166 0.01221 0.58416 0.01369
-164 0.01424 0.58511 0.01258
-162 0.01628 0.58618 0.01147
-159 0.01831 0.58738 0.01079
-157 0.02035 0.58869 0.01142
-155 0.02238 0.59011 0.01204
-153 0.02442 0.59162 0.01266
-150 0.02645 0.59322 0.01328
-148 0.02849 0.59489 0.01340
-144 0.02709 0.59808 0.01349
-140 0.02577 0.60140 0.01358
-136 0.02441 0.60480 0.01373
-131 0.02293 0.60818 0.01387
-127 0.02129 0.61149 0.01407
-123 0.01946 0.61464 0.01432
-119 0.01745 0.61756 0.01454
-115 0.01526 0.62019 0.01473
-111 0.01291 0.62248 0.01491
-107 0.01043 0.62436 0.01496
-102 0.00785 0.62579 0.01498
-98 0.00522 0.62675 0.01490
-94 0.00259 0.62719 0.01471
-90 0.00000 0.62711 0.01451
-86 -0.00259 0.62719 0.01423
-82 -0.00522 0.62675 0.01395
-78 -0.00785 0.62579 0.01355
-73 -0.01043 0.62436 0.01307
-69 -0.01291 0.62248 0.01257
-65 -0.01526 0.62019 0.01196
-61 -0.01745 0.61756 0.01134
-57 -0.01946 0.61464 0.01069
-53 -0.02129 0.61149 0.01003
-49 -0.02293 0.60818 0.00937
-44 -0.02441 0.60480 0.00872
-40 -0.02577 0.60140 0.00807
-36 -0.02709 0.59808 0.00541
-32 -0.02849 0.59489 0.00260
-28 -0.02914 0.58745 0.00165
-24 -0.02839 0.58474 0.00075
-20 -0.02648 0.58253 0.00000
-18 -0.02502 0.58161 -0.00030
-16 -0.02326 0.58079 -0.00055
-14 -0.02128 0.58008 -0.00073
-12 -0.01908 0.57947 -0.00084
-10 -0.01676 0.57893 -0.00088
 -8 -0.01468 0.57846 -0.00084
 -6 -0.01324 0.57803 -0.00071
 -4 -0.00897 0.57771 -0.00104
 -2 0.00151 0.57755 -0.00207
 -1 0.00763 0.57751 -0.00264
  0 0.01380 0.57749 -0.00316
  1 0.01984 0.57748 -0.00362
  2 0.02568 0.57748 -0.00403
  3 0.03130 0.57749 -0.00436
  4 0.03666 0.57751 -0.00464
  5 0.04176 0.57754 -0.00486
  6 0.04655 0.57758 -0.00503
  7 0.05094 0.57763 -0.00514
  8 0.05480 0.57771 -0.00518
  9 0.05790 0.57781 -0.00514
 10 0.06000 0.57797 -0.00504
 11 0.06039 0.57826 -0.00489
 12 0.05780 0.57881 -0.00475
 13 0.05265 0.57968 -0.00473
 14 0.04792 0.58065 -0.00485
 15 0.04466 0.58158 -0.00504
 16 0.04248 0.58246 -0.00525
 18 0.03999 0.58412 -0.00566
 20 0.03892 0.58568 -0.00606
 24 0.03895 0.58868 -0.00681
 28 0.03972 0.59170 -0.00754
 32 0.04070 0.59489 -0.00833
 36 0.03870 0.59808 -0.00893
 40 0.03682 0.60140 -0.00953
 44 0.03487 0.60480 -0.01007
 49 0.03276 0.60818 -0.01061
 53 0.03041 0.61149 -0.01112
 57 0.02780 0.61464 -0.01163
 61 0.02493 0.61756 -0.01212
 65 0.02180 0.62019 -0.01256
 69 0.01844 0.62248 -0.01301
 73 0.01489 0.62436 -0.01338
 78 0.01121 0.62579 -0.01374
 82 0.00746 0.62675 -0.01404
 86 0.00370 0.62719 -0.01428
 90 0.00000 0.62711 -0.01451
 94 -0.00259 0.62719 -0.01471
 98 -0.00522 0.62675 -0.01490
102 -0.00785 0.62579 -0.01498
107 -0.01043 0.62436 -0.01496
111 -0.01291 0.62248 -0.01491
115 -0.01526 0.62019 -0.01473
119 -0.01745 0.61756 -0.01454
123 -0.01946 0.61464 -0.01432
127 -0.02129 0.61149 -0.01407
131 -0.02293 0.60818 -0.01387
136 -0.02441 0.60480 -0.01373
140 -0.02577 0.60140 -0.01358
144 -0.02709 0.59808 -0.01349
148 -0.02849 0.59489 -0.01340
150 -0.02645 0.59322 -0.01328
153 -0.02442 0.59162 -0.01266
155 -0.02238 0.59011 -0.01204
157 -0.02035 0.58869 -0.01142
159 -0.01831 0.58738 -0.01079
162 -0.01628 0.58618 -0.01213
164 -0.01424 0.58511 -0.01413
166 -0.01221 0.58416 -0.01612
169 -0.01017 0.58335 -0.01812
171 -0.00814 0.58268 -0.01771
173 -0.00610 0.58215 -0.01328
175 -0.00407 0.58177 -0.00885
178 -0.00203 0.58154 -0.00443
180 0.00000 0.58147 0.00000
