 alpha    c_a    c_d    c_m
-180 0.00000 0.07947 0.00000
-178 0.04774 0.08179 0.09143
-175 0.09549 0.08875 0.18286
-173 0.14323 0.10028 0.27429
-171 0.19097 0.11633 0.36571
-169 0.23871 0.13679 0.38709
-166 0.28646 0.16152 0.36644
-164 0.33420 0.19036 0.34578
-162 0.38194 0.22312 0.32512
-159 0.42968 0.25960 0.31378
-157 0.47743 0.29955 0.33035
-155 0.52517 0.34272 0.34693
-153 0.57291 0.38882 0.36350
-150 0.62066 0.43756 0.38008
-148 0.66840 0.48862 0.38700
-144 0.66022 0.58597 0.39704
-140 0.64823 0.68776 0.40705
-136 0.63039 0.79179 0.41662
-131 0.60549 0.89584 0.42620
-127 0.57287 0.99767 0.43584
-123 0.53237 1.09508 0.44552
-119 0.48414 1.18597 0.45433
-115 0.42869 1.26836 0.46041
-111 0.36675 1.34044 0.46648
-107 0.29932 1.40064 0.46753
-102 0.22756 1.44762 0.46754
-98 0.15277 1.48030 0.46467
-94 0.07642 1.49792 0.45773
-90 0.00000 1.50000 0.45080
-86 -0.07642 1.49792 0.43897
-82 -0.15277 1.48030 0.42715
-78 -0.22756 1.44762 0.41187
-73 -0.29932 1.40064 0.39414
-69 -0.36675 1.34044 0.37571
-65 -0.42869 1.26836 0.35385
-61 -0.48414 1.18597 0.33200
-57 -0.53237 1.09508 0.30879
-53 -0.57287 0.99767 0.28514
-49 -0.60549 0.89584 0.26150
-44 -0.63039 0.79179 0.23787
-40 -0.64823 0.68776 0.21423
-36 -0.66022 0.58597 0.15942
-32 -0.66840 0.48862 0.10231
-28 -0.59550 0.38606 0.08235
-24 -1.07947 0.15853 0.02319
-20 -1.17303 0.09205 -0.00172
-18 -1.17143 0.07064 -0.00723
-16 -1.15426 0.05318 -0.00996
-14 -1.13425 0.03808 -0.01161
-12 -1.08121 0.02431 -0.01978
-10 -0.88474 0.01537 -0.04162
 -8 -0.63397 0.01199 -0.05619
 -6 -0.38319 0.01045 -0.06540
 -4 -0.13397 0.00968 -0.07252
 -2 0.11370 0.00937 -0.07858
 -1 0.23682 0.00934 -0.08133
  0 0.35929 0.00940 -0.08392
  1 0.48106 0.00954 -0.08636
  2 0.60194 0.00975 -0.08865
  3 0.72177 0.01004 -0.09078
  4 0.84033 0.01042 -0.09273
  5 0.95733 0.01090 -0.09449
  6 1.07249 0.01149 -0.09603
  7 1.18521 0.01219 -0.09731
  8 1.29522 0.01306 -0.09829
  9 1.40143 0.01410 -0.09890
 10 1.50253 0.01540 -0.09905
 11 1.59662 0.01705 -0.09862
 12 1.68001 0.01926 -0.09747
 13 1.74679 0.02250 -0.09567
 14 1.78283 0.02800 -0.09338
 15 1.76455 0.03810 -0.09106
 16 1.69832 0.05335 -0.09001
 18 1.55756 0.08938 -0.09363
 20 1.47755 0.12447 -0.10129
 24 1.36753 0.19936 -0.12223
 28 1.19892 0.30803 -0.15515
 32 0.95485 0.48862 -0.19422
 36 0.94317 0.58597 -0.21988
 40 0.92604 0.68776 -0.24535
 44 0.90056 0.79179 -0.26807
 49 0.86498 0.89584 -0.29080
 53 0.81839 0.99767 -0.31202
 57 0.76052 1.09508 -0.33245
 61 0.69163 1.18597 -0.35224
 65 0.61241 1.26836 -0.37001
 69 0.52393 1.34044 -0.38778
 73 0.42760 1.40064 -0.40271
 78 0.32508 1.44762 -0.41705
 82 0.21825 1.48030 -0.42981
 86 0.10916 1.49792 -0.44030
 90 0.00000 1.50000 -0.45080
 94 -0.07642 1.49792 -0.45773
 98 -0.15277 1.48030 -0.46467
102 -0.22756 1.44762 -0.46754
107 -0.29932 1.40064 -0.46753
111 -0.36675 1.34044 -0.46648
115 -0.42869 1.26836 -0.46041
119 -0.48414 1.18597 -0.45433
123 -0.53237 1.09508 -0.44552
127 -0.57287 0.99767 -0.43584
131 -0.60549 0.89584 -0.42620
136 -0.63039 0.79179 -0.41662
140 -0.64823 0.68776 -0.40705
144 -0.66022 0.58597 -0.39704
148 -0.66840 0.48862 -0.38700
150 -0.62066 0.43756 -0.38008
153 -0.57291 0.38882 -0.36350
155 -0.52517 0.34272 -0.34693
157 -0.47743 0.29955 -0.33035
159 -0.42968 0.25960 -0.31378
162 -0.38194 0.22312 -0.34227
164 -0.33420 0.19036 -0.38578
166 -0.28646 0.16152 -0.42929
169 -0.23871 0.13679 -0.47280
171 -0.19097 0.11633 -0.45714
173 -0.14323 0.10028 -0.34286
175 -0.09549 0.08875 -0.22857
178 -0.04774 0.08179 -0.11429
180 0.00000 0.07947 0.00000
