 alpha    c_a    c_d    c_m
-180 0.00000 0.09968 0.00000
-178 0.05371 0.10166 0.09143
-175 0.10742 0.10762 0.18286
-173 0.16113 0.11749 0.27429
-171 0.21484 0.13123 0.36571
-169 0.26855 0.14874 0.38610
-166 0.32226 0.16990 0.36387
-164 0.37597 0.19458 0.34164
-162 0.42969 0.22262 0.31941
-159 0.48340 0.25382 0.30675
-157 0.53711 0.28799 0.32281
-155 0.59082 0.32491 0.33887
-153 0.64453 0.36432 0.35493
-150 0.69824 0.40597 0.37099
-148 0.75195 0.44959 0.37296
-144 0.71287 0.53272 0.37289
-140 0.67630 0.61955 0.37297
-136 0.63903 0.70822 0.37503
-131 0.59905 0.79678 0.37709
-127 0.55518 0.88331 0.38125
-123 0.50680 0.96591 0.38652
-119 0.45378 1.04277 0.39149
-115 0.39630 1.11219 0.39549
-111 0.33487 1.17261 0.39950
-107 0.27021 1.22268 0.40006
-102 0.20325 1.26123 0.39989
-98 0.13507 1.28737 0.39745
-94 0.06689 1.30042 0.39179
-90 0.00000 1.30000 0.38613
-86 -0.06689 1.30042 0.37747
-82 -0.13507 1.28737 0.36881
-78 -0.20325 1.26123 0.35726
-73 -0.27021 1.22268 0.34368
-69 -0.33487 1.17261 0.32954
-65 -0.39630 1.11219 0.31274
-61 -0.45378 1.04277 0.29594
-57 -0.50680 0.96591 0.27833
-53 -0.55518 0.88331 0.26046
-49 -0.59905 0.79678 0.24273
-44 -0.63903 0.70822 0.22529
-40 -0.67630 0.61955 0.20784
-36 -0.71287 0.53272 0.14314
-32 -0.75195 0.44959 0.07495
-28 -0.84888 0.26930 0.04960
-24 -0.83593 0.20015 0.02630
-20 -0.79865 0.14284 0.00702
-18 -0.76868 0.11884 -0.00054
-16 -0.73116 0.09778 -0.00642
-14 -0.68806 0.07951 -0.01033
-12 -0.63982 0.06357 -0.01236
-10 -0.59126 0.04972 -0.01245
 -8 -0.54962 0.03748 -0.01083
 -6 -0.48160 0.02709 -0.01430
 -4 -0.26446 0.02066 -0.03652
 -2 0.04140 0.01771 -0.06498
 -1 0.19683 0.01696 -0.07746
  0 0.34885 0.01654 -0.08828
  1 0.49634 0.01638 -0.09747
  2 0.63922 0.01643 -0.10523
  3 0.77776 0.01667 -0.11181
  4 0.91215 0.01708 -0.11739
  5 1.04226 0.01765 -0.12208
  6 1.16771 0.01841 -0.12592
  7 1.28754 0.01939 -0.12886
  8 1.39981 0.02064 -0.13070
  9 1.50135 0.02230 -0.13118
 10 1.58703 0.02459 -0.12990
 11 1.65198 0.02796 -0.12708
 12 1.68601 0.03339 -0.12319
 13 1.66765 0.04327 -0.11918
 14 1.57097 0.06139 -0.11711
 15 1.43575 0.08616 -0.11892
 16 1.32322 0.11193 -0.12358
 18 1.18715 0.16007 -0.13535
 20 1.12199 0.20370 -0.14672
 24 1.08181 0.28465 -0.16761
 28 1.07669 0.36554 -0.18785
 32 1.07421 0.44959 -0.20818
 36 1.01838 0.53272 -0.22574
 40 0.96614 0.61955 -0.24314
 44 0.91290 0.70822 -0.25829
 49 0.85579 0.79678 -0.27344
 53 0.79311 0.88331 -0.28784
 57 0.72401 0.96591 -0.30185
 61 0.64826 1.04277 -0.31553
 65 0.56615 1.11219 -0.32817
 69 0.47839 1.17261 -0.34080
 73 0.38602 1.22268 -0.35159
 78 0.29036 1.26123 -0.36200
 82 0.19296 1.28737 -0.37119
 86 0.09556 1.30042 -0.37866
 90 0.00000 1.30000 -0.38613
 94 -0.06689 1.30042 -0.39179
 98 -0.13507 1.28737 -0.39745
102 -0.20325 1.26123 -0.39989
107 -0.27021 1.22268 -0.40006
111 -0.33487 1.17261 -0.39950
115 -0.39630 1.11219 -0.39549
119 -0.45378 1.04277 -0.39149
123 -0.50680 0.96591 -0.38652
127 -0.55518 0.88331 -0.38125
131 -0.59905 0.79678 -0.37709
136 -0.63903 0.70822 -0.37503
140 -0.67630 0.61955 -0.37297
144 -0.71287 0.53272 -0.37289
148 -0.75195 0.44959 -0.37296
150 -0.69824 0.40597 -0.37099
153 -0.64453 0.36432 -0.35493
155 -0.59082 0.32491 -0.33887
157 -0.53711 0.28799 -0.32281
159 -0.48340 0.25382 -0.30675
162 -0.42969 0.22262 -0.33655
164 -0.37597 0.19458 -0.38164
166 -0.32226 0.16990 -0.42673
169 -0.26855 0.14874 -0.47182
171 -0.21484 0.13123 -0.45714
173 -0.16113 0.11749 -0.34286
175 -0.10742 0.10762 -0.22857
178 -0.05371 0.10166 -0.11429
180 0.00000 0.09968 0.00000
