 alpha    c_a    c_d    c_m
-180 0.00000 0.09103 0.00000
-178 0.05404 0.09302 0.09143
-175 0.10807 0.09900 0.18286
-173 0.16211 0.10891 0.27429
-171 0.21614 0.12269 0.36571
-169 0.27018 0.14026 0.38733
-166 0.32421 0.16150 0.36706
-164 0.37825 0.18627 0.34678
-162 0.43228 0.21441 0.32651
-159 0.48632 0.24573 0.31531
-157 0.54036 0.28003 0.33135
-155 0.59439 0.31708 0.34739
-153 0.64843 0.35664 0.36343
-150 0.70246 0.39846 0.37947
-148 0.75650 0.44225 0.38107
-144 0.71658 0.52573 0.38021
-140 0.67932 0.61296 0.37953
-136 0.64147 0.70204 0.38107
-131 0.60101 0.79106 0.38261
-127 0.55672 0.87807 0.38639
-123 0.50800 0.96118 0.39135
-119 0.45468 1.03858 0.39603
-115 0.39696 1.10855 0.39981
-111 0.33532 1.16956 0.40359
-107 0.27050 1.22022 0.40395
-102 0.20341 1.25938 0.40358
-98 0.13514 1.28612 0.40094
-94 0.06691 1.29979 0.39508
-90 0.00000 1.30000 0.38922
-86 -0.06691 1.29979 0.38006
-82 -0.13514 1.28612 0.37090
-78 -0.20341 1.25938 0.35888
-73 -0.27050 1.22022 0.34486
-69 -0.33532 1.16956 0.33029
-65 -0.39696 1.10855 0.31314
-61 -0.45468 1.03858 0.29599
-57 -0.50800 0.96118 0.27808
-53 -0.55672 0.87807 0.25993
-49 -0.60101 0.79106 0.24193
-44 -0.64147 0.70204 0.22421
-40 -0.67932 0.61296 0.20649
-36 -0.71658 0.52573 0.14248
-32 -0.75650 0.44225 0.07503
-28 -0.88223 0.26343 0.04933
-24 -0.86859 0.19562 0.02605
-20 -0.83218 0.13915 0.00695
-18 -0.80324 0.11545 -0.00042
-16 -0.76693 0.09470 -0.00604
-14 -0.72509 0.07668 -0.00965
-12 -0.67810 0.06094 -0.01142
-10 -0.63226 0.04725 -0.01122
 -8 -0.59122 0.03516 -0.00993
 -6 -0.50008 0.02525 -0.01689
 -4 -0.26166 0.01943 -0.04104
 -2 0.04231 0.01675 -0.06796
 -1 0.19401 0.01608 -0.07929
  0 0.34207 0.01571 -0.08899
  1 0.48599 0.01559 -0.09722
  2 0.62592 0.01565 -0.10422
  3 0.76210 0.01588 -0.11022
  4 0.89468 0.01627 -0.11534
  5 1.02348 0.01682 -0.11969
  6 1.14811 0.01753 -0.12328
  7 1.26775 0.01844 -0.12607
  8 1.38068 0.01960 -0.12788
  9 1.48421 0.02111 -0.12847
 10 1.57392 0.02316 -0.12747
 11 1.64523 0.02611 -0.12491
 12 1.69058 0.03069 -0.12122
 13 1.69458 0.03865 -0.11722
 14 1.63508 0.05292 -0.11432
 15 1.52713 0.07376 -0.11435
 16 1.41333 0.09797 -0.11747
 18 1.25363 0.14633 -0.12846
 20 1.17274 0.19077 -0.14020
 24 1.11321 0.27302 -0.16194
 28 1.09582 0.35534 -0.18309
 32 1.08071 0.44225 -0.20442
 36 1.02368 0.52573 -0.22277
 40 0.97045 0.61296 -0.24094
 44 0.91638 0.70204 -0.25655
 49 0.85858 0.79106 -0.27215
 53 0.79532 0.87807 -0.28696
 57 0.72571 0.96118 -0.30135
 61 0.64954 1.03858 -0.31541
 65 0.56708 1.10855 -0.32845
 69 0.47903 1.16956 -0.34149
 73 0.38642 1.22022 -0.35273
 78 0.29058 1.25938 -0.36360
 82 0.19306 1.28612 -0.37327
 86 0.09559 1.29979 -0.38125
 90 0.00000 1.30000 -0.38922
 94 -0.06691 1.29979 -0.39508
 98 -0.13514 1.28612 -0.40094
102 -0.20341 1.25938 -0.40358
107 -0.27050 1.22022 -0.40395
111 -0.33532 1.16956 -0.40359
115 -0.39696 1.10855 -0.39981
119 -0.45468 1.03858 -0.39603
123 -0.50800 0.96118 -0.39135
127 -0.55672 0.87807 -0.38639
131 -0.60101 0.79106 -0.38261
136 -0.64147 0.70204 -0.38107
140 -0.67932 0.61296 -0.37953
144 -0.71658 0.52573 -0.38021
148 -0.75650 0.44225 -0.38107
150 -0.70246 0.39846 -0.37947
153 -0.64843 0.35664 -0.36343
155 -0.59439 0.31708 -0.34739
157 -0.54036 0.28003 -0.33135
159 -0.48632 0.24573 -0.31531
162 -0.43228 0.21441 -0.34365
164 -0.37825 0.18627 -0.38678
166 -0.32421 0.16150 -0.42991
169 -0.27018 0.14026 -0.47304
171 -0.21614 0.12269 -0.45714
173 -0.16211 0.10891 -0.34286
175 -0.10807 0.09900 -0.22857
178 -0.05404 0.09302 -0.11429
180 0.00000 0.09103 0.00000
