 alpha    c_a    c_d    c_m
-180 0.00000 0.05056 0.00000
-178 0.05027 0.05290 0.09143
-175 0.10054 0.05992 0.18286
-173 0.15082 0.07158 0.27429
-171 0.20109 0.08779 0.36571
-169 0.25136 0.10845 0.38860
-166 0.30163 0.13343 0.37036
-164 0.35190 0.16256 0.35211
-162 0.40218 0.19567 0.33387
-159 0.45245 0.23253 0.32438
-157 0.50272 0.27291 0.34116
-155 0.55299 0.31655 0.35794
-153 0.60326 0.36316 0.37472
-150 0.65354 0.41245 0.39150
-148 0.70381 0.46410 0.39731
-144 0.68907 0.56262 0.40500
-140 0.67171 0.66570 0.41271
-136 0.64940 0.77114 0.42080
-131 0.62072 0.87671 0.42888
-127 0.58491 0.98015 0.43762
-123 0.54168 1.07927 0.44670
-119 0.49115 1.17195 0.45504
-115 0.43377 1.25620 0.46103
-111 0.37024 1.33021 0.46702
-107 0.30154 1.39240 0.46820
-102 0.22879 1.44140 0.46838
-98 0.15332 1.47614 0.46573
-94 0.07655 1.49583 0.45906
-90 0.00000 1.50000 0.45239
-86 -0.07655 1.49583 0.43983
-82 -0.15332 1.47614 0.42727
-78 -0.22879 1.44140 0.41139
-73 -0.30154 1.39240 0.39314
-69 -0.37024 1.33021 0.37424
-65 -0.43377 1.25620 0.35218
-61 -0.49115 1.17195 0.33012
-57 -0.54168 1.07927 0.30698
-53 -0.58491 0.98015 0.28348
-49 -0.62072 0.87671 0.26008
-44 -0.64940 0.77114 0.23685
-40 -0.67171 0.66570 0.21362
-36 -0.68907 0.56262 0.15563
-32 -0.70381 0.46410 0.09506
-28 -0.86522 0.28966 0.06128
-24 -1.06862 0.16202 0.02224
-20 -1.10676 0.10205 0.00079
-18 -1.09619 0.08051 -0.00490
-16 -1.07254 0.06254 -0.00802
-14 -1.04343 0.04710 -0.00940
-12 -1.00445 0.03340 -0.01217
-10 -0.89933 0.02235 -0.02307
 -8 -0.68465 0.01562 -0.04241
 -6 -0.41950 0.01248 -0.06018
 -4 -0.15730 0.01110 -0.07200
 -2 0.09935 0.01053 -0.08066
 -1 0.22611 0.01043 -0.08433
  0 0.35189 0.01044 -0.08769
  1 0.47666 0.01053 -0.09077
  2 0.60033 0.01072 -0.09360
  3 0.72273 0.01099 -0.09618
  4 0.84365 0.01136 -0.09852
  5 0.96284 0.01183 -0.10059
  6 1.07997 0.01242 -0.10236
  7 1.19444 0.01313 -0.10380
  8 1.30581 0.01399 -0.10485
  9 1.41289 0.01505 -0.10540
 10 1.51420 0.01635 -0.10532
 11 1.60741 0.01801 -0.10443
 12 1.68924 0.02021 -0.10261
 13 1.75502 0.02339 -0.10005
 14 1.79395 0.02851 -0.09704
 15 1.78578 0.03763 -0.09405
 16 1.72610 0.05215 -0.09249
 18 1.56262 0.09075 -0.09657
 20 1.45550 0.13029 -0.10606
 24 1.31838 0.21311 -0.13012
 28 1.17506 0.31841 -0.16118
 32 1.00544 0.46410 -0.19474
 36 0.98439 0.56262 -0.22009
 40 0.95959 0.66570 -0.24523
 44 0.92771 0.77114 -0.26748
 49 0.88675 0.87671 -0.28973
 53 0.83558 0.98015 -0.31065
 57 0.77383 1.07927 -0.33086
 61 0.70165 1.17195 -0.35052
 65 0.61967 1.25620 -0.36845
 69 0.52892 1.33021 -0.38638
 73 0.43077 1.39240 -0.40175
 78 0.32685 1.44140 -0.41660
 82 0.21903 1.47614 -0.42994
 86 0.10936 1.49583 -0.44116
 90 0.00000 1.50000 -0.45239
 94 -0.07655 1.49583 -0.45906
 98 -0.15332 1.47614 -0.46573
102 -0.22879 1.44140 -0.46838
107 -0.30154 1.39240 -0.46820
111 -0.37024 1.33021 -0.46702
115 -0.43377 1.25620 -0.46103
119 -0.49115 1.17195 -0.45504
123 -0.54168 1.07927 -0.44670
127 -0.58491 0.98015 -0.43762
131 -0.62072 0.87671 -0.42888
136 -0.64940 0.77114 -0.42080
140 -0.67171 0.66570 -0.41271
144 -0.68907 0.56262 -0.40500
148 -0.70381 0.46410 -0.39731
150 -0.65354 0.41245 -0.39150
153 -0.60326 0.36316 -0.37472
155 -0.55299 0.31655 -0.35794
157 -0.50272 0.27291 -0.34116
159 -0.45245 0.23253 -0.32438
162 -0.40218 0.19567 -0.35101
164 -0.35190 0.16256 -0.39211
166 -0.30163 0.13343 -0.43321
169 -0.25136 0.10845 -0.47431
171 -0.20109 0.08779 -0.45714
173 -0.15082 0.07158 -0.34286
175 -0.10054 0.05992 -0.22857
178 -0.05027 0.05290 -0.11429
180 0.00000 0.05056 0.00000
