 alpha    c_a    c_d    c_m
-180 0.00000 0.12216 0.00000
-178 0.05246 0.12413 0.09130
-175 0.10492 0.13002 0.18260
-173 0.15739 0.13980 0.27390
-171 0.20985 0.15339 0.36521
-169 0.26231 0.17072 0.38156
-166 0.31477 0.19167 0.35295
-164 0.36723 0.21609 0.32434
-162 0.41970 0.24383 0.29573
-159 0.47216 0.27470 0.27828
-157 0.52462 0.30850 0.29433
-155 0.57708 0.34501 0.31038
-153 0.62954 0.38398 0.32643
-150 0.68201 0.42516 0.34248
-148 0.73447 0.46827 0.34558
-144 0.69849 0.55040 0.34784
-140 0.66446 0.63615 0.35020
-136 0.62932 0.72362 0.35386
-131 0.59115 0.81092 0.35752
-127 0.54882 0.89611 0.36287
-123 0.50178 0.97731 0.36911
-119 0.44990 1.05272 0.37498
-115 0.39340 1.12064 0.37970
-111 0.33279 1.17952 0.38442
-107 0.26881 1.22803 0.38561
-102 0.20239 1.26500 0.38607
-98 0.13463 1.28955 0.38426
-94 0.06674 1.30101 0.37921
-90 0.00000 1.29903 0.37417
-86 -0.06674 1.30101 0.36689
-82 -0.13463 1.28955 0.35961
-78 -0.20239 1.26500 0.34935
-73 -0.26881 1.22803 0.33700
-69 -0.33279 1.17952 0.32405
-65 -0.39340 1.12064 0.30824
-61 -0.44990 1.05272 0.29243
-57 -0.50178 0.97731 0.27563
-53 -0.54882 0.89611 0.25851
-49 -0.59115 0.81092 0.24154
-44 -0.62932 0.72362 0.22484
-40 -0.66446 0.63615 0.20813
-36 -0.69849 0.55040 0.13952
-32 -0.73447 0.46827 0.06706
-28 -0.75118 0.27645 0.04247
-24 -0.73204 0.20656 0.01944
-20 -0.68256 0.14958 0.00010
-18 -0.64502 0.12577 -0.00776
-16 -0.59974 0.10480 -0.01417
-14 -0.54851 0.08652 -0.01885
-12 -0.49191 0.07062 -0.02172
-10 -0.43209 0.05679 -0.02280
 -8 -0.37855 0.04463 -0.02166
 -6 -0.34143 0.03371 -0.01822
 -4 -0.23117 0.02528 -0.02681
 -2 0.03895 0.02119 -0.05347
 -1 0.19683 0.02019 -0.06796
  0 0.35571 0.01962 -0.08145
  1 0.51145 0.01937 -0.09345
  2 0.66214 0.01941 -0.10379
  3 0.80685 0.01969 -0.11247
  4 0.94513 0.02020 -0.11964
  5 1.07650 0.02096 -0.12540
  6 1.20003 0.02198 -0.12975
  7 1.31327 0.02335 -0.13254
  8 1.41273 0.02524 -0.13352
  9 1.49262 0.02796 -0.13249
 10 1.54685 0.03216 -0.12990
 11 1.55693 0.03948 -0.12608
 12 1.49023 0.05368 -0.12242
 13 1.35741 0.07621 -0.12188
 14 1.23548 0.10119 -0.12499
 15 1.15130 0.12508 -0.12986
 16 1.09508 0.14777 -0.13527
 18 1.03097 0.19049 -0.14602
 20 1.00340 0.23090 -0.15619
 24 1.00410 0.30821 -0.17551
 28 1.02398 0.38591 -0.19437
 32 1.04924 0.46827 -0.21471
 36 0.99784 0.55040 -0.23020
 40 0.94923 0.63615 -0.24558
 44 0.89902 0.72362 -0.25952
 49 0.84449 0.81092 -0.27347
 53 0.78403 0.89611 -0.28679
 57 0.71682 0.97731 -0.29978
 61 0.64271 1.05272 -0.31241
 65 0.56199 1.12064 -0.32393
 69 0.47541 1.17952 -0.33545
 73 0.38401 1.22803 -0.34500
 78 0.28913 1.26500 -0.35413
 82 0.19233 1.28955 -0.36200
 86 0.09534 1.30101 -0.36808
 90 0.00000 1.29903 -0.37417
 94 -0.06674 1.30101 -0.37921
 98 -0.13463 1.28955 -0.38426
102 -0.20239 1.26500 -0.38607
107 -0.26881 1.22803 -0.38561
111 -0.33279 1.17952 -0.38442
115 -0.39340 1.12064 -0.37970
119 -0.44990 1.05272 -0.37498
123 -0.50178 0.97731 -0.36911
127 -0.54882 0.89611 -0.36287
131 -0.59115 0.81092 -0.35752
136 -0.62932 0.72362 -0.35386
140 -0.66446 0.63615 -0.35020
144 -0.69849 0.55040 -0.34784
148 -0.73447 0.46827 -0.34558
150 -0.68201 0.42516 -0.34248
153 -0.62954 0.38398 -0.32643
155 -0.57708 0.34501 -0.31038
157 -0.52462 0.30850 -0.29433
159 -0.47216 0.27470 -0.27828
162 -0.41970 0.24383 -0.31285
164 -0.36723 0.21609 -0.36428
166 -0.31477 0.19167 -0.41572
169 -0.26231 0.17072 -0.46716
171 -0.20985 0.15339 -0.45651
173 -0.15739 0.13980 -0.34238
175 -0.10492 0.13002 -0.22825
178 -0.05246 0.12413 -0.11413
180 0.00000 0.12216 0.00000
