 alpha    c_a    c_d    c_m
-180 0.00000 0.05618 0.00000
-178 0.04978 0.05853 0.09143
-175 0.09956 0.06553 0.18286
-173 0.14934 0.07716 0.27429
-171 0.19912 0.09334 0.36571
-169 0.24890 0.11396 0.38831
-166 0.29868 0.13889 0.36959
-164 0.34846 0.16797 0.35088
-162 0.39824 0.20101 0.33217
-159 0.44802 0.23780 0.32232
-157 0.49780 0.27809 0.33906
-155 0.54758 0.32164 0.35580
-153 0.59736 0.36816 0.37254
-150 0.64714 0.41734 0.38928
-148 0.69692 0.46887 0.39530
-144 0.68346 0.56717 0.40345
-140 0.66714 0.67000 0.41161
-136 0.64570 0.77516 0.41999
-131 0.61776 0.88043 0.42836
-127 0.58257 0.98356 0.43727
-123 0.53987 1.08235 0.44647
-119 0.48979 1.17468 0.45490
-115 0.43278 1.25857 0.46091
-111 0.36956 1.33220 0.46691
-107 0.30111 1.39400 0.46807
-102 0.22855 1.44261 0.46822
-98 0.15322 1.47695 0.46552
-94 0.07653 1.49623 0.45880
-90 0.00000 1.50000 0.45208
-86 -0.07653 1.49623 0.43966
-82 -0.15322 1.47695 0.42725
-78 -0.22855 1.44261 0.41148
-73 -0.30111 1.39400 0.39334
-69 -0.36956 1.33220 0.37453
-65 -0.43278 1.25857 0.35251
-61 -0.48979 1.17468 0.33049
-57 -0.53987 1.08235 0.30733
-53 -0.58257 0.98356 0.28380
-49 -0.61776 0.88043 0.26036
-44 -0.64570 0.77516 0.23705
-40 -0.66714 0.67000 0.21374
-36 -0.68346 0.56717 0.15637
-32 -0.69692 0.46887 0.09647
-28 -0.81272 0.30843 0.06538
-24 -1.07073 0.16134 0.02242
-20 -1.11966 0.10010 0.00031
-18 -1.11083 0.07859 -0.00535
-16 -1.08845 0.06071 -0.00839
-14 -1.06111 0.04534 -0.00983
-12 -1.01939 0.03163 -0.01365
-10 -0.89649 0.02099 -0.02668
 -8 -0.67478 0.01492 -0.04510
 -6 -0.41243 0.01208 -0.06120
 -4 -0.15276 0.01082 -0.07210
 -2 0.10214 0.01030 -0.08025
 -1 0.22819 0.01022 -0.08375
  0 0.35333 0.01023 -0.08696
  1 0.47752 0.01034 -0.08991
  2 0.60064 0.01053 -0.09264
  3 0.72254 0.01081 -0.09513
  4 0.84301 0.01118 -0.09739
  5 0.96177 0.01165 -0.09940
  6 1.07851 0.01224 -0.10113
  7 1.19265 0.01295 -0.10254
  8 1.30375 0.01381 -0.10358
  9 1.41066 0.01486 -0.10414
 10 1.51193 0.01617 -0.10410
 11 1.60531 0.01782 -0.10330
 12 1.68745 0.02003 -0.10161
 13 1.75342 0.02321 -0.09920
 14 1.79179 0.02841 -0.09633
 15 1.78165 0.03772 -0.09347
 16 1.72069 0.05238 -0.09201
 18 1.56163 0.09048 -0.09599
 20 1.45979 0.12916 -0.10513
 24 1.32795 0.21043 -0.12858
 28 1.17970 0.31639 -0.16000
 32 0.99559 0.46887 -0.19464
 36 0.97637 0.56717 -0.22005
 40 0.95306 0.67000 -0.24525
 44 0.92243 0.77516 -0.26760
 49 0.88251 0.88043 -0.28994
 53 0.83224 0.98356 -0.31091
 57 0.77124 1.08235 -0.33117
 61 0.69970 1.17468 -0.35086
 65 0.61825 1.25857 -0.36875
 69 0.52795 1.33220 -0.38665
 73 0.43015 1.39400 -0.40194
 78 0.32650 1.44261 -0.41668
 82 0.21888 1.47695 -0.42991
 86 0.10932 1.49623 -0.44100
 90 0.00000 1.50000 -0.45208
 94 -0.07653 1.49623 -0.45880
 98 -0.15322 1.47695 -0.46552
102 -0.22855 1.44261 -0.46822
107 -0.30111 1.39400 -0.46807
111 -0.36956 1.33220 -0.46691
115 -0.43278 1.25857 -0.46091
119 -0.48979 1.17468 -0.45490
123 -0.53987 1.08235 -0.44647
127 -0.58257 0.98356 -0.43727
131 -0.61776 0.88043 -0.42836
136 -0.64570 0.77516 -0.41999
140 -0.66714 0.67000 -0.41161
144 -0.68346 0.56717 -0.40345
148 -0.69692 0.46887 -0.39530
150 -0.64714 0.41734 -0.38928
153 -0.59736 0.36816 -0.37254
155 -0.54758 0.32164 -0.35580
157 -0.49780 0.27809 -0.33906
159 -0.44802 0.23780 -0.32232
162 -0.39824 0.20101 -0.34931
164 -0.34846 0.16797 -0.39088
166 -0.29868 0.13889 -0.43245
169 -0.24890 0.11396 -0.47402
171 -0.19912 0.09334 -0.45714
173 -0.14934 0.07716 -0.34286
175 -0.09956 0.06553 -0.22857
178 -0.04978 0.05853 -0.11429
180 0.00000 0.05618 0.00000
