 alpha    c_a    c_d    c_m
-180 0.00000 0.07120 0.00000
-178 0.04847 0.07353 0.09143
-175 0.09693 0.08051 0.18286
-173 0.14540 0.09208 0.27429
-171 0.19386 0.10817 0.36571
-169 0.24233 0.12868 0.38752
-166 0.29080 0.15348 0.36756
-164 0.33926 0.18241 0.34759
-162 0.38773 0.21527 0.32763
-159 0.43619 0.25186 0.31681
-157 0.48466 0.29194 0.33344
-155 0.53312 0.33524 0.35008
-153 0.58159 0.38149 0.36671
-150 0.63006 0.43038 0.38334
-148 0.67852 0.48161 0.38995
-144 0.66847 0.57930 0.39931
-140 0.65494 0.68145 0.40867
-136 0.63583 0.78589 0.41782
-131 0.60984 0.89037 0.42697
-127 0.57631 0.99266 0.43635
-123 0.53503 1.09056 0.44586
-119 0.48615 1.18196 0.45453
-115 0.43014 1.26488 0.46058
-111 0.36775 1.33752 0.46664
-107 0.29996 1.39829 0.46772
-102 0.22791 1.44584 0.46778
-98 0.15293 1.47911 0.46497
-94 0.07645 1.49732 0.45811
-90 0.00000 1.50000 0.45125
-86 -0.07645 1.49732 0.43922
-82 -0.15293 1.47911 0.42718
-78 -0.22791 1.44584 0.41173
-73 -0.29996 1.39829 0.39386
-69 -0.36775 1.33752 0.37529
-65 -0.43014 1.26488 0.35337
-61 -0.48615 1.18196 0.33146
-57 -0.53503 1.09056 0.30827
-53 -0.57631 0.99266 0.28467
-49 -0.60984 0.89037 0.26110
-44 -0.63583 0.78589 0.23758
-40 -0.65494 0.68145 0.21405
-36 -0.66847 0.57930 0.15834
-32 -0.67852 0.48161 0.10024
-28 -0.67262 0.35850 0.07632
-24 -1.07637 0.15953 0.02291
-20 -1.15409 0.09491 -0.00100
-18 -1.14992 0.07346 -0.00656
-16 -1.13089 0.05585 -0.00940
-14 -1.10829 0.04066 -0.01098
-12 -1.05927 0.02691 -0.01761
-10 -0.88891 0.01736 -0.03632
 -8 -0.64846 0.01303 -0.05225
 -6 -0.39357 0.01103 -0.06391
 -4 -0.14064 0.01008 -0.07237
 -2 0.10960 0.00970 -0.07917
 -1 0.23376 0.00965 -0.08219
  0 0.35718 0.00970 -0.08500
  1 0.47980 0.00982 -0.08762
  2 0.60148 0.01003 -0.09007
  3 0.72204 0.01032 -0.09232
  4 0.84128 0.01069 -0.09439
  5 0.95891 0.01117 -0.09623
  6 1.07463 0.01175 -0.09784
  7 1.18785 0.01246 -0.09916
  8 1.29825 0.01332 -0.10016
  9 1.40471 0.01437 -0.10076
 10 1.50587 0.01567 -0.10084
 11 1.59971 0.01732 -0.10028
 12 1.68265 0.01953 -0.09894
 13 1.74915 0.02275 -0.09692
 14 1.78601 0.02815 -0.09443
 15 1.77062 0.03796 -0.09192
 16 1.70626 0.05300 -0.09072
 18 1.55900 0.08977 -0.09447
 20 1.47124 0.12613 -0.10265
 24 1.35348 0.20329 -0.12449
 28 1.19210 0.31100 -0.15687
 32 0.96932 0.48161 -0.19437
 36 0.95496 0.57930 -0.21994
 40 0.93563 0.68145 -0.24531
 44 0.90832 0.78589 -0.26790
 49 0.87120 0.89037 -0.29049
 53 0.82331 0.99266 -0.31163
 57 0.76433 1.09056 -0.33199
 61 0.69449 1.18196 -0.35175
 65 0.61448 1.26488 -0.36956
 69 0.52536 1.33752 -0.38738
 73 0.42851 1.39829 -0.40244
 78 0.32559 1.44584 -0.41692
 82 0.21847 1.47911 -0.42984
 86 0.10922 1.49732 -0.44055
 90 0.00000 1.50000 -0.45125
 94 -0.07645 1.49732 -0.45811
 98 -0.15293 1.47911 -0.46497
102 -0.22791 1.44584 -0.46778
107 -0.29996 1.39829 -0.46772
111 -0.36775 1.33752 -0.46664
115 -0.43014 1.26488 -0.46058
119 -0.48615 1.18196 -0.45453
123 -0.53503 1.09056 -0.44586
127 -0.57631 0.99266 -0.43635
131 -0.60984 0.89037 -0.42697
136 -0.63583 0.78589 -0.41782
140 -0.65494 0.68145 -0.40867
144 -0.66847 0.57930 -0.39931
148 -0.67852 0.48161 -0.38995
150 -0.63006 0.43038 -0.38334
153 -0.58159 0.38149 -0.36671
155 -0.53312 0.33524 -0.35008
157 -0.48466 0.29194 -0.33344
159 -0.43619 0.25186 -0.31681
162 -0.38773 0.21527 -0.34477
164 -0.33926 0.18241 -0.38759
166 -0.29080 0.15348 -0.43041
169 -0.24233 0.12868 -0.47324
171 -0.19386 0.10817 -0.45714
173 -0.14540 0.09208 -0.34286
175 -0.09693 0.08051 -0.22857
178 -0.04847 0.07353 -0.11429
180 0.00000 0.07120 0.00000
