 alpha    c_a    c_d    c_m
-180 0.00000 0.27314 0.00000
-178 0.03589 0.27449 0.06245
-175 0.07177 0.27852 0.12491
-173 0.10766 0.28521 0.18736
-171 0.14354 0.29451 0.24981
-169 0.17943 0.30636 0.26100
-166 0.21531 0.32069 0.24143
-164 0.25120 0.33739 0.22186
-162 0.28708 0.35637 0.20229
-159 0.32297 0.37749 0.19035
-157 0.35886 0.40061 0.20133
-155 0.39474 0.42558 0.21231
-153 0.43063 0.45224 0.22329
-150 0.46651 0.48041 0.23427
-148 0.50240 0.50990 0.23639
-144 0.47779 0.56607 0.23794
-140 0.45451 0.62472 0.23955
-136 0.43047 0.68456 0.24205
-131 0.40436 0.74427 0.24455
-127 0.37541 0.80255 0.24821
-123 0.34323 0.85809 0.25248
-119 0.30774 0.90967 0.25650
-115 0.26909 0.95613 0.25972
-111 0.22764 0.99641 0.26295
-107 0.18387 1.02959 0.26377
-102 0.13844 1.05488 0.26409
-98 0.09209 1.07167 0.26284
-94 0.04565 1.07951 0.25939
-90 0.00000 1.07815 0.25594
-86 -0.04565 1.07951 0.25096
-82 -0.09209 1.07167 0.24598
-78 -0.13844 1.05488 0.23897
-73 -0.18387 1.02959 0.23051
-69 -0.22764 0.99641 0.22166
-65 -0.26909 0.95613 0.21084
-61 -0.30774 0.90967 0.20003
-57 -0.34323 0.85809 0.18854
-53 -0.37541 0.80255 0.17683
-49 -0.40436 0.74427 0.16522
-44 -0.43047 0.68456 0.15380
-40 -0.45451 0.62472 0.14237
-36 -0.47779 0.56607 0.09544
-32 -0.50240 0.50990 0.04587
-28 -0.51383 0.37868 0.02905
-24 -0.50074 0.33087 0.01330
-20 -0.46689 0.29190 0.00007
-18 -0.44121 0.27561 -0.00531
-16 -0.41024 0.26127 -0.00969
-14 -0.37519 0.24877 -0.01290
-12 -0.33648 0.23789 -0.01486
-10 -0.29556 0.22843 -0.01560
 -8 -0.25894 0.22011 -0.01481
 -6 -0.23354 0.21264 -0.01246
 -4 -0.15813 0.20687 -0.01834
 -2 0.02664 0.20408 -0.03657
 -1 0.13463 0.20339 -0.04649
  0 0.24331 0.20300 -0.05572
  1 0.34985 0.20283 -0.06392
  2 0.45292 0.20286 -0.07099
  3 0.55191 0.20305 -0.07694
  4 0.64649 0.20340 -0.08184
  5 0.73636 0.20392 -0.08577
  6 0.82086 0.20462 -0.08875
  7 0.89832 0.20556 -0.09066
  8 0.96635 0.20684 -0.09133
  9 1.02100 0.20871 -0.09062
 10 1.05809 0.21158 -0.08885
 11 1.06499 0.21659 -0.08625
 12 1.01936 0.22630 -0.08374
 13 0.92851 0.24171 -0.08337
 14 0.84510 0.25880 -0.08549
 15 0.78752 0.27514 -0.08883
 16 0.74906 0.29066 -0.09253
 18 0.70521 0.31988 -0.09988
 20 0.68636 0.34753 -0.10684
 24 0.68684 0.40040 -0.12005
 28 0.70043 0.45355 -0.13295
 32 0.71771 0.50990 -0.14687
 36 0.68255 0.56607 -0.15746
 40 0.64930 0.62472 -0.16798
 44 0.61496 0.68456 -0.17752
 49 0.57766 0.74427 -0.18706
 53 0.53630 0.80255 -0.19617
 57 0.49033 0.85809 -0.20506
 61 0.43963 0.90967 -0.21370
 65 0.38442 0.95613 -0.22158
 69 0.32519 0.99641 -0.22946
 73 0.26267 1.02959 -0.23599
 78 0.19778 1.05488 -0.24223
 82 0.13156 1.07167 -0.24762
 86 0.06521 1.07951 -0.25178
 90 0.00000 1.07815 -0.25594
 94 -0.04565 1.07951 -0.25939
 98 -0.09209 1.07167 -0.26284
102 -0.13844 1.05488 -0.26409
107 -0.18387 1.02959 -0.26377
111 -0.22764 0.99641 -0.26295
115 -0.26909 0.95613 -0.25972
119 -0.30774 0.90967 -0.25650
123 -0.34323 0.85809 -0.25248
127 -0.37541 0.80255 -0.24821
131 -0.40436 0.74427 -0.24455
136 -0.43047 0.68456 -0.24205
140 -0.45451 0.62472 -0.23955
144 -0.47779 0.56607 -0.23794
148 -0.50240 0.50990 -0.23639
150 -0.46651 0.48041 -0.23427
153 -0.43063 0.45224 -0.22329
155 -0.39474 0.42558 -0.21231
157 -0.35886 0.40061 -0.20133
159 -0.32297 0.37749 -0.19035
162 -0.28708 0.35637 -0.21400
164 -0.25120 0.33739 -0.24918
166 -0.21531 0.32069 -0.28436
169 -0.17943 0.30636 -0.31955
171 -0.14354 0.29451 -0.31226
173 -0.10766 0.28521 -0.23420
175 -0.07177 0.27852 -0.15613
178 -0.03589 0.27449 -0.07807
180 0.00000 0.27314 0.00000
