 alpha    c_a    c_d    c_m
-180 0.00000 0.48874 0.00000
-178 0.01221 0.48920 0.02126
-175 0.02443 0.49057 0.04252
-173 0.03664 0.49285 0.06377
-171 0.04886 0.49602 0.08503
-169 0.06107 0.50005 0.08884
-166 0.07329 0.50493 0.08218
-164 0.08550 0.51061 0.07552
-162 0.09772 0.51707 0.06885
-159 0.10993 0.52426 0.06479
-157 0.12215 0.53213 0.06853
-155 0.13436 0.54063 0.07227
-153 0.14658 0.54971 0.07600
-150 0.15879 0.55929 0.07974
-148 0.17101 0.56933 0.08046
-144 0.16263 0.58845 0.08099
-140 0.15471 0.60842 0.08154
-136 0.14652 0.62878 0.08239
-131 0.13764 0.64911 0.08324
-127 0.12778 0.66894 0.08449
-123 0.11683 0.68785 0.08594
-119 0.10475 0.70541 0.08731
-115 0.09159 0.72122 0.08840
-111 0.07748 0.73493 0.08950
-107 0.06259 0.74622 0.08978
-102 0.04712 0.75483 0.08989
-98 0.03135 0.76055 0.08947
-94 0.01554 0.76322 0.08829
-90 0.00000 0.76275 0.08712
-86 -0.01554 0.76322 0.08542
-82 -0.03135 0.76055 0.08373
-78 -0.04712 0.75483 0.08134
-73 -0.06259 0.74622 0.07846
-69 -0.07748 0.73493 0.07545
-65 -0.09159 0.72122 0.07177
-61 -0.10475 0.70541 0.06809
-57 -0.11683 0.68785 0.06417
-53 -0.12778 0.66894 0.06019
-49 -0.13764 0.64911 0.05624
-44 -0.14652 0.62878 0.05235
-40 -0.15471 0.60842 0.04846
-36 -0.16263 0.58845 0.03248
-32 -0.17101 0.56933 0.01561
-28 -0.17490 0.52467 0.00989
-24 -0.17044 0.50839 0.00453
-20 -0.15892 0.49513 0.00002
-18 -0.15018 0.48959 -0.00181
-16 -0.13964 0.48470 -0.00330
-14 -0.12771 0.48045 -0.00439
-12 -0.11453 0.47675 -0.00506
-10 -0.10060 0.47352 -0.00531
 -8 -0.08814 0.47069 -0.00504
 -6 -0.07949 0.46815 -0.00424
 -4 -0.05382 0.46619 -0.00624
 -2 0.00907 0.46524 -0.01245
 -1 0.04583 0.46500 -0.01582
  0 0.08282 0.46487 -0.01896
  1 0.11908 0.46481 -0.02176
  2 0.15417 0.46482 -0.02416
  3 0.18786 0.46489 -0.02619
  4 0.22005 0.46501 -0.02786
  5 0.25064 0.46518 -0.02920
  6 0.27940 0.46542 -0.03021
  7 0.30577 0.46574 -0.03086
  8 0.32893 0.46618 -0.03109
  9 0.34753 0.46681 -0.03085
 10 0.36015 0.46779 -0.03024
 11 0.36250 0.46950 -0.02936
 12 0.34697 0.47280 -0.02850
 13 0.31605 0.47805 -0.02838
 14 0.28766 0.48386 -0.02910
 15 0.26806 0.48942 -0.03024
 16 0.25497 0.49471 -0.03150
 18 0.24004 0.50465 -0.03400
 20 0.23362 0.51406 -0.03637
 24 0.23378 0.53206 -0.04086
 28 0.23841 0.55015 -0.04525
 32 0.24429 0.56933 -0.04999
 36 0.23233 0.58845 -0.05360
 40 0.22101 0.60842 -0.05718
 44 0.20932 0.62878 -0.06042
 49 0.19662 0.64911 -0.06367
 53 0.18254 0.66894 -0.06677
 57 0.16690 0.68785 -0.06980
 61 0.14964 0.70541 -0.07274
 65 0.13085 0.72122 -0.07542
 69 0.11069 0.73493 -0.07810
 73 0.08941 0.74622 -0.08033
 78 0.06732 0.75483 -0.08245
 82 0.04478 0.76055 -0.08428
 86 0.02220 0.76322 -0.08570
 90 0.00000 0.76275 -0.08712
 94 -0.01554 0.76322 -0.08829
 98 -0.03135 0.76055 -0.08947
102 -0.04712 0.75483 -0.08989
107 -0.06259 0.74622 -0.08978
111 -0.07748 0.73493 -0.08950
115 -0.09159 0.72122 -0.08840
119 -0.10475 0.70541 -0.08731
123 -0.11683 0.68785 -0.08594
127 -0.12778 0.66894 -0.08449
131 -0.13764 0.64911 -0.08324
136 -0.14652 0.62878 -0.08239
140 -0.15471 0.60842 -0.08154
144 -0.16263 0.58845 -0.08099
148 -0.17101 0.56933 -0.08046
150 -0.15879 0.55929 -0.07974
153 -0.14658 0.54971 -0.07600
155 -0.13436 0.54063 -0.07227
157 -0.12215 0.53213 -0.06853
159 -0.10993 0.52426 -0.06479
162 -0.09772 0.51707 -0.07284
164 -0.08550 0.51061 -0.08482
166 -0.07329 0.50493 -0.09679
169 -0.06107 0.50005 -0.10877
171 -0.04886 0.49602 -0.10629
173 -0.03664 0.49285 -0.07972
175 -0.02443 0.49057 -0.05314
178 -0.01221 0.48920 -0.02657
180 0.00000 0.48874 0.00000
