 alpha    c_a    c_d    c_m
-180 0.00000 0.05543 0.00000
-178 0.04985 0.05777 0.09143
-175 0.09969 0.06478 0.18286
-173 0.14954 0.07642 0.27429
-171 0.19938 0.09260 0.36571
-169 0.24923 0.11322 0.38834
-166 0.29907 0.13816 0.36970
-164 0.34892 0.16725 0.35105
-162 0.39877 0.20030 0.33240
-159 0.44861 0.23709 0.32260
-157 0.49846 0.27740 0.33934
-155 0.54830 0.32096 0.35609
-153 0.59815 0.36749 0.37283
-150 0.64799 0.41668 0.38957
-148 0.69784 0.46823 0.39557
-144 0.68421 0.56656 0.40366
-140 0.66775 0.66942 0.41176
-136 0.64620 0.77463 0.42009
-131 0.61815 0.87994 0.42843
-127 0.58288 0.98311 0.43732
-123 0.54011 1.08194 0.44650
-119 0.48997 1.17431 0.45492
-115 0.43291 1.25825 0.46092
-111 0.36966 1.33194 0.46693
-107 0.30116 1.39379 0.46809
-102 0.22859 1.44244 0.46824
-98 0.15323 1.47684 0.46555
-94 0.07653 1.49618 0.45883
-90 0.00000 1.50000 0.45212
-86 -0.07653 1.49618 0.43969
-82 -0.15323 1.47684 0.42725
-78 -0.22859 1.44244 0.41147
-73 -0.30116 1.39379 0.39331
-69 -0.36966 1.33194 0.37449
-65 -0.43291 1.25825 0.35246
-61 -0.48997 1.17431 0.33044
-57 -0.54011 1.08194 0.30728
-53 -0.58288 0.98311 0.28376
-49 -0.61815 0.87994 0.26032
-44 -0.64620 0.77463 0.23702
-40 -0.66775 0.66942 0.21372
-36 -0.68421 0.56656 0.15627
-32 -0.69784 0.46823 0.09629
-28 -0.81975 0.30591 0.06483
-24 -1.07045 0.16143 0.02240
-20 -1.11793 0.10037 0.00037
-18 -1.10887 0.07885 -0.00529
-16 -1.08632 0.06096 -0.00834
-14 -1.05874 0.04558 -0.00977
-12 -1.01739 0.03187 -0.01345
-10 -0.89687 0.02117 -0.02619
 -8 -0.67610 0.01501 -0.04474
 -6 -0.41338 0.01214 -0.06106
 -4 -0.15336 0.01086 -0.07209
 -2 0.10177 0.01033 -0.08031
 -1 0.22791 0.01025 -0.08383
  0 0.35314 0.01026 -0.08705
  1 0.47740 0.01036 -0.09003
  2 0.60060 0.01056 -0.09277
  3 0.72257 0.01083 -0.09527
  4 0.84309 0.01120 -0.09754
  5 0.96191 0.01167 -0.09956
  6 1.07871 0.01226 -0.10129
  7 1.19289 0.01297 -0.10271
  8 1.30402 0.01384 -0.10375
  9 1.41096 0.01489 -0.10431
 10 1.51223 0.01619 -0.10427
 11 1.60559 0.01785 -0.10345
 12 1.68769 0.02005 -0.10175
 13 1.75363 0.02324 -0.09931
 14 1.79208 0.02843 -0.09642
 15 1.78220 0.03771 -0.09355
 16 1.72142 0.05235 -0.09208
 18 1.56176 0.09052 -0.09607
 20 1.45922 0.12931 -0.10525
 24 1.32667 0.21079 -0.12879
 28 1.17908 0.31666 -0.16016
 32 0.99691 0.46823 -0.19465
 36 0.97744 0.56656 -0.22006
 40 0.95393 0.66942 -0.24525
 44 0.92314 0.77463 -0.26758
 49 0.88308 0.87994 -0.28991
 53 0.83269 0.98311 -0.31088
 57 0.77159 1.08194 -0.33113
 61 0.69996 1.17431 -0.35081
 65 0.61844 1.25825 -0.36871
 69 0.52808 1.33194 -0.38661
 73 0.43023 1.39379 -0.40191
 78 0.32655 1.44244 -0.41667
 82 0.21890 1.47684 -0.42992
 86 0.10933 1.49618 -0.44102
 90 0.00000 1.50000 -0.45212
 94 -0.07653 1.49618 -0.45883
 98 -0.15323 1.47684 -0.46555
102 -0.22859 1.44244 -0.46824
107 -0.30116 1.39379 -0.46809
111 -0.36966 1.33194 -0.46693
115 -0.43291 1.25825 -0.46092
119 -0.48997 1.17431 -0.45492
123 -0.54011 1.08194 -0.44650
127 -0.58288 0.98311 -0.43732
131 -0.61815 0.87994 -0.42843
136 -0.64620 0.77463 -0.42009
140 -0.66775 0.66942 -0.41176
144 -0.68421 0.56656 -0.40366
148 -0.69784 0.46823 -0.39557
150 -0.64799 0.41668 -0.38957
153 -0.59815 0.36749 -0.37283
155 -0.54830 0.32096 -0.35609
157 -0.49846 0.27740 -0.33934
159 -0.44861 0.23709 -0.32260
162 -0.39877 0.20030 -0.34954
164 -0.34892 0.16725 -0.39105
166 -0.29907 0.13816 -0.43255
169 -0.24923 0.11322 -0.47406
171 -0.19938 0.09260 -0.45714
173 -0.14954 0.07642 -0.34286
175 -0.09969 0.06478 -0.22857
178 -0.04985 0.05777 -0.11429
180 0.00000 0.05543 0.00000
