 alpha    c_a    c_d    c_m
-180 0.00000 0.05050 0.00000
-178 0.05375 0.05268 0.09143
-175 0.10750 0.05920 0.18286
-173 0.16124 0.07003 0.27429
-171 0.21499 0.08509 0.36571
-169 0.26874 0.10429 0.38982
-166 0.32249 0.12750 0.37354
-164 0.37624 0.15457 0.35726
-162 0.42998 0.18534 0.34098
-159 0.48373 0.21959 0.33288
-157 0.53748 0.25711 0.34935
-155 0.59123 0.29765 0.36581
-153 0.64498 0.34096 0.38228
-150 0.69872 0.38675 0.39874
-148 0.75247 0.43474 0.40144
-144 0.72067 0.52627 0.40276
-140 0.68972 0.62202 0.40423
-136 0.65662 0.71996 0.40767
-131 0.61954 0.81800 0.41111
-127 0.57739 0.91405 0.41646
-123 0.52967 1.00607 0.42280
-119 0.47631 1.09208 0.42872
-115 0.41760 1.17025 0.43330
-111 0.35410 1.23888 0.43788
-107 0.28666 1.29650 0.43849
-102 0.21629 1.34184 0.43829
-98 0.14416 1.37392 0.43555
-94 0.07160 1.39200 0.42924
-90 0.00000 1.39563 0.42293
-86 -0.07160 1.39200 0.41135
-82 -0.14416 1.37392 0.39977
-78 -0.21629 1.34184 0.38520
-73 -0.28666 1.29650 0.36851
-69 -0.35410 1.23888 0.35127
-65 -0.41760 1.17025 0.33135
-61 -0.47631 1.09208 0.31144
-57 -0.52967 1.00607 0.29078
-53 -0.57739 0.91405 0.26988
-49 -0.61954 0.81800 0.24914
-44 -0.65662 0.71996 0.22870
-40 -0.68972 0.62202 0.20825
-36 -0.72067 0.52627 0.14461
-32 -0.75247 0.43474 0.07777
-28 -0.98547 0.24470 0.04910
-24 -0.99287 0.17643 0.02458
-20 -0.97310 0.12141 0.00585
-18 -0.95038 0.09895 -0.00062
-16 -0.91943 0.07964 -0.00487
-14 -0.88132 0.06295 -0.00706
-12 -0.84103 0.04844 -0.00738
-10 -0.80386 0.03571 -0.00673
 -8 -0.72252 0.02487 -0.01353
 -6 -0.50087 0.01797 -0.03652
 -4 -0.21383 0.01463 -0.06087
 -2 0.06827 0.01318 -0.07819
 -1 0.20480 0.01287 -0.08478
  0 0.33887 0.01273 -0.09046
  1 0.47081 0.01273 -0.09545
  2 0.60080 0.01285 -0.09987
  3 0.72884 0.01309 -0.10381
  4 0.85488 0.01344 -0.10731
  5 0.97861 0.01391 -0.11038
  6 1.09962 0.01451 -0.11299
  7 1.21739 0.01526 -0.11510
  8 1.33100 0.01618 -0.11660
  9 1.43883 0.01733 -0.11735
 10 1.53871 0.01877 -0.11710
 11 1.62731 0.02066 -0.11558
 12 1.70072 0.02327 -0.11277
 13 1.75498 0.02711 -0.10922
 14 1.77856 0.03332 -0.10529
 15 1.75487 0.04391 -0.10194
 16 1.68040 0.06032 -0.10068
 18 1.48173 0.10512 -0.10726
 20 1.35382 0.15068 -0.11932
 24 1.22118 0.23890 -0.14466
 28 1.14512 0.33136 -0.17037
 32 1.07496 0.43474 -0.19622
 36 1.02953 0.52627 -0.21860
 40 0.98531 0.62202 -0.24075
 44 0.93803 0.71996 -0.25978
 49 0.88506 0.81800 -0.27880
 53 0.82485 0.91405 -0.29678
 57 0.75667 1.00607 -0.31421
 61 0.68044 1.09208 -0.33125
 65 0.59656 1.17025 -0.34707
 69 0.50586 1.23888 -0.36289
 73 0.40952 1.29650 -0.37673
 78 0.30898 1.34184 -0.39015
 82 0.20595 1.37392 -0.40229
 86 0.10229 1.39200 -0.41261
 90 0.00000 1.39563 -0.42293
 94 -0.07160 1.39200 -0.42924
 98 -0.14416 1.37392 -0.43555
102 -0.21629 1.34184 -0.43829
107 -0.28666 1.29650 -0.43849
111 -0.35410 1.23888 -0.43788
115 -0.41760 1.17025 -0.43330
119 -0.47631 1.09208 -0.42872
123 -0.52967 1.00607 -0.42280
127 -0.57739 0.91405 -0.41646
131 -0.61954 0.81800 -0.41111
136 -0.65662 0.71996 -0.40767
140 -0.68972 0.62202 -0.40423
144 -0.72067 0.52627 -0.40276
148 -0.75247 0.43474 -0.40144
150 -0.69872 0.38675 -0.39874
153 -0.64498 0.34096 -0.38228
155 -0.59123 0.29765 -0.36581
157 -0.53748 0.25711 -0.34935
159 -0.48373 0.21959 -0.33288
162 -0.42998 0.18534 -0.35812
164 -0.37624 0.15457 -0.39726
166 -0.32249 0.12750 -0.43640
169 -0.26874 0.10429 -0.47554
171 -0.21499 0.08509 -0.45714
173 -0.16124 0.07003 -0.34286
175 -0.10750 0.05920 -0.22857
178 -0.05375 0.05268 -0.11429
180 0.00000 0.05050 0.00000
