 alpha    c_a    c_d    c_m
-180 0.00000 0.54626 0.00000
-178 0.00590 0.54648 0.01027
-175 0.01180 0.54714 0.02054
-173 0.01770 0.54824 0.03081
-171 0.02360 0.54977 0.04107
-169 0.02950 0.55172 0.04291
-166 0.03540 0.55407 0.03970
-164 0.04130 0.55682 0.03648
-162 0.04720 0.55994 0.03326
-159 0.05310 0.56341 0.03130
-157 0.05900 0.56722 0.03310
-155 0.06490 0.57132 0.03491
-153 0.07081 0.57570 0.03671
-150 0.07671 0.58034 0.03852
-148 0.08261 0.58518 0.03887
-144 0.07856 0.59442 0.03912
-140 0.07473 0.60407 0.03939
-136 0.07078 0.61390 0.03980
-131 0.06649 0.62372 0.04021
-127 0.06173 0.63330 0.04081
-123 0.05643 0.64244 0.04151
-119 0.05060 0.65092 0.04217
-115 0.04425 0.65856 0.04270
-111 0.03743 0.66518 0.04324
-107 0.03023 0.67063 0.04337
-102 0.02276 0.67479 0.04342
-98 0.01514 0.67755 0.04322
-94 0.00751 0.67884 0.04265
-90 0.00000 0.67862 0.04208
-86 -0.00751 0.67884 0.04126
-82 -0.01514 0.67755 0.04045
-78 -0.02276 0.67479 0.03929
-73 -0.03023 0.67063 0.03790
-69 -0.03743 0.66518 0.03645
-65 -0.04425 0.65856 0.03467
-61 -0.05060 0.65092 0.03289
-57 -0.05643 0.64244 0.03100
-53 -0.06173 0.63330 0.02908
-49 -0.06649 0.62372 0.02717
-44 -0.07078 0.61390 0.02529
-40 -0.07473 0.60407 0.02341
-36 -0.07856 0.59442 0.01569
-32 -0.08261 0.58518 0.00754
-28 -0.08449 0.56361 0.00478
-24 -0.08233 0.55575 0.00219
-20 -0.07677 0.54934 0.00001
-18 -0.07255 0.54666 -0.00087
-16 -0.06745 0.54430 -0.00159
-14 -0.06169 0.54225 -0.00212
-12 -0.05532 0.54046 -0.00244
-10 -0.04860 0.53890 -0.00256
 -8 -0.04258 0.53754 -0.00244
 -6 -0.03840 0.53631 -0.00205
 -4 -0.02600 0.53536 -0.00302
 -2 0.00438 0.53490 -0.00601
 -1 0.02214 0.53479 -0.00764
  0 0.04001 0.53472 -0.00916
  1 0.05752 0.53470 -0.01051
  2 0.07447 0.53470 -0.01167
  3 0.09075 0.53473 -0.01265
  4 0.10630 0.53479 -0.01346
  5 0.12107 0.53488 -0.01410
  6 0.13497 0.53499 -0.01459
  7 0.14770 0.53514 -0.01491
  8 0.15889 0.53536 -0.01502
  9 0.16788 0.53566 -0.01490
 10 0.17397 0.53613 -0.01461
 11 0.17511 0.53696 -0.01418
 12 0.16761 0.53856 -0.01377
 13 0.15267 0.54109 -0.01371
 14 0.13895 0.54390 -0.01406
 15 0.12949 0.54659 -0.01461
 16 0.12316 0.54914 -0.01521
 18 0.11595 0.55394 -0.01642
 20 0.11285 0.55849 -0.01757
 24 0.11293 0.56718 -0.01974
 28 0.11517 0.57592 -0.02186
 32 0.11801 0.58518 -0.02415
 36 0.11223 0.59442 -0.02589
 40 0.10676 0.60407 -0.02762
 44 0.10111 0.61390 -0.02919
 49 0.09498 0.62372 -0.03076
 53 0.08818 0.63330 -0.03226
 57 0.08062 0.64244 -0.03372
 61 0.07229 0.65092 -0.03514
 65 0.06321 0.65856 -0.03643
 69 0.05347 0.66518 -0.03773
 73 0.04319 0.67063 -0.03880
 78 0.03252 0.67479 -0.03983
 82 0.02163 0.67755 -0.04071
 86 0.01072 0.67884 -0.04140
 90 0.00000 0.67862 -0.04208
 94 -0.00751 0.67884 -0.04265
 98 -0.01514 0.67755 -0.04322
102 -0.02276 0.67479 -0.04342
107 -0.03023 0.67063 -0.04337
111 -0.03743 0.66518 -0.04324
115 -0.04425 0.65856 -0.04270
119 -0.05060 0.65092 -0.04217
123 -0.05643 0.64244 -0.04151
127 -0.06173 0.63330 -0.04081
131 -0.06649 0.62372 -0.04021
136 -0.07078 0.61390 -0.03980
140 -0.07473 0.60407 -0.03939
144 -0.07856 0.59442 -0.03912
148 -0.08261 0.58518 -0.03887
150 -0.07671 0.58034 -0.03852
153 -0.07081 0.57570 -0.03671
155 -0.06490 0.57132 -0.03491
157 -0.05900 0.56722 -0.03310
159 -0.05310 0.56341 -0.03130
162 -0.04720 0.55994 -0.03519
164 -0.04130 0.55682 -0.04097
166 -0.03540 0.55407 -0.04676
169 -0.02950 0.55172 -0.05254
171 -0.02360 0.54977 -0.05134
173 -0.01770 0.54824 -0.03851
175 -0.01180 0.54714 -0.02567
178 -0.00590 0.54648 -0.01284
180 0.00000 0.54626 0.00000
