 alpha    c_a    c_d    c_m
-180 0.00000 0.07915 0.00000
-178 0.04777 0.08147 0.09143
-175 0.09554 0.08842 0.18286
-173 0.14331 0.09996 0.27429
-171 0.19108 0.11601 0.36571
-169 0.23885 0.13647 0.38711
-166 0.28663 0.16120 0.36648
-164 0.33440 0.19004 0.34585
-162 0.38217 0.22281 0.32522
-159 0.42994 0.25930 0.31390
-157 0.47771 0.29925 0.33047
-155 0.52548 0.34243 0.34705
-153 0.57325 0.38854 0.36363
-150 0.62102 0.43728 0.38021
-148 0.66880 0.48834 0.38711
-144 0.66055 0.58571 0.39713
-140 0.64849 0.68751 0.40711
-136 0.63060 0.79156 0.41667
-131 0.60566 0.89563 0.42623
-127 0.57301 0.99747 0.43586
-123 0.53247 1.09490 0.44553
-119 0.48422 1.18581 0.45433
-115 0.42874 1.26822 0.46041
-111 0.36679 1.34033 0.46649
-107 0.29935 1.40055 0.46754
-102 0.22757 1.44755 0.46755
-98 0.15278 1.48026 0.46468
-94 0.07642 1.49789 0.45775
-90 0.00000 1.50000 0.45082
-86 -0.07642 1.49789 0.43898
-82 -0.15278 1.48026 0.42715
-78 -0.22757 1.44755 0.41186
-73 -0.29935 1.40055 0.39413
-69 -0.36679 1.34033 0.37569
-65 -0.42874 1.26822 0.35383
-61 -0.48422 1.18581 0.33198
-57 -0.53247 1.09490 0.30877
-53 -0.57301 0.99747 0.28513
-49 -0.60566 0.89563 0.26149
-44 -0.63060 0.79156 0.23785
-40 -0.64849 0.68751 0.21422
-36 -0.66055 0.58571 0.15938
-32 -0.66880 0.48834 0.10223
-28 -0.59853 0.38498 0.08211
-24 -1.07935 0.15857 0.02318
-20 -1.17229 0.09216 -0.00169
-18 -1.17059 0.07075 -0.00720
-16 -1.15334 0.05328 -0.00994
-14 -1.13323 0.03818 -0.01158
-12 -1.08035 0.02441 -0.01970
-10 -0.88490 0.01545 -0.04141
 -8 -0.63453 0.01203 -0.05604
 -6 -0.38360 0.01048 -0.06534
 -4 -0.13423 0.00970 -0.07251
 -2 0.11354 0.00938 -0.07860
 -1 0.23670 0.00936 -0.08136
  0 0.35921 0.00941 -0.08396
  1 0.48101 0.00955 -0.08641
  2 0.60192 0.00976 -0.08871
  3 0.72178 0.01005 -0.09084
  4 0.84037 0.01044 -0.09280
  5 0.95740 0.01091 -0.09456
  6 1.07257 0.01150 -0.09610
  7 1.18531 0.01221 -0.09738
  8 1.29534 0.01307 -0.09836
  9 1.40156 0.01411 -0.09898
 10 1.50267 0.01541 -0.09912
 11 1.59675 0.01706 -0.09868
 12 1.68011 0.01927 -0.09753
 13 1.74689 0.02251 -0.09571
 14 1.78295 0.02801 -0.09342
 15 1.76478 0.03809 -0.09110
 16 1.69863 0.05333 -0.09004
 18 1.55762 0.08939 -0.09366
 20 1.47730 0.12453 -0.10134
 24 1.36698 0.19951 -0.12232
 28 1.19866 0.30815 -0.15522
 32 0.95542 0.48834 -0.19422
 36 0.94364 0.58571 -0.21989
 40 0.92642 0.68751 -0.24535
 44 0.90086 0.79156 -0.26807
 49 0.86522 0.89563 -0.29078
 53 0.81858 0.99747 -0.31200
 57 0.76067 1.09490 -0.33243
 61 0.69174 1.18581 -0.35222
 65 0.61249 1.26822 -0.36999
 69 0.52399 1.34033 -0.38776
 73 0.42764 1.40055 -0.40270
 78 0.32510 1.44755 -0.41705
 82 0.21826 1.48026 -0.42981
 86 0.10917 1.49789 -0.44031
 90 0.00000 1.50000 -0.45082
 94 -0.07642 1.49789 -0.45775
 98 -0.15278 1.48026 -0.46468
102 -0.22757 1.44755 -0.46755
107 -0.29935 1.40055 -0.46754
111 -0.36679 1.34033 -0.46649
115 -0.42874 1.26822 -0.46041
119 -0.48422 1.18581 -0.45433
123 -0.53247 1.09490 -0.44553
127 -0.57301 0.99747 -0.43586
131 -0.60566 0.89563 -0.42623
136 -0.63060 0.79156 -0.41667
140 -0.64849 0.68751 -0.40711
144 -0.66055 0.58571 -0.39713
148 -0.66880 0.48834 -0.38711
150 -0.62102 0.43728 -0.38021
153 -0.57325 0.38854 -0.36363
155 -0.52548 0.34243 -0.34705
157 -0.47771 0.29925 -0.33047
159 -0.42994 0.25930 -0.31390
162 -0.38217 0.22281 -0.34237
164 -0.33440 0.19004 -0.38585
166 -0.28663 0.16120 -0.42934
169 -0.23885 0.13647 -0.47282
171 -0.19108 0.11601 -0.45714
173 -0.14331 0.09996 -0.34286
175 -0.09554 0.08842 -0.22857
178 -0.04777 0.08147 -0.11429
180 0.00000 0.07915 0.00000
