 alpha    c_a    c_d    c_m
-180 0.00000 0.04585 0.00000
-178 0.05311 0.04809 0.09143
-175 0.10621 0.05477 0.18286
-173 0.15932 0.06587 0.27429
-171 0.21242 0.08130 0.36571
-169 0.26553 0.10097 0.38971
-166 0.31864 0.12476 0.37325
-164 0.37174 0.15250 0.35680
-162 0.42485 0.18402 0.34034
-159 0.47795 0.21912 0.33214
-157 0.53106 0.25757 0.34873
-155 0.58417 0.29912 0.36532
-153 0.63727 0.34351 0.38191
-150 0.69038 0.39045 0.39850
-148 0.74348 0.43963 0.40195
-144 0.71577 0.53346 0.40481
-140 0.68805 0.63162 0.40778
-136 0.65749 0.73205 0.41237
-131 0.62234 0.83260 0.41697
-127 0.58158 0.93114 0.42319
-123 0.53478 1.02557 0.43025
-119 0.48190 1.11388 0.43682
-115 0.42328 1.19418 0.44181
-111 0.35953 1.26475 0.44679
-107 0.29150 1.32406 0.44760
-102 0.22025 1.37083 0.44754
-98 0.14701 1.40404 0.44486
-94 0.07311 1.42294 0.43847
-90 0.00000 1.42707 0.43209
-86 -0.07311 1.42294 0.42010
-82 -0.14701 1.40404 0.40810
-78 -0.22025 1.37083 0.39303
-73 -0.29150 1.32406 0.37579
-69 -0.35953 1.26475 0.35797
-65 -0.42328 1.19418 0.33737
-61 -0.48190 1.11388 0.31677
-57 -0.53478 1.02557 0.29537
-53 -0.58158 0.93114 0.27371
-49 -0.62234 0.83260 0.25220
-44 -0.65749 0.73205 0.23097
-40 -0.68805 0.63162 0.20975
-36 -0.71577 0.53346 0.14721
-32 -0.74348 0.43963 0.08161
-28 -0.98931 0.24420 0.04971
-24 -1.01468 0.17254 0.02379
-20 -1.00402 0.11702 0.00477
-18 -0.98361 0.09482 -0.00149
-16 -0.95394 0.07584 -0.00545
-14 -0.91717 0.05948 -0.00735
-12 -0.87919 0.04523 -0.00761
-10 -0.83546 0.03271 -0.00869
 -8 -0.72126 0.02259 -0.01975
 -6 -0.48268 0.01658 -0.04280
 -4 -0.20003 0.01375 -0.06428
 -2 0.07568 0.01254 -0.07933
 -1 0.20969 0.01228 -0.08515
  0 0.34165 0.01218 -0.09021
  1 0.47179 0.01220 -0.09469
  2 0.60022 0.01234 -0.09870
  3 0.72690 0.01259 -0.10229
  4 0.85172 0.01294 -0.10549
  5 0.97439 0.01341 -0.10830
  6 1.09451 0.01400 -0.11070
  7 1.21156 0.01474 -0.11263
  8 1.32473 0.01564 -0.11401
  9 1.43252 0.01676 -0.11470
 10 1.53297 0.01815 -0.11448
 11 1.62300 0.01997 -0.11309
 12 1.69892 0.02244 -0.11048
 13 1.75686 0.02604 -0.10712
 14 1.78607 0.03181 -0.10335
 15 1.76947 0.04171 -0.09998
 16 1.70120 0.05733 -0.09850
 18 1.50892 0.10064 -0.10434
 20 1.38231 0.14515 -0.11593
 24 1.24342 0.23305 -0.14141
 28 1.15096 0.32884 -0.16844
 32 1.06212 0.43963 -0.19578
 36 1.02253 0.53346 -0.21902
 40 0.98293 0.63162 -0.24204
 44 0.93927 0.73205 -0.26197
 49 0.88905 0.83260 -0.28190
 53 0.83083 0.93114 -0.30073
 57 0.76397 1.02557 -0.31896
 61 0.68844 1.11388 -0.33678
 65 0.60469 1.19418 -0.35327
 69 0.51361 1.26475 -0.36975
 73 0.41642 1.32406 -0.38413
 78 0.31465 1.37083 -0.39806
 82 0.21001 1.40404 -0.41066
 86 0.10445 1.42294 -0.42138
 90 0.00000 1.42707 -0.43209
 94 -0.07311 1.42294 -0.43847
 98 -0.14701 1.40404 -0.44486
102 -0.22025 1.37083 -0.44754
107 -0.29150 1.32406 -0.44760
111 -0.35953 1.26475 -0.44679
115 -0.42328 1.19418 -0.44181
119 -0.48190 1.11388 -0.43682
123 -0.53478 1.02557 -0.43025
127 -0.58158 0.93114 -0.42319
131 -0.62234 0.83260 -0.41697
136 -0.65749 0.73205 -0.41237
140 -0.68805 0.63162 -0.40778
144 -0.71577 0.53346 -0.40481
148 -0.74348 0.43963 -0.40195
150 -0.69038 0.39045 -0.39850
153 -0.63727 0.34351 -0.38191
155 -0.58417 0.29912 -0.36532
157 -0.53106 0.25757 -0.34873
159 -0.47795 0.21912 -0.33214
162 -0.42485 0.18402 -0.35748
164 -0.37174 0.15250 -0.39680
166 -0.31864 0.12476 -0.43611
169 -0.26553 0.10097 -0.47543
171 -0.21242 0.08130 -0.45714
173 -0.15932 0.06587 -0.34286
175 -0.10621 0.05477 -0.22857
178 -0.05311 0.04809 -0.11429
180 0.00000 0.04585 0.00000
