 alpha    c_a    c_d    c_m
-180 0.00000 0.08506 0.00000
-178 0.05426 0.08706 0.09143
-175 0.10852 0.09304 0.18286
-173 0.16278 0.10298 0.27429
-171 0.21704 0.11680 0.36571
-169 0.27130 0.13441 0.38817
-166 0.32556 0.15570 0.36925
-164 0.37982 0.18053 0.35033
-162 0.43408 0.20874 0.33141
-159 0.48834 0.24014 0.32123
-157 0.54260 0.27452 0.33726
-155 0.59686 0.31167 0.35328
-153 0.65112 0.35134 0.36931
-150 0.70538 0.39327 0.38534
-148 0.75964 0.43719 0.38667
-144 0.71913 0.52091 0.38527
-140 0.68140 0.60840 0.38406
-136 0.64316 0.69778 0.38524
-131 0.60236 0.78710 0.38642
-127 0.55779 0.87445 0.38994
-123 0.50883 0.95792 0.39469
-119 0.45530 1.03568 0.39917
-115 0.39741 1.10604 0.40279
-111 0.33563 1.16745 0.40642
-107 0.27069 1.21851 0.40663
-102 0.20352 1.25809 0.40613
-98 0.13519 1.28526 0.40335
-94 0.06692 1.29936 0.39736
-90 0.00000 1.30000 0.39136
-86 -0.06692 1.29936 0.38185
-82 -0.13519 1.28526 0.37234
-78 -0.20352 1.25809 0.36000
-73 -0.27069 1.21851 0.34567
-69 -0.33563 1.16745 0.33081
-65 -0.39741 1.10604 0.31341
-61 -0.45530 1.03568 0.29602
-57 -0.50883 0.95792 0.27791
-53 -0.55779 0.87445 0.25957
-49 -0.60236 0.78710 0.24138
-44 -0.64316 0.69778 0.22347
-40 -0.68140 0.60840 0.20556
-36 -0.71913 0.52091 0.14201
-32 -0.75964 0.43719 0.07508
-28 -0.90526 0.25938 0.04914
-24 -0.89114 0.19249 0.02587
-20 -0.85534 0.13660 0.00691
-18 -0.82711 0.11311 -0.00034
-16 -0.79163 0.09256 -0.00578
-14 -0.75067 0.07472 -0.00919
-12 -0.70453 0.05913 -0.01077
-10 -0.66058 0.04554 -0.01037
 -8 -0.61995 0.03356 -0.00931
 -6 -0.51284 0.02398 -0.01867
 -4 -0.25973 0.01857 -0.04415
 -2 0.04293 0.01608 -0.07002
 -1 0.19207 0.01547 -0.08055
  0 0.33739 0.01514 -0.08947
  1 0.47885 0.01504 -0.09705
  2 0.61673 0.01511 -0.10352
  3 0.75129 0.01534 -0.10911
  4 0.88261 0.01572 -0.11393
  5 1.01052 0.01624 -0.11804
  6 1.13457 0.01692 -0.12146
  7 1.25409 0.01779 -0.12414
  8 1.36747 0.01888 -0.12593
  9 1.47237 0.02029 -0.12659
 10 1.56487 0.02218 -0.12578
 11 1.64056 0.02483 -0.12341
 12 1.69374 0.02882 -0.11986
 13 1.71319 0.03545 -0.11586
 14 1.67936 0.04706 -0.11240
 15 1.59024 0.06520 -0.11119
 16 1.47556 0.08833 -0.11326
 18 1.29954 0.13685 -0.12370
 20 1.20780 0.18185 -0.13569
 24 1.13490 0.26499 -0.15802
 28 1.10903 0.34831 -0.17980
 32 1.08520 0.43719 -0.20182
 36 1.02734 0.52091 -0.22072
 40 0.97343 0.60840 -0.23942
 44 0.91879 0.69778 -0.25534
 49 0.86051 0.78710 -0.27126
 53 0.79684 0.87445 -0.28635
 57 0.72690 0.95792 -0.30100
 61 0.65043 1.03568 -0.31532
 65 0.56773 1.10604 -0.32865
 69 0.47947 1.16745 -0.34197
 73 0.38670 1.21851 -0.35352
 78 0.29074 1.25809 -0.36471
 82 0.19313 1.28526 -0.37471
 86 0.09560 1.29936 -0.38304
 90 0.00000 1.30000 -0.39136
 94 -0.06692 1.29936 -0.39736
 98 -0.13519 1.28526 -0.40335
102 -0.20352 1.25809 -0.40613
107 -0.27069 1.21851 -0.40663
111 -0.33563 1.16745 -0.40642
115 -0.39741 1.10604 -0.40279
119 -0.45530 1.03568 -0.39917
123 -0.50883 0.95792 -0.39469
127 -0.55779 0.87445 -0.38994
131 -0.60236 0.78710 -0.38642
136 -0.64316 0.69778 -0.38524
140 -0.68140 0.60840 -0.38406
144 -0.71913 0.52091 -0.38527
148 -0.75964 0.43719 -0.38667
150 -0.70538 0.39327 -0.38534
153 -0.65112 0.35134 -0.36931
155 -0.59686 0.31167 -0.35328
157 -0.54260 0.27452 -0.33726
159 -0.48834 0.24014 -0.32123
162 -0.43408 0.20874 -0.34856
164 -0.37982 0.18053 -0.39033
166 -0.32556 0.15570 -0.43211
169 -0.27130 0.13441 -0.47389
171 -0.21704 0.11680 -0.45714
173 -0.16278 0.10298 -0.34286
175 -0.10852 0.09304 -0.22857
178 -0.05426 0.08706 -0.11429
180 0.00000 0.08506 0.00000
