 alpha    c_a    c_d    c_m
-180 0.00000 0.10011 0.00000
-178 0.05369 0.10210 0.09143
-175 0.10739 0.10805 0.18286
-173 0.16108 0.11793 0.27429
-171 0.21478 0.13166 0.36571
-169 0.26847 0.14917 0.38604
-166 0.32216 0.17033 0.36371
-164 0.37586 0.19500 0.34138
-162 0.42955 0.22303 0.31904
-159 0.48325 0.25423 0.30631
-157 0.53694 0.28840 0.32237
-155 0.59064 0.32531 0.33843
-153 0.64433 0.36471 0.35449
-150 0.69802 0.40635 0.37056
-148 0.75172 0.44996 0.37255
-144 0.71268 0.53307 0.37252
-140 0.67615 0.61989 0.37263
-136 0.63890 0.70853 0.37472
-131 0.59895 0.79707 0.37681
-127 0.55510 0.88357 0.38099
-123 0.50674 0.96615 0.38628
-119 0.45373 1.04298 0.39126
-115 0.39627 1.11238 0.39527
-111 0.33485 1.17277 0.39929
-107 0.27020 1.22281 0.39986
-102 0.20324 1.26133 0.39970
-98 0.13507 1.28743 0.39728
-94 0.06689 1.30045 0.39163
-90 0.00000 1.30000 0.38597
-86 -0.06689 1.30045 0.37734
-82 -0.13507 1.28743 0.36870
-78 -0.20324 1.26133 0.35718
-73 -0.27020 1.22281 0.34362
-69 -0.33485 1.17277 0.32950
-65 -0.39627 1.11238 0.31272
-61 -0.45373 1.04298 0.29594
-57 -0.50674 0.96615 0.27834
-53 -0.55510 0.88357 0.26048
-49 -0.59895 0.79707 0.24277
-44 -0.63890 0.70853 0.22534
-40 -0.67615 0.61989 0.20791
-36 -0.71268 0.53307 0.14318
-32 -0.75172 0.44996 0.07494
-28 -0.84718 0.26960 0.04961
-24 -0.83428 0.20038 0.02631
-20 -0.79695 0.14303 0.00702
-18 -0.76693 0.11902 -0.00054
-16 -0.72935 0.09794 -0.00644
-14 -0.68618 0.07966 -0.01037
-12 -0.63788 0.06371 -0.01241
-10 -0.58918 0.04984 -0.01251
 -8 -0.54751 0.03759 -0.01087
 -6 -0.48067 0.02719 -0.01417
 -4 -0.26460 0.02073 -0.03629
 -2 0.04136 0.01776 -0.06483
 -1 0.19697 0.01700 -0.07737
  0 0.34919 0.01658 -0.08825
  1 0.49687 0.01642 -0.09748
  2 0.63989 0.01647 -0.10528
  3 0.77856 0.01671 -0.11189
  4 0.91304 0.01712 -0.11750
  5 1.04321 0.01770 -0.12220
  6 1.16871 0.01846 -0.12605
  7 1.28854 0.01944 -0.12900
  8 1.40078 0.02070 -0.13085
  9 1.50222 0.02236 -0.13132
 10 1.58769 0.02466 -0.13003
 11 1.65232 0.02806 -0.12719
 12 1.68578 0.03353 -0.12329
 13 1.66628 0.04351 -0.11928
 14 1.56771 0.06182 -0.11725
 15 1.43111 0.08679 -0.11915
 16 1.31865 0.11264 -0.12389
 18 1.18378 0.16076 -0.13570
 20 1.11941 0.20436 -0.14706
 24 1.08022 0.28524 -0.16790
 28 1.07572 0.36605 -0.18809
 32 1.07388 0.44996 -0.20837
 36 1.01811 0.53307 -0.22589
 40 0.96592 0.61989 -0.24325
 44 0.91272 0.70853 -0.25838
 49 0.85564 0.79707 -0.27351
 53 0.79300 0.88357 -0.28789
 57 0.72392 0.96615 -0.30188
 61 0.64819 1.04298 -0.31554
 65 0.56610 1.11238 -0.32815
 69 0.47835 1.17277 -0.34077
 73 0.38599 1.22281 -0.35153
 78 0.29035 1.26133 -0.36192
 82 0.19296 1.28743 -0.37109
 86 0.09556 1.30045 -0.37853
 90 0.00000 1.30000 -0.38597
 94 -0.06689 1.30045 -0.39163
 98 -0.13507 1.28743 -0.39728
102 -0.20324 1.26133 -0.39970
107 -0.27020 1.22281 -0.39986
111 -0.33485 1.17277 -0.39929
115 -0.39627 1.11238 -0.39527
119 -0.45373 1.04298 -0.39126
123 -0.50674 0.96615 -0.38628
127 -0.55510 0.88357 -0.38099
131 -0.59895 0.79707 -0.37681
136 -0.63890 0.70853 -0.37472
140 -0.67615 0.61989 -0.37263
144 -0.71268 0.53307 -0.37252
148 -0.75172 0.44996 -0.37255
150 -0.69802 0.40635 -0.37056
153 -0.64433 0.36471 -0.35449
155 -0.59064 0.32531 -0.33843
157 -0.53694 0.28840 -0.32237
159 -0.48325 0.25423 -0.30631
162 -0.42955 0.22303 -0.33619
164 -0.37586 0.19500 -0.38138
166 -0.32216 0.17033 -0.42657
169 -0.26847 0.14917 -0.47176
171 -0.21478 0.13166 -0.45714
173 -0.16108 0.11793 -0.34286
175 -0.10739 0.10805 -0.22857
178 -0.05369 0.10210 -0.11429
180 0.00000 0.10011 0.00000
