 alpha    c_a    c_d    c_m
-180 0.00000 0.06184 0.00000
-178 0.04929 0.06417 0.09143
-175 0.09857 0.07117 0.18286
-173 0.14786 0.08278 0.27429
-171 0.19714 0.09892 0.36571
-169 0.24643 0.11950 0.38801
-166 0.29571 0.14438 0.36883
-164 0.34500 0.17340 0.34964
-162 0.39428 0.20638 0.33046
-159 0.44357 0.24309 0.32025
-157 0.49285 0.28330 0.33695
-155 0.54214 0.32676 0.35365
-153 0.59142 0.37317 0.37034
-150 0.64071 0.42225 0.38704
-148 0.68999 0.47366 0.39329
-144 0.67782 0.57173 0.40189
-140 0.66255 0.67431 0.41050
-136 0.64198 0.77920 0.41917
-131 0.61478 0.88417 0.42784
-127 0.58021 0.98699 0.43693
-123 0.53805 1.08544 0.44624
-119 0.48842 1.17742 0.45476
-115 0.43178 1.26095 0.46078
-111 0.36888 1.33420 0.46681
-107 0.30067 1.39562 0.46794
-102 0.22831 1.44382 0.46805
-98 0.15311 1.47776 0.46532
-94 0.07650 1.49664 0.45854
-90 0.00000 1.50000 0.45177
-86 -0.07650 1.49664 0.43950
-82 -0.15311 1.47776 0.42723
-78 -0.22831 1.44382 0.41157
-73 -0.30067 1.39562 0.39353
-69 -0.36888 1.33420 0.37481
-65 -0.43178 1.26095 0.35283
-61 -0.48842 1.17742 0.33085
-57 -0.53805 1.08544 0.30768
-53 -0.58021 0.98699 0.28413
-49 -0.61478 0.88417 0.26063
-44 -0.64198 0.77920 0.23725
-40 -0.66255 0.67431 0.21386
-36 -0.67782 0.57173 0.15711
-32 -0.68999 0.47366 0.09789
-28 -0.75999 0.32727 0.06950
-24 -1.07285 0.16066 0.02261
-20 -1.13262 0.09815 -0.00019
-18 -1.12554 0.07666 -0.00581
-16 -1.10442 0.05888 -0.00877
-14 -1.07886 0.04358 -0.01026
-12 -1.03440 0.02986 -0.01514
-10 -0.89364 0.01963 -0.03030
 -8 -0.66487 0.01421 -0.04779
 -6 -0.40533 0.01169 -0.06222
 -4 -0.14820 0.01054 -0.07220
 -2 0.10495 0.01007 -0.07985
 -1 0.23029 0.01001 -0.08316
  0 0.35478 0.01003 -0.08622
  1 0.47838 0.01014 -0.08905
  2 0.60096 0.01034 -0.09167
  3 0.72235 0.01062 -0.09408
  4 0.84236 0.01100 -0.09626
  5 0.96069 0.01147 -0.09821
  6 1.07705 0.01205 -0.09989
  7 1.19084 0.01276 -0.10127
  8 1.30168 0.01363 -0.10229
  9 1.40842 0.01468 -0.10287
 10 1.50965 0.01598 -0.10288
 11 1.60320 0.01763 -0.10216
 12 1.68564 0.01984 -0.10061
 13 1.75181 0.02304 -0.09834
 14 1.78961 0.02831 -0.09561
 15 1.77750 0.03781 -0.09289
 16 1.71526 0.05262 -0.09153
 18 1.56064 0.09022 -0.09542
 20 1.46410 0.12802 -0.10420
 24 1.33756 0.20774 -0.12704
 28 1.18437 0.31436 -0.15883
 32 0.98571 0.47366 -0.19454
 36 0.96831 0.57173 -0.22001
 40 0.94650 0.67431 -0.24528
 44 0.91712 0.77920 -0.26771
 49 0.87825 0.88417 -0.29015
 53 0.82888 0.98699 -0.31118
 57 0.76864 1.08544 -0.33148
 61 0.69774 1.17742 -0.35119
 65 0.61684 1.26095 -0.36906
 69 0.52698 1.33420 -0.38692
 73 0.42953 1.39562 -0.40213
 78 0.32616 1.44382 -0.41677
 82 0.21873 1.47776 -0.42989
 86 0.10928 1.49664 -0.44083
 90 0.00000 1.50000 -0.45177
 94 -0.07650 1.49664 -0.45854
 98 -0.15311 1.47776 -0.46532
102 -0.22831 1.44382 -0.46805
107 -0.30067 1.39562 -0.46794
111 -0.36888 1.33420 -0.46681
115 -0.43178 1.26095 -0.46078
119 -0.48842 1.17742 -0.45476
123 -0.53805 1.08544 -0.44624
127 -0.58021 0.98699 -0.43693
131 -0.61478 0.88417 -0.42784
136 -0.64198 0.77920 -0.41917
140 -0.66255 0.67431 -0.41050
144 -0.67782 0.57173 -0.40189
148 -0.68999 0.47366 -0.39329
150 -0.64071 0.42225 -0.38704
153 -0.59142 0.37317 -0.37034
155 -0.54214 0.32676 -0.35365
157 -0.49285 0.28330 -0.33695
159 -0.44357 0.24309 -0.32025
162 -0.39428 0.20638 -0.34760
164 -0.34500 0.17340 -0.38964
166 -0.29571 0.14438 -0.43168
169 -0.24643 0.11950 -0.47372
171 -0.19714 0.09892 -0.45714
173 -0.14786 0.08278 -0.34286
175 -0.09857 0.07117 -0.22857
178 -0.04929 0.06417 -0.11429
180 0.00000 0.06184 0.00000
