 alpha    c_a    c_d    c_m
-180 0.00000 0.14357 0.00000
-178 0.05011 0.14545 0.08721
-175 0.10022 0.15108 0.17442
-173 0.15033 0.16042 0.26163
-171 0.20044 0.17341 0.34884
-169 0.25055 0.18996 0.36446
-166 0.30066 0.20997 0.33713
-164 0.35078 0.23330 0.30980
-162 0.40089 0.25979 0.28248
-159 0.45100 0.28928 0.26581
-157 0.50111 0.32157 0.28114
-155 0.55122 0.35644 0.29647
-153 0.60133 0.39367 0.31180
-150 0.65144 0.43300 0.32713
-148 0.70155 0.47418 0.33009
-144 0.66718 0.55263 0.33225
-140 0.63468 0.63453 0.33451
-136 0.60111 0.71808 0.33800
-131 0.56465 0.80147 0.34149
-127 0.52422 0.88284 0.34660
-123 0.47929 0.96040 0.35256
-119 0.42973 1.03243 0.35817
-115 0.37576 1.09730 0.36268
-111 0.31787 1.15355 0.36719
-107 0.25676 1.19988 0.36833
-102 0.19332 1.23520 0.36877
-98 0.12860 1.25865 0.36704
-94 0.06374 1.26960 0.36222
-90 0.00000 1.26770 0.35740
-86 -0.06374 1.26960 0.35045
-82 -0.12860 1.25865 0.34349
-78 -0.19332 1.23520 0.33369
-73 -0.25676 1.19988 0.32189
-69 -0.31787 1.15355 0.30952
-65 -0.37576 1.09730 0.29442
-61 -0.42973 1.03243 0.27932
-57 -0.47929 0.96040 0.26327
-53 -0.52422 0.88284 0.24693
-49 -0.56465 0.80147 0.23072
-44 -0.60111 0.71808 0.21476
-40 -0.63468 0.63453 0.19880
-36 -0.66718 0.55263 0.13327
-32 -0.70155 0.47418 0.06406
-28 -0.71752 0.29095 0.04056
-24 -0.69923 0.22419 0.01857
-20 -0.65197 0.16976 0.00009
-18 -0.61611 0.14702 -0.00741
-16 -0.57286 0.12699 -0.01353
-14 -0.52392 0.10953 -0.01801
-12 -0.46986 0.09435 -0.02075
-10 -0.41272 0.08113 -0.02178
 -8 -0.36159 0.06952 -0.02069
 -6 -0.32612 0.05909 -0.01740
 -4 -0.22081 0.05104 -0.02561
 -2 0.03721 0.04714 -0.05107
 -1 0.18800 0.04618 -0.06492
  0 0.33976 0.04563 -0.07780
  1 0.48853 0.04539 -0.08926
  2 0.63246 0.04543 -0.09913
  3 0.77069 0.04570 -0.10743
  4 0.90277 0.04619 -0.11428
  5 1.02826 0.04691 -0.11978
  6 1.14625 0.04789 -0.12393
  7 1.25441 0.04920 -0.12660
  8 1.34942 0.05100 -0.12754
  9 1.42573 0.05360 -0.12655
 10 1.47752 0.05761 -0.12408
 11 1.48715 0.06461 -0.12043
 12 1.42344 0.07817 -0.11693
 13 1.29657 0.09968 -0.11642
 14 1.18011 0.12355 -0.11938
 15 1.09970 0.14637 -0.12404
 16 1.04600 0.16804 -0.12921
 18 0.98476 0.20884 -0.13947
 20 0.95843 0.24745 -0.14919
 24 0.95910 0.32128 -0.16764
 28 0.97808 0.39550 -0.18566
 32 1.00222 0.47418 -0.20509
 36 0.95312 0.55263 -0.21988
 40 0.90669 0.63453 -0.23457
 44 0.85873 0.71808 -0.24789
 49 0.80664 0.80147 -0.26121
 53 0.74889 0.88284 -0.27393
 57 0.68470 0.96040 -0.28634
 61 0.61390 1.03243 -0.29841
 65 0.53681 1.09730 -0.30941
 69 0.45410 1.15355 -0.32042
 73 0.36680 1.19988 -0.32953
 78 0.27618 1.23520 -0.33826
 82 0.18371 1.25865 -0.34578
 86 0.09106 1.26960 -0.35159
 90 0.00000 1.26770 -0.35740
 94 -0.06374 1.26960 -0.36222
 98 -0.12860 1.25865 -0.36704
102 -0.19332 1.23520 -0.36877
107 -0.25676 1.19988 -0.36833
111 -0.31787 1.15355 -0.36719
115 -0.37576 1.09730 -0.36268
119 -0.42973 1.03243 -0.35817
123 -0.47929 0.96040 -0.35256
127 -0.52422 0.88284 -0.34660
131 -0.56465 0.80147 -0.34149
136 -0.60111 0.71808 -0.33800
140 -0.63468 0.63453 -0.33451
144 -0.66718 0.55263 -0.33225
148 -0.70155 0.47418 -0.33009
150 -0.65144 0.43300 -0.32713
153 -0.60133 0.39367 -0.31180
155 -0.55122 0.35644 -0.29647
157 -0.50111 0.32157 -0.28114
159 -0.45100 0.28928 -0.26581
162 -0.40089 0.25979 -0.29883
164 -0.35078 0.23330 -0.34796
166 -0.30066 0.20997 -0.39709
169 -0.25055 0.18996 -0.44622
171 -0.20044 0.17341 -0.43605
173 -0.15033 0.16042 -0.32704
175 -0.10022 0.15108 -0.21802
178 -0.05011 0.14545 -0.10901
180 0.00000 0.14357 0.00000
