 alpha    c_a    c_d    c_m
-180 0.00000 0.09557 0.00000
-178 0.05386 0.09756 0.09143
-175 0.10773 0.10352 0.18286
-173 0.16159 0.11342 0.27429
-171 0.21546 0.12718 0.36571
-169 0.26932 0.14471 0.38669
-166 0.32319 0.16591 0.36538
-164 0.37705 0.19064 0.34408
-162 0.43092 0.21872 0.32278
-159 0.48478 0.24998 0.31081
-157 0.53865 0.28421 0.32686
-155 0.59251 0.32119 0.34291
-153 0.64638 0.36068 0.35897
-150 0.70024 0.40241 0.37502
-148 0.75411 0.44611 0.37681
-144 0.71463 0.52940 0.37637
-140 0.67773 0.61642 0.37608
-136 0.64019 0.70528 0.37790
-131 0.59998 0.79406 0.37971
-127 0.55591 0.88082 0.38369
-123 0.50737 0.96367 0.38882
-119 0.45421 1.04078 0.39364
-115 0.39661 1.11046 0.39754
-111 0.33508 1.17116 0.40144
-107 0.27035 1.22151 0.40190
-102 0.20333 1.26035 0.40164
-98 0.13511 1.28678 0.39911
-94 0.06690 1.30012 0.39335
-90 0.00000 1.30000 0.38760
-86 -0.06690 1.30012 0.37870
-82 -0.13511 1.28678 0.36980
-78 -0.20333 1.26035 0.35803
-73 -0.27035 1.22151 0.34424
-69 -0.33508 1.17116 0.32990
-65 -0.39661 1.11046 0.31293
-61 -0.45421 1.04078 0.29596
-57 -0.50737 0.96367 0.27821
-53 -0.55591 0.88082 0.26021
-49 -0.59998 0.79406 0.24235
-44 -0.64019 0.70528 0.22478
-40 -0.67773 0.61642 0.20720
-36 -0.71463 0.52940 0.14283
-32 -0.75411 0.44611 0.07498
-28 -0.86471 0.26651 0.04947
-24 -0.85144 0.19800 0.02618
-20 -0.81457 0.14109 0.00699
-18 -0.78509 0.11723 -0.00048
-16 -0.74814 0.09632 -0.00624
-14 -0.70564 0.07817 -0.01001
-12 -0.65799 0.06233 -0.01191
-10 -0.61073 0.04854 -0.01186
 -8 -0.56937 0.03638 -0.01040
 -6 -0.49038 0.02622 -0.01553
 -4 -0.26313 0.02008 -0.03866
 -2 0.04183 0.01726 -0.06639
 -1 0.19549 0.01654 -0.07833
  0 0.34563 0.01615 -0.08862
  1 0.49143 0.01600 -0.09735
  2 0.63290 0.01606 -0.10475
  3 0.77033 0.01630 -0.11105
  4 0.90386 0.01670 -0.11642
  5 1.03335 0.01726 -0.12095
  6 1.15841 0.01799 -0.12467
  7 1.27814 0.01894 -0.12753
  8 1.39073 0.02015 -0.12936
  9 1.49321 0.02173 -0.12989
 10 1.58081 0.02391 -0.12875
 11 1.64877 0.02708 -0.12605
 12 1.68818 0.03211 -0.12225
 13 1.68044 0.04108 -0.11825
 14 1.60141 0.05736 -0.11579
 15 1.47914 0.08027 -0.11675
 16 1.36600 0.10530 -0.12068
 18 1.21871 0.15355 -0.13208
 20 1.14609 0.19756 -0.14363
 24 1.09672 0.27913 -0.16492
 28 1.08577 0.36070 -0.18559
 32 1.07730 0.44611 -0.20639
 36 1.02090 0.52940 -0.22433
 40 0.96819 0.61642 -0.24210
 44 0.91455 0.70528 -0.25746
 49 0.85711 0.79406 -0.27283
 53 0.79416 0.88082 -0.28742
 57 0.72482 0.96367 -0.30161
 61 0.64887 1.04078 -0.31547
 65 0.56659 1.11046 -0.32830
 69 0.47869 1.17116 -0.34113
 73 0.38621 1.22151 -0.35214
 78 0.29047 1.26035 -0.36276
 82 0.19301 1.28678 -0.37218
 86 0.09557 1.30012 -0.37989
 90 0.00000 1.30000 -0.38760
 94 -0.06690 1.30012 -0.39335
 98 -0.13511 1.28678 -0.39911
102 -0.20333 1.26035 -0.40164
107 -0.27035 1.22151 -0.40190
111 -0.33508 1.17116 -0.40144
115 -0.39661 1.11046 -0.39754
119 -0.45421 1.04078 -0.39364
123 -0.50737 0.96367 -0.38882
127 -0.55591 0.88082 -0.38369
131 -0.59998 0.79406 -0.37971
136 -0.64019 0.70528 -0.37790
140 -0.67773 0.61642 -0.37608
144 -0.71463 0.52940 -0.37637
148 -0.75411 0.44611 -0.37681
150 -0.70024 0.40241 -0.37502
153 -0.64638 0.36068 -0.35897
155 -0.59251 0.32119 -0.34291
157 -0.53865 0.28421 -0.32686
159 -0.48478 0.24998 -0.31081
162 -0.43092 0.21872 -0.33992
164 -0.37705 0.19064 -0.38408
166 -0.32319 0.16591 -0.42824
169 -0.26932 0.14471 -0.47240
171 -0.21546 0.12718 -0.45714
173 -0.16159 0.11342 -0.34286
175 -0.10773 0.10352 -0.22857
178 -0.05386 0.09756 -0.11429
180 0.00000 0.09557 0.00000
