 alpha    c_a    c_d    c_m
-180 0.00000 0.11194 0.00000
-178 0.05308 0.11392 0.09143
-175 0.10616 0.11984 0.18286
-173 0.15924 0.12967 0.27429
-171 0.21232 0.14334 0.36571
-169 0.26540 0.16076 0.38393
-166 0.31848 0.18182 0.35821
-164 0.37156 0.20638 0.33250
-162 0.42464 0.23427 0.30679
-159 0.47772 0.26531 0.29152
-157 0.53080 0.29930 0.30759
-155 0.58389 0.33601 0.32366
-153 0.63697 0.37521 0.33973
-150 0.69005 0.41663 0.35580
-148 0.74313 0.45999 0.35839
-144 0.70568 0.54262 0.35961
-140 0.67045 0.62891 0.36094
-136 0.63429 0.71698 0.36387
-131 0.59525 0.80489 0.36681
-127 0.55218 0.89074 0.37162
-123 0.50448 0.97262 0.37743
-119 0.45203 1.04872 0.38289
-115 0.39504 1.11735 0.38729
-111 0.33400 1.17695 0.39169
-107 0.26966 1.22618 0.39259
-102 0.20294 1.26387 0.39277
-98 0.13494 1.28914 0.39067
-94 0.06686 1.30130 0.38534
-90 0.00000 1.30000 0.38002
-86 -0.06686 1.30130 0.37211
-82 -0.13494 1.28914 0.36421
-78 -0.20294 1.26387 0.35338
-73 -0.26966 1.22618 0.34047
-69 -0.33400 1.17695 0.32698
-65 -0.39504 1.11735 0.31071
-61 -0.45203 1.04872 0.29445
-57 -0.50448 0.97262 0.27728
-53 -0.55218 0.89074 0.25982
-49 -0.59525 0.80489 0.24250
-44 -0.63429 0.71698 0.22546
-40 -0.67045 0.62891 0.20841
-36 -0.70568 0.54262 0.14166
-32 -0.74313 0.45999 0.07122
-28 -0.79562 0.27377 0.04629
-24 -0.77987 0.20393 0.02310
-20 -0.73656 0.14655 0.00374
-18 -0.70274 0.12257 -0.00400
-16 -0.66123 0.10147 -0.01020
-14 -0.61396 0.08313 -0.01454
-12 -0.56143 0.06715 -0.01703
-10 -0.50688 0.05326 -0.01765
 -8 -0.45942 0.04102 -0.01619
 -6 -0.41113 0.03027 -0.01561
 -4 -0.24940 0.02275 -0.03093
 -2 0.04006 0.01920 -0.05889
 -1 0.19757 0.01830 -0.07259
  0 0.35383 0.01780 -0.08493
  1 0.50613 0.01759 -0.09567
  2 0.65347 0.01763 -0.10483
  3 0.79556 0.01789 -0.11255
  4 0.93228 0.01836 -0.11899
  5 1.06337 0.01903 -0.12426
  6 1.18817 0.01992 -0.12840
  7 1.30498 0.02110 -0.13130
  8 1.41108 0.02267 -0.13275
  9 1.50194 0.02487 -0.13248
 10 1.57182 0.02812 -0.13052
 11 1.60929 0.03348 -0.12716
 12 1.59290 0.04327 -0.12333
 13 1.51513 0.05960 -0.12097
 14 1.39822 0.08184 -0.12155
 15 1.28124 0.10707 -0.12521
 16 1.19573 0.13173 -0.13057
 18 1.09901 0.17727 -0.14203
 20 1.05515 0.21922 -0.15276
 24 1.03865 0.29821 -0.17272
 28 1.04811 0.37731 -0.19212
 32 1.06161 0.45999 -0.21225
 36 1.00811 0.54262 -0.22866
 40 0.95779 0.62891 -0.24494
 44 0.90613 0.71698 -0.25943
 49 0.85036 0.80489 -0.27392
 53 0.78882 0.89074 -0.28772
 57 0.72069 0.97262 -0.30117
 61 0.64576 1.04872 -0.31428
 65 0.56434 1.11735 -0.32631
 69 0.47715 1.17695 -0.33833
 73 0.38523 1.22618 -0.34843
 78 0.28992 1.26387 -0.35814
 82 0.19277 1.28914 -0.36660
 86 0.09551 1.30130 -0.37331
 90 0.00000 1.30000 -0.38002
 94 -0.06686 1.30130 -0.38534
 98 -0.13494 1.28914 -0.39067
102 -0.20294 1.26387 -0.39277
107 -0.26966 1.22618 -0.39259
111 -0.33400 1.17695 -0.39169
115 -0.39504 1.11735 -0.38729
119 -0.45203 1.04872 -0.38289
123 -0.50448 0.97262 -0.37743
127 -0.55218 0.89074 -0.37162
131 -0.59525 0.80489 -0.36681
136 -0.63429 0.71698 -0.36387
140 -0.67045 0.62891 -0.36094
144 -0.70568 0.54262 -0.35961
148 -0.74313 0.45999 -0.35839
150 -0.69005 0.41663 -0.35580
153 -0.63697 0.37521 -0.33973
155 -0.58389 0.33601 -0.32366
157 -0.53080 0.29930 -0.30759
159 -0.47772 0.26531 -0.29152
162 -0.42464 0.23427 -0.32393
164 -0.37156 0.20638 -0.37250
166 -0.31848 0.18182 -0.42107
169 -0.26540 0.16076 -0.46964
171 -0.21232 0.14334 -0.45714
173 -0.15924 0.12967 -0.34286
175 -0.10616 0.11984 -0.22857
178 -0.05308 0.11392 -0.11429
180 0.00000 0.11194 0.00000
