 alpha    c_a    c_d    c_m
-180 0.00000 0.09865 0.00000
-178 0.05375 0.10064 0.09143
-175 0.10750 0.10659 0.18286
-173 0.16125 0.11647 0.27429
-171 0.21500 0.13022 0.36571
-169 0.26875 0.14773 0.38625
-166 0.32250 0.16890 0.36425
-164 0.37625 0.19359 0.34225
-162 0.42999 0.22164 0.32025
-159 0.48374 0.25286 0.30776
-157 0.53749 0.28705 0.32382
-155 0.59124 0.32398 0.33988
-153 0.64499 0.36341 0.35594
-150 0.69874 0.40508 0.37200
-148 0.75249 0.44872 0.37392
-144 0.71331 0.53189 0.37376
-140 0.67666 0.61877 0.37375
-136 0.63932 0.70748 0.37575
-131 0.59928 0.79610 0.37774
-127 0.55536 0.88268 0.38186
-123 0.50695 0.96535 0.38710
-119 0.45389 1.04227 0.39203
-115 0.39638 1.11176 0.39601
-111 0.33492 1.17225 0.39999
-107 0.27024 1.22239 0.40052
-102 0.20327 1.26101 0.40033
-98 0.13508 1.28722 0.39787
-94 0.06689 1.30035 0.39218
-90 0.00000 1.30000 0.38650
-86 -0.06689 1.30035 0.37778
-82 -0.13508 1.28722 0.36906
-78 -0.20327 1.26101 0.35745
-73 -0.27024 1.22239 0.34382
-69 -0.33492 1.17225 0.32963
-65 -0.39638 1.11176 0.31279
-61 -0.45389 1.04227 0.29595
-57 -0.50695 0.96535 0.27830
-53 -0.55536 0.88268 0.26039
-49 -0.59928 0.79610 0.24264
-44 -0.63932 0.70748 0.22516
-40 -0.67666 0.61877 0.20768
-36 -0.71331 0.53189 0.14306
-32 -0.75249 0.44872 0.07496
-28 -0.85284 0.26860 0.04956
-24 -0.83982 0.19961 0.02627
-20 -0.80264 0.14240 0.00701
-18 -0.77279 0.11844 -0.00053
-16 -0.73541 0.09742 -0.00638
-14 -0.69246 0.07917 -0.01025
-12 -0.64437 0.06326 -0.01225
-10 -0.59613 0.04942 -0.01230
 -8 -0.55457 0.03720 -0.01072
 -6 -0.48380 0.02687 -0.01461
 -4 -0.26413 0.02052 -0.03706
 -2 0.04151 0.01760 -0.06533
 -1 0.19649 0.01685 -0.07768
  0 0.34804 0.01644 -0.08837
  1 0.49511 0.01628 -0.09744
  2 0.63764 0.01634 -0.10511
  3 0.77590 0.01658 -0.11162
  4 0.91008 0.01698 -0.11715
  5 1.04003 0.01755 -0.12180
  6 1.16538 0.01831 -0.12561
  7 1.28519 0.01928 -0.12852
  8 1.39754 0.02052 -0.13037
  9 1.49931 0.02215 -0.13086
 10 1.58547 0.02442 -0.12961
 11 1.65118 0.02774 -0.12682
 12 1.68655 0.03307 -0.12295
 13 1.67085 0.04272 -0.11895
 14 1.57859 0.06038 -0.11678
 15 1.44662 0.08468 -0.11838
 16 1.33394 0.11027 -0.12285
 18 1.19506 0.15843 -0.13453
 20 1.12803 0.20216 -0.14595
 24 1.08555 0.28327 -0.16694
 28 1.07896 0.36432 -0.18728
 32 1.07499 0.44872 -0.20773
 36 1.01901 0.53189 -0.22539
 40 0.96666 0.61877 -0.24288
 44 0.91331 0.70748 -0.25808
 49 0.85612 0.79610 -0.27329
 53 0.79337 0.88268 -0.28774
 57 0.72421 0.96535 -0.30179
 61 0.64841 1.04227 -0.31552
 65 0.56626 1.11176 -0.32820
 69 0.47846 1.17225 -0.34088
 73 0.38606 1.22239 -0.35173
 78 0.29038 1.26101 -0.36219
 82 0.19298 1.28722 -0.37144
 86 0.09556 1.30035 -0.37897
 90 0.00000 1.30000 -0.38650
 94 -0.06689 1.30035 -0.39218
 98 -0.13508 1.28722 -0.39787
102 -0.20327 1.26101 -0.40033
107 -0.27024 1.22239 -0.40052
111 -0.33492 1.17225 -0.39999
115 -0.39638 1.11176 -0.39601
119 -0.45389 1.04227 -0.39203
123 -0.50695 0.96535 -0.38710
127 -0.55536 0.88268 -0.38186
131 -0.59928 0.79610 -0.37774
136 -0.63932 0.70748 -0.37575
140 -0.67666 0.61877 -0.37375
144 -0.71331 0.53189 -0.37376
148 -0.75249 0.44872 -0.37392
150 -0.69874 0.40508 -0.37200
153 -0.64499 0.36341 -0.35594
155 -0.59124 0.32398 -0.33988
157 -0.53749 0.28705 -0.32382
159 -0.48374 0.25286 -0.30776
162 -0.42999 0.22164 -0.33739
164 -0.37625 0.19359 -0.38225
166 -0.32250 0.16890 -0.42711
169 -0.26875 0.14773 -0.47196
171 -0.21500 0.13022 -0.45714
173 -0.16125 0.11647 -0.34286
175 -0.10750 0.10659 -0.22857
178 -0.05375 0.10064 -0.11429
180 0.00000 0.09865 0.00000
