 alpha    c_a    c_d    c_m
-180 0.00000 0.59235 0.00000
-178 0.00084 0.59238 0.00146
-175 0.00168 0.59247 0.00292
-173 0.00252 0.59263 0.00439
-171 0.00336 0.59285 0.00585
-169 0.00420 0.59312 0.00611
-166 0.00504 0.59346 0.00565
-164 0.00588 0.59385 0.00519
-162 0.00672 0.59430 0.00474
-159 0.00756 0.59479 0.00446
-157 0.00840 0.59533 0.00471
-155 0.00924 0.59592 0.00497
-153 0.01008 0.59654 0.00523
-150 0.01092 0.59720 0.00549
-148 0.01176 0.59789 0.00554
-144 0.01119 0.59921 0.00557
-140 0.01064 0.60058 0.00561
-136 0.01008 0.60198 0.00567
-131 0.00947 0.60338 0.00573
-127 0.00879 0.60474 0.00581
-123 0.00804 0.60604 0.00591
-119 0.00721 0.60725 0.00601
-115 0.00630 0.60834 0.00608
-111 0.00533 0.60928 0.00616
-107 0.00431 0.61006 0.00618
-102 0.00324 0.61065 0.00618
-98 0.00216 0.61104 0.00615
-94 0.00107 0.61123 0.00607
-90 0.00000 0.61120 0.00599
-86 -0.00107 0.61123 0.00588
-82 -0.00216 0.61104 0.00576
-78 -0.00324 0.61065 0.00560
-73 -0.00431 0.61006 0.00540
-69 -0.00533 0.60928 0.00519
-65 -0.00630 0.60834 0.00494
-61 -0.00721 0.60725 0.00468
-57 -0.00804 0.60604 0.00441
-53 -0.00879 0.60474 0.00414
-49 -0.00947 0.60338 0.00387
-44 -0.01008 0.60198 0.00360
-40 -0.01064 0.60058 0.00333
-36 -0.01119 0.59921 0.00223
-32 -0.01176 0.59789 0.00107
-28 -0.01203 0.59482 0.00068
-24 -0.01173 0.59370 0.00031
-20 -0.01093 0.59279 0.00000
-18 -0.01033 0.59240 -0.00012
-16 -0.00961 0.59207 -0.00023
-14 -0.00879 0.59178 -0.00030
-12 -0.00788 0.59152 -0.00035
-10 -0.00692 0.59130 -0.00037
 -8 -0.00606 0.59110 -0.00035
 -6 -0.00547 0.59093 -0.00029
 -4 -0.00370 0.59079 -0.00043
 -2 0.00062 0.59073 -0.00086
 -1 0.00315 0.59071 -0.00109
  0 0.00570 0.59070 -0.00130
  1 0.00819 0.59070 -0.00150
  2 0.01061 0.59070 -0.00166
  3 0.01292 0.59071 -0.00180
  4 0.01514 0.59071 -0.00192
  5 0.01724 0.59073 -0.00201
  6 0.01922 0.59074 -0.00208
  7 0.02103 0.59076 -0.00212
  8 0.02263 0.59079 -0.00214
  9 0.02391 0.59084 -0.00212
 10 0.02478 0.59090 -0.00208
 11 0.02494 0.59102 -0.00202
 12 0.02387 0.59125 -0.00196
 13 0.02174 0.59161 -0.00195
 14 0.01979 0.59201 -0.00200
 15 0.01844 0.59239 -0.00208
 16 0.01754 0.59276 -0.00217
 18 0.01651 0.59344 -0.00234
 20 0.01607 0.59409 -0.00250
 24 0.01608 0.59533 -0.00281
 28 0.01640 0.59657 -0.00311
 32 0.01681 0.59789 -0.00344
 36 0.01598 0.59921 -0.00369
 40 0.01520 0.60058 -0.00393
 44 0.01440 0.60198 -0.00416
 49 0.01353 0.60338 -0.00438
 53 0.01256 0.60474 -0.00459
 57 0.01148 0.60604 -0.00480
 61 0.01029 0.60725 -0.00500
 65 0.00900 0.60834 -0.00519
 69 0.00761 0.60928 -0.00537
 73 0.00615 0.61006 -0.00553
 78 0.00463 0.61065 -0.00567
 82 0.00308 0.61104 -0.00580
 86 0.00153 0.61123 -0.00590
 90 0.00000 0.61120 -0.00599
 94 -0.00107 0.61123 -0.00607
 98 -0.00216 0.61104 -0.00615
102 -0.00324 0.61065 -0.00618
107 -0.00431 0.61006 -0.00618
111 -0.00533 0.60928 -0.00616
115 -0.00630 0.60834 -0.00608
119 -0.00721 0.60725 -0.00601
123 -0.00804 0.60604 -0.00591
127 -0.00879 0.60474 -0.00581
131 -0.00947 0.60338 -0.00573
136 -0.01008 0.60198 -0.00567
140 -0.01064 0.60058 -0.00561
144 -0.01119 0.59921 -0.00557
148 -0.01176 0.59789 -0.00554
150 -0.01092 0.59720 -0.00549
153 -0.01008 0.59654 -0.00523
155 -0.00924 0.59592 -0.00497
157 -0.00840 0.59533 -0.00471
159 -0.00756 0.59479 -0.00446
162 -0.00672 0.59430 -0.00501
164 -0.00588 0.59385 -0.00583
166 -0.00504 0.59346 -0.00666
169 -0.00420 0.59312 -0.00748
171 -0.00336 0.59285 -0.00731
173 -0.00252 0.59263 -0.00548
175 -0.00168 0.59247 -0.00366
178 -0.00084 0.59238 -0.00183
180 0.00000 0.59235 0.00000
