 alpha    c_a    c_d    c_m
-180 0.00000 0.05387 0.00000
-178 0.04998 0.05621 0.09143
-175 0.09996 0.06323 0.18286
-173 0.14995 0.07487 0.27429
-171 0.19993 0.09106 0.36571
-169 0.24991 0.11169 0.38843
-166 0.29989 0.13664 0.36991
-164 0.34988 0.16575 0.35139
-162 0.39986 0.19881 0.33287
-159 0.44984 0.23563 0.32317
-157 0.49982 0.27596 0.33993
-155 0.54980 0.31954 0.35668
-153 0.59979 0.36610 0.37344
-150 0.64977 0.41533 0.39019
-148 0.69975 0.46690 0.39613
-144 0.68577 0.56530 0.40409
-140 0.66902 0.66823 0.41206
-136 0.64722 0.77351 0.42032
-131 0.61898 0.87890 0.42858
-127 0.58353 0.98216 0.43742
-123 0.54061 1.08108 0.44657
-119 0.49035 1.17356 0.45495
-115 0.43319 1.25760 0.46096
-111 0.36984 1.33139 0.46696
-107 0.30128 1.39334 0.46813
-102 0.22865 1.44211 0.46829
-98 0.15326 1.47661 0.46561
-94 0.07654 1.49607 0.45891
-90 0.00000 1.50000 0.45220
-86 -0.07654 1.49607 0.43973
-82 -0.15326 1.47661 0.42726
-78 -0.22865 1.44211 0.41144
-73 -0.30128 1.39334 0.39326
-69 -0.36984 1.33139 0.37441
-65 -0.43319 1.25760 0.35237
-61 -0.49035 1.17356 0.33034
-57 -0.54061 1.08108 0.30718
-53 -0.58353 0.98216 0.28367
-49 -0.61898 0.87890 0.26024
-44 -0.64722 0.77351 0.23697
-40 -0.66902 0.66823 0.21369
-36 -0.68577 0.56530 0.15607
-32 -0.69975 0.46690 0.09589
-28 -0.83432 0.30071 0.06369
-24 -1.06986 0.16162 0.02235
-20 -1.11435 0.10091 0.00051
-18 -1.10481 0.07938 -0.00517
-16 -1.08190 0.06146 -0.00824
-14 -1.05384 0.04607 -0.00965
-12 -1.01325 0.03236 -0.01304
-10 -0.89766 0.02155 -0.02519
 -8 -0.67884 0.01521 -0.04399
 -6 -0.41534 0.01224 -0.06078
 -4 -0.15462 0.01093 -0.07206
 -2 0.10099 0.01039 -0.08042
 -1 0.22734 0.01031 -0.08399
  0 0.35274 0.01032 -0.08726
  1 0.47717 0.01042 -0.09026
  2 0.60051 0.01061 -0.09303
  3 0.72262 0.01089 -0.09557
  4 0.84327 0.01126 -0.09786
  5 0.96221 0.01173 -0.09989
  6 1.07911 0.01231 -0.10164
  7 1.19339 0.01302 -0.10306
  8 1.30459 0.01389 -0.10410
  9 1.41158 0.01494 -0.10466
 10 1.51286 0.01624 -0.10460
 11 1.60618 0.01790 -0.10376
 12 1.68819 0.02010 -0.10202
 13 1.75408 0.02329 -0.09955
 14 1.79268 0.02845 -0.09662
 15 1.78335 0.03768 -0.09371
 16 1.72292 0.05229 -0.09221
 18 1.56204 0.09059 -0.09623
 20 1.45802 0.12963 -0.10551
 24 1.32401 0.21153 -0.12922
 28 1.17779 0.31722 -0.16049
 32 0.99965 0.46690 -0.19468
 36 0.97967 0.56530 -0.22007
 40 0.95574 0.66823 -0.24524
 44 0.92460 0.77351 -0.26755
 49 0.88425 0.87890 -0.28985
 53 0.83361 0.98216 -0.31081
 57 0.77231 1.08108 -0.33104
 61 0.70050 1.17356 -0.35072
 65 0.61884 1.25760 -0.36863
 69 0.52835 1.33139 -0.38654
 73 0.43040 1.39334 -0.40186
 78 0.32665 1.44211 -0.41665
 82 0.21894 1.47661 -0.42992
 86 0.10934 1.49607 -0.44106
 90 0.00000 1.50000 -0.45220
 94 -0.07654 1.49607 -0.45891
 98 -0.15326 1.47661 -0.46561
102 -0.22865 1.44211 -0.46829
107 -0.30128 1.39334 -0.46813
111 -0.36984 1.33139 -0.46696
115 -0.43319 1.25760 -0.46096
119 -0.49035 1.17356 -0.45495
123 -0.54061 1.08108 -0.44657
127 -0.58353 0.98216 -0.43742
131 -0.61898 0.87890 -0.42858
136 -0.64722 0.77351 -0.42032
140 -0.66902 0.66823 -0.41206
144 -0.68577 0.56530 -0.40409
148 -0.69975 0.46690 -0.39613
150 -0.64977 0.41533 -0.39019
153 -0.59979 0.36610 -0.37344
155 -0.54980 0.31954 -0.35668
157 -0.49982 0.27596 -0.33993
159 -0.44984 0.23563 -0.32317
162 -0.39986 0.19881 -0.35001
164 -0.34988 0.16575 -0.39139
166 -0.29989 0.13664 -0.43276
169 -0.24991 0.11169 -0.47414
171 -0.19993 0.09106 -0.45714
173 -0.14995 0.07487 -0.34286
175 -0.09996 0.06323 -0.22857
178 -0.04998 0.05621 -0.11429
180 0.00000 0.05387 0.00000
