 alpha    c_a    c_d    c_m
-180 0.00000 0.07797 0.00000
-178 0.05443 0.07998 0.09143
-175 0.10887 0.08601 0.18286
-173 0.16330 0.09602 0.27429
-171 0.21773 0.10993 0.36571
-169 0.27216 0.12766 0.38901
-166 0.32660 0.14910 0.37143
-164 0.38103 0.17409 0.35384
-162 0.43546 0.20250 0.33626
-159 0.48989 0.23411 0.32708
-157 0.54433 0.26874 0.34312
-155 0.59876 0.30615 0.35916
-153 0.65319 0.34610 0.37519
-150 0.70763 0.38833 0.39123
-148 0.76206 0.43257 0.39240
-144 0.72149 0.51691 0.39067
-140 0.68368 0.60506 0.38912
-136 0.64535 0.69513 0.39010
-131 0.60445 0.78519 0.39108
-127 0.55975 0.87328 0.39446
-123 0.51064 0.95750 0.39910
-119 0.45694 1.03602 0.40348
-115 0.39885 1.10712 0.40702
-111 0.33686 1.16926 0.41055
-107 0.27169 1.22103 0.41066
-102 0.20428 1.26127 0.41005
-98 0.13570 1.28907 0.40716
-94 0.06717 1.30376 0.40102
-90 0.00000 1.30493 0.39488
-86 -0.06717 1.30376 0.38496
-82 -0.13570 1.28907 0.37504
-78 -0.20428 1.26127 0.36230
-73 -0.27169 1.22103 0.34757
-69 -0.33686 1.16926 0.33233
-65 -0.39885 1.10712 0.31458
-61 -0.45694 1.03602 0.29684
-57 -0.51064 0.95750 0.27842
-53 -0.55975 0.87328 0.25978
-49 -0.60445 0.78519 0.24129
-44 -0.64535 0.69513 0.22308
-40 -0.68368 0.60506 0.20487
-36 -0.72149 0.51691 0.14174
-32 -0.76206 0.43257 0.07527
-28 -0.92985 0.25503 0.04897
-24 -0.91641 0.18888 0.02565
-20 -0.88197 0.13356 0.00682
-18 -0.85466 0.11030 -0.00029
-16 -0.82014 0.09000 -0.00550
-14 -0.78011 0.07238 -0.00866
-12 -0.73504 0.05696 -0.01001
-10 -0.69311 0.04352 -0.00943
 -8 -0.65075 0.03170 -0.00897
 -6 -0.52355 0.02254 -0.02118
 -4 -0.25564 0.01761 -0.04778
 -2 0.04479 0.01534 -0.07227
 -1 0.19100 0.01480 -0.08188
  0 0.33331 0.01451 -0.08995
  1 0.47209 0.01443 -0.09681
  2 0.60776 0.01452 -0.10271
  3 0.74053 0.01474 -0.10786
  4 0.87047 0.01510 -0.11233
  5 0.99736 0.01560 -0.11618
  6 1.12075 0.01625 -0.11941
  7 1.24007 0.01707 -0.12197
  8 1.35386 0.01810 -0.12372
  9 1.46014 0.01941 -0.12445
 10 1.55549 0.02113 -0.12384
 11 1.63574 0.02348 -0.12168
 12 1.69691 0.02688 -0.11829
 13 1.73186 0.03218 -0.11431
 14 1.72378 0.04116 -0.11033
 15 1.65475 0.05651 -0.10791
 16 1.54136 0.07833 -0.10886
 18 1.34968 0.12679 -0.11863
 20 1.24644 0.17231 -0.13084
 24 1.15860 0.25651 -0.15385
 28 1.12262 0.34119 -0.17639
 32 1.08865 0.43257 -0.19923
 36 1.03070 0.51691 -0.21879
 40 0.97668 0.60506 -0.23814
 44 0.92193 0.69513 -0.25450
 49 0.86349 0.78519 -0.27086
 53 0.79964 0.87328 -0.28635
 57 0.72948 0.95750 -0.30137
 61 0.65277 1.03602 -0.31607
 65 0.56979 1.10712 -0.32977
 69 0.48123 1.16926 -0.34347
 73 0.38813 1.22103 -0.35542
 78 0.29182 1.26127 -0.36701
 82 0.19386 1.28907 -0.37741
 86 0.09596 1.30376 -0.38615
 90 0.00000 1.30493 -0.39488
 94 -0.06717 1.30376 -0.40102
 98 -0.13570 1.28907 -0.40716
102 -0.20428 1.26127 -0.41005
107 -0.27169 1.22103 -0.41066
111 -0.33686 1.16926 -0.41055
115 -0.39885 1.10712 -0.40702
119 -0.45694 1.03602 -0.40348
123 -0.51064 0.95750 -0.39910
127 -0.55975 0.87328 -0.39446
131 -0.60445 0.78519 -0.39108
136 -0.64535 0.69513 -0.39010
140 -0.68368 0.60506 -0.38912
144 -0.72149 0.51691 -0.39067
148 -0.76206 0.43257 -0.39240
150 -0.70763 0.38833 -0.39123
153 -0.65319 0.34610 -0.37519
155 -0.59876 0.30615 -0.35916
157 -0.54433 0.26874 -0.34312
159 -0.48989 0.23411 -0.32708
162 -0.43546 0.20250 -0.35340
164 -0.38103 0.17409 -0.39384
166 -0.32660 0.14910 -0.43428
169 -0.27216 0.12766 -0.47472
171 -0.21773 0.10993 -0.45714
173 -0.16330 0.09602 -0.34286
175 -0.10887 0.08601 -0.22857
178 -0.05443 0.07998 -0.11429
180 0.00000 0.07797 0.00000
