 alpha    c_a    c_d    c_m
-180 0.00000 0.04529 0.00000
-178 0.05073 0.04764 0.09143
-175 0.10147 0.05467 0.18286
-173 0.15220 0.06634 0.27429
-171 0.20293 0.08258 0.36571
-169 0.25367 0.10328 0.38887
-166 0.30440 0.12830 0.37107
-164 0.35513 0.15750 0.35327
-162 0.40586 0.19066 0.33547
-159 0.45660 0.22759 0.32632
-157 0.50733 0.26805 0.34313
-155 0.55806 0.31177 0.35995
-153 0.60880 0.35848 0.37677
-150 0.65953 0.40787 0.39358
-148 0.71026 0.45963 0.39919
-144 0.69433 0.55837 0.40645
-140 0.67599 0.66168 0.41375
-136 0.65286 0.76738 0.42156
-131 0.62350 0.87322 0.42937
-127 0.58710 0.97696 0.43795
-123 0.54338 1.07639 0.44692
-119 0.49243 1.16940 0.45517
-115 0.43469 1.25399 0.46114
-111 0.37088 1.32835 0.46712
-107 0.30194 1.39090 0.46832
-102 0.22902 1.44026 0.46854
-98 0.15342 1.47538 0.46592
-94 0.07658 1.49544 0.45930
-90 0.00000 1.50000 0.45267
-86 -0.07658 1.49544 0.43999
-82 -0.15342 1.47538 0.42730
-78 -0.22902 1.44026 0.41130
-73 -0.30194 1.39090 0.39296
-69 -0.37088 1.32835 0.37397
-65 -0.43469 1.25399 0.35188
-61 -0.49243 1.16940 0.32978
-57 -0.54338 1.07639 0.30665
-53 -0.58710 0.97696 0.28318
-49 -0.62350 0.87322 0.25982
-44 -0.65286 0.76738 0.23667
-40 -0.67599 0.66168 0.21351
-36 -0.69433 0.55837 0.15494
-32 -0.71026 0.45963 0.09374
-28 -0.91438 0.27209 0.05743
-24 -1.06664 0.16265 0.02206
-20 -1.09468 0.10388 0.00125
-18 -1.08247 0.08231 -0.00447
-16 -1.05765 0.06424 -0.00766
-14 -1.02688 0.04874 -0.00900
-12 -0.99046 0.03506 -0.01078
-10 -0.90199 0.02362 -0.01968
 -8 -0.69388 0.01629 -0.03990
 -6 -0.42611 0.01285 -0.05923
 -4 -0.16155 0.01135 -0.07190
 -2 0.09673 0.01074 -0.08104
 -1 0.22416 0.01063 -0.08488
  0 0.35054 0.01062 -0.08838
  1 0.47586 0.01071 -0.09157
  2 0.60004 0.01089 -0.09450
  3 0.72290 0.01117 -0.09717
  4 0.84426 0.01153 -0.09958
  5 0.96385 0.01200 -0.10170
  6 1.08133 0.01259 -0.10352
  7 1.19613 0.01330 -0.10499
  8 1.30774 0.01416 -0.10605
  9 1.41498 0.01522 -0.10659
 10 1.51632 0.01653 -0.10647
 11 1.60938 0.01818 -0.10549
 12 1.69093 0.02039 -0.10355
 13 1.75652 0.02355 -0.10085
 14 1.79598 0.02861 -0.09770
 15 1.78965 0.03754 -0.09460
 16 1.73116 0.05194 -0.09295
 18 1.56354 0.09100 -0.09710
 20 1.45148 0.13135 -0.10693
 24 1.30942 0.21561 -0.13156
 28 1.17071 0.32031 -0.16228
 32 1.01466 0.45963 -0.19484
 36 0.99190 0.55837 -0.22013
 40 0.96570 0.66168 -0.24521
 44 0.93266 0.76738 -0.26737
 49 0.89071 0.87322 -0.28954
 53 0.83872 0.97696 -0.31040
 57 0.77626 1.07639 -0.33057
 61 0.70347 1.16940 -0.35021
 65 0.62099 1.25399 -0.36817
 69 0.52983 1.32835 -0.38612
 73 0.43134 1.39090 -0.40158
 78 0.32717 1.44026 -0.41651
 82 0.21917 1.47538 -0.42996
 86 0.10940 1.49544 -0.44132
 90 0.00000 1.50000 -0.45267
 94 -0.07658 1.49544 -0.45930
 98 -0.15342 1.47538 -0.46592
102 -0.22902 1.44026 -0.46854
107 -0.30194 1.39090 -0.46832
111 -0.37088 1.32835 -0.46712
115 -0.43469 1.25399 -0.46114
119 -0.49243 1.16940 -0.45517
123 -0.54338 1.07639 -0.44692
127 -0.58710 0.97696 -0.43795
131 -0.62350 0.87322 -0.42937
136 -0.65286 0.76738 -0.42156
140 -0.67599 0.66168 -0.41375
144 -0.69433 0.55837 -0.40645
148 -0.71026 0.45963 -0.39919
150 -0.65953 0.40787 -0.39358
153 -0.60880 0.35848 -0.37677
155 -0.55806 0.31177 -0.35995
157 -0.50733 0.26805 -0.34313
159 -0.45660 0.22759 -0.32632
162 -0.40586 0.19066 -0.35261
164 -0.35513 0.15750 -0.39327
166 -0.30440 0.12830 -0.43393
169 -0.25367 0.10328 -0.47459
171 -0.20293 0.08258 -0.45714
173 -0.15220 0.06634 -0.34286
175 -0.10147 0.05467 -0.22857
178 -0.05073 0.04764 -0.11429
180 0.00000 0.04529 0.00000
