 alpha    c_a    c_d    c_m
-180 0.00000 0.07957 0.00000
-178 0.04773 0.08190 0.09143
-175 0.09547 0.08885 0.18286
-173 0.14320 0.10039 0.27429
-171 0.19093 0.11644 0.36571
-169 0.23867 0.13689 0.38709
-166 0.28640 0.16162 0.36642
-164 0.33414 0.19046 0.34576
-162 0.38187 0.22322 0.32509
-159 0.42960 0.25970 0.31374
-157 0.47734 0.29965 0.33031
-155 0.52507 0.34282 0.34689
-153 0.57280 0.38892 0.36346
-150 0.62054 0.43765 0.38004
-148 0.66827 0.48870 0.38696
-144 0.66012 0.58606 0.39701
-140 0.64815 0.68784 0.40703
-136 0.63032 0.79187 0.41661
-131 0.60543 0.89591 0.42619
-127 0.57283 0.99773 0.43584
-123 0.53233 1.09513 0.44551
-119 0.48412 1.18602 0.45432
-115 0.42867 1.26840 0.46040
-111 0.36674 1.34048 0.46648
-107 0.29931 1.40067 0.46753
-102 0.22755 1.44764 0.46753
-98 0.15277 1.48032 0.46467
-94 0.07641 1.49792 0.45773
-90 0.00000 1.50000 0.45079
-86 -0.07641 1.49792 0.43897
-82 -0.15277 1.48032 0.42715
-78 -0.22755 1.44764 0.41187
-73 -0.29931 1.40067 0.39415
-69 -0.36674 1.34048 0.37571
-65 -0.42867 1.26840 0.35386
-61 -0.48412 1.18602 0.33200
-57 -0.53233 1.09513 0.30879
-53 -0.57283 0.99773 0.28515
-49 -0.60543 0.89591 0.26151
-44 -0.63032 0.79187 0.23787
-40 -0.64815 0.68784 0.21423
-36 -0.66012 0.58606 0.15944
-32 -0.66827 0.48870 0.10233
-28 -0.59454 0.38640 0.08242
-24 -1.07951 0.15852 0.02319
-20 -1.17327 0.09201 -0.00173
-18 -1.17170 0.07060 -0.00723
-16 -1.15455 0.05314 -0.00996
-14 -1.13458 0.03805 -0.01162
-12 -1.08149 0.02428 -0.01981
-10 -0.88469 0.01534 -0.04169
 -8 -0.63378 0.01198 -0.05624
 -6 -0.38306 0.01045 -0.06542
 -4 -0.13389 0.00967 -0.07252
 -2 0.11376 0.00936 -0.07857
 -1 0.23685 0.00934 -0.08132
  0 0.35932 0.00940 -0.08391
  1 0.48107 0.00953 -0.08635
  2 0.60195 0.00975 -0.08863
  3 0.72177 0.01004 -0.09076
  4 0.84032 0.01042 -0.09271
  5 0.95731 0.01090 -0.09447
  6 1.07246 0.01148 -0.09600
  7 1.18517 0.01219 -0.09728
  8 1.29518 0.01305 -0.09826
  9 1.40139 0.01410 -0.09888
 10 1.50249 0.01540 -0.09903
 11 1.59659 0.01704 -0.09860
 12 1.67997 0.01925 -0.09745
 13 1.74677 0.02250 -0.09565
 14 1.78279 0.02800 -0.09337
 15 1.76447 0.03810 -0.09105
 16 1.69822 0.05335 -0.09000
 18 1.55754 0.08937 -0.09362
 20 1.47762 0.12445 -0.10127
 24 1.36771 0.19931 -0.12220
 28 1.19901 0.30799 -0.15513
 32 0.95467 0.48870 -0.19421
 36 0.94303 0.58606 -0.21988
 40 0.92592 0.68784 -0.24535
 44 0.90046 0.79187 -0.26808
 49 0.86490 0.89591 -0.29080
 53 0.81833 0.99773 -0.31202
 57 0.76048 1.09513 -0.33245
 61 0.69159 1.18602 -0.35224
 65 0.61238 1.26840 -0.37001
 69 0.52392 1.34048 -0.38778
 73 0.42759 1.40067 -0.40271
 78 0.32507 1.44764 -0.41706
 82 0.21825 1.48032 -0.42981
 86 0.10916 1.49792 -0.44030
 90 0.00000 1.50000 -0.45079
 94 -0.07641 1.49792 -0.45773
 98 -0.15277 1.48032 -0.46467
102 -0.22755 1.44764 -0.46753
107 -0.29931 1.40067 -0.46753
111 -0.36674 1.34048 -0.46648
115 -0.42867 1.26840 -0.46040
119 -0.48412 1.18602 -0.45432
123 -0.53233 1.09513 -0.44551
127 -0.57283 0.99773 -0.43584
131 -0.60543 0.89591 -0.42619
136 -0.63032 0.79187 -0.41661
140 -0.64815 0.68784 -0.40703
144 -0.66012 0.58606 -0.39701
148 -0.66827 0.48870 -0.38696
150 -0.62054 0.43765 -0.38004
153 -0.57280 0.38892 -0.36346
155 -0.52507 0.34282 -0.34689
157 -0.47734 0.29965 -0.33031
159 -0.42960 0.25970 -0.31374
162 -0.38187 0.22322 -0.34224
164 -0.33414 0.19046 -0.38576
166 -0.28640 0.16162 -0.42928
169 -0.23867 0.13689 -0.47280
171 -0.19093 0.11644 -0.45714
173 -0.14320 0.10039 -0.34286
175 -0.09547 0.08885 -0.22857
178 -0.04773 0.08190 -0.11429
180 0.00000 0.07957 0.00000
