 alpha    c_a    c_d    c_m
-180 0.00000 0.04226 0.00000
-178 0.05245 0.04454 0.09143
-175 0.10489 0.05138 0.18286
-173 0.15734 0.06272 0.27429
-171 0.20978 0.07850 0.36571
-169 0.26223 0.09860 0.38955
-166 0.31468 0.12292 0.37283
-164 0.36712 0.15128 0.35611
-162 0.41957 0.18350 0.33940
-159 0.47201 0.21938 0.33103
-157 0.52446 0.25869 0.34774
-155 0.57691 0.30117 0.36444
-153 0.62935 0.34655 0.38115
-150 0.68180 0.39453 0.39785
-148 0.73424 0.44482 0.40204
-144 0.71051 0.54076 0.40639
-140 0.68593 0.64114 0.41084
-136 0.65784 0.74385 0.41655
-131 0.62458 0.84671 0.42227
-127 0.58520 0.94753 0.42933
-123 0.53932 1.04417 0.43709
-119 0.48695 1.13457 0.44428
-115 0.42846 1.21682 0.44965
-111 0.36450 1.28913 0.45503
-107 0.29595 1.34998 0.45601
-102 0.22392 1.39803 0.45608
-98 0.14965 1.43224 0.45345
-94 0.07452 1.45185 0.44700
-90 0.00000 1.45640 0.44055
-86 -0.07452 1.45185 0.42820
-82 -0.14965 1.43224 0.41584
-78 -0.22392 1.39803 0.40032
-73 -0.29595 1.34998 0.38258
-69 -0.36450 1.28913 0.36423
-65 -0.42846 1.21682 0.34301
-61 -0.48695 1.13457 0.32179
-57 -0.53932 1.04417 0.29969
-53 -0.58520 0.94753 0.27732
-49 -0.62458 0.84671 0.25510
-44 -0.65784 0.74385 0.23314
-40 -0.68593 0.64114 0.21119
-36 -0.71051 0.54076 0.14988
-32 -0.73424 0.44482 0.08565
-28 -0.99056 0.24420 0.05036
-24 -1.03431 0.16897 0.02298
-20 -1.03277 0.11290 0.00364
-18 -1.01461 0.09094 -0.00242
-16 -0.98613 0.07226 -0.00611
-14 -0.95072 0.05621 -0.00776
-12 -0.91501 0.04220 -0.00800
-10 -0.86391 0.02987 -0.01095
 -8 -0.71615 0.02048 -0.02625
 -6 -0.46416 0.01531 -0.04880
 -4 -0.18727 0.01295 -0.06728
 -2 0.08247 0.01195 -0.08026
 -1 0.21426 0.01174 -0.08539
  0 0.34436 0.01167 -0.08991
  1 0.47292 0.01172 -0.09395
  2 0.59996 0.01187 -0.09759
  3 0.72540 0.01213 -0.10086
  4 0.84910 0.01248 -0.10379
  5 0.97079 0.01295 -0.10636
  6 1.09008 0.01354 -0.10855
  7 1.20643 0.01427 -0.11031
  8 1.31913 0.01516 -0.11157
  9 1.42680 0.01625 -0.11219
 10 1.52764 0.01761 -0.11199
 11 1.61878 0.01936 -0.11071
 12 1.69678 0.02173 -0.10829
 13 1.75768 0.02514 -0.10511
 14 1.79135 0.03058 -0.10150
 15 1.78006 0.03998 -0.09816
 16 1.71648 0.05502 -0.09655
 18 1.53147 0.09692 -0.10177
 20 1.40756 0.14028 -0.11287
 24 1.26424 0.22764 -0.13837
 28 1.15613 0.32662 -0.16666
 32 1.04892 0.44482 -0.19546
 36 1.01501 0.54076 -0.21949
 40 0.97991 0.64114 -0.24330
 44 0.93977 0.74385 -0.26407
 49 0.89225 0.84671 -0.28485
 53 0.83601 0.94753 -0.30446
 57 0.77046 1.04417 -0.32345
 61 0.69565 1.13457 -0.34198
 65 0.61209 1.21682 -0.35908
 69 0.52071 1.28913 -0.37617
 73 0.42279 1.34998 -0.39103
 78 0.31989 1.39803 -0.40543
 82 0.21379 1.43224 -0.41844
 86 0.10646 1.45185 -0.42950
 90 0.00000 1.45640 -0.44055
 94 -0.07452 1.45185 -0.44700
 98 -0.14965 1.43224 -0.45345
102 -0.22392 1.39803 -0.45608
107 -0.29595 1.34998 -0.45601
111 -0.36450 1.28913 -0.45503
115 -0.42846 1.21682 -0.44965
119 -0.48695 1.13457 -0.44428
123 -0.53932 1.04417 -0.43709
127 -0.58520 0.94753 -0.42933
131 -0.62458 0.84671 -0.42227
136 -0.65784 0.74385 -0.41655
140 -0.68593 0.64114 -0.41084
144 -0.71051 0.54076 -0.40639
148 -0.73424 0.44482 -0.40204
150 -0.68180 0.39453 -0.39785
153 -0.62935 0.34655 -0.38115
155 -0.57691 0.30117 -0.36444
157 -0.52446 0.25869 -0.34774
159 -0.47201 0.21938 -0.33103
162 -0.41957 0.18350 -0.35654
164 -0.36712 0.15128 -0.39611
166 -0.31468 0.12292 -0.43569
169 -0.26223 0.09860 -0.47527
171 -0.20978 0.07850 -0.45714
173 -0.15734 0.06272 -0.34286
175 -0.10489 0.05138 -0.22857
178 -0.05245 0.04454 -0.11429
180 0.00000 0.04226 0.00000
