 alpha    c_a    c_d    c_m
-180 0.00000 0.09846 0.00000
-178 0.05376 0.10045 0.09143
-175 0.10751 0.10641 0.18286
-173 0.16127 0.11629 0.27429
-171 0.21503 0.13003 0.36571
-169 0.26878 0.14755 0.38628
-166 0.32254 0.16872 0.36432
-164 0.37629 0.19342 0.34236
-162 0.43005 0.22147 0.32040
-159 0.48381 0.25269 0.30795
-157 0.53756 0.28688 0.32401
-155 0.59132 0.32381 0.34006
-153 0.64508 0.36324 0.35612
-150 0.69883 0.40492 0.37218
-148 0.75259 0.44856 0.37410
-144 0.71339 0.53174 0.37392
-140 0.67672 0.61863 0.37389
-136 0.63937 0.70735 0.37587
-131 0.59932 0.79597 0.37786
-127 0.55539 0.88257 0.38197
-123 0.50697 0.96525 0.38720
-119 0.45391 1.04218 0.39212
-115 0.39640 1.11168 0.39610
-111 0.33493 1.17218 0.40008
-107 0.27025 1.22233 0.40060
-102 0.20327 1.26097 0.40041
-98 0.13508 1.28719 0.39794
-94 0.06689 1.30033 0.39225
-90 0.00000 1.30000 0.38657
-86 -0.06689 1.30033 0.37783
-82 -0.13508 1.28719 0.36910
-78 -0.20327 1.26097 0.35749
-73 -0.27025 1.22233 0.34384
-69 -0.33493 1.17218 0.32964
-65 -0.39640 1.11168 0.31280
-61 -0.45391 1.04218 0.29595
-57 -0.50697 0.96525 0.27829
-53 -0.55539 0.88257 0.26038
-49 -0.59932 0.79597 0.24262
-44 -0.63937 0.70735 0.22514
-40 -0.67672 0.61863 0.20765
-36 -0.71339 0.53174 0.14305
-32 -0.75259 0.44856 0.07496
-28 -0.85356 0.26848 0.04956
-24 -0.84052 0.19951 0.02626
-20 -0.80336 0.14232 0.00701
-18 -0.77353 0.11837 -0.00052
-16 -0.73618 0.09735 -0.00637
-14 -0.69326 0.07911 -0.01024
-12 -0.64519 0.06321 -0.01223
-10 -0.59702 0.04937 -0.01227
 -8 -0.55546 0.03715 -0.01070
 -6 -0.48420 0.02684 -0.01466
 -4 -0.26407 0.02049 -0.03716
 -2 0.04153 0.01758 -0.06540
 -1 0.19643 0.01684 -0.07772
  0 0.34790 0.01642 -0.08838
  1 0.49489 0.01627 -0.09743
  2 0.63735 0.01632 -0.10509
  3 0.77556 0.01656 -0.11159
  4 0.90970 0.01697 -0.11711
  5 1.03962 0.01754 -0.12175
  6 1.16496 0.01829 -0.12555
  7 1.28476 0.01926 -0.12846
  8 1.39713 0.02050 -0.13031
  9 1.49894 0.02213 -0.13080
 10 1.58519 0.02439 -0.12956
 11 1.65103 0.02770 -0.12677
 12 1.68665 0.03301 -0.12291
 13 1.67143 0.04262 -0.11890
 14 1.57997 0.06020 -0.11672
 15 1.44858 0.08442 -0.11828
 16 1.33587 0.10997 -0.12272
 18 1.19649 0.15814 -0.13439
 20 1.12912 0.20189 -0.14581
 24 1.08622 0.28302 -0.16681
 28 1.07937 0.36410 -0.18718
 32 1.07513 0.44856 -0.20765
 36 1.01913 0.53174 -0.22533
 40 0.96675 0.61863 -0.24283
 44 0.91339 0.70735 -0.25805
 49 0.85618 0.79597 -0.27326
 53 0.79342 0.88257 -0.28772
 57 0.72425 0.96525 -0.30178
 61 0.64844 1.04218 -0.31551
 65 0.56628 1.11168 -0.32821
 69 0.47848 1.17218 -0.34090
 73 0.38607 1.22233 -0.35175
 78 0.29039 1.26097 -0.36222
 82 0.19298 1.28719 -0.37148
 86 0.09556 1.30033 -0.37902
 90 0.00000 1.30000 -0.38657
 94 -0.06689 1.30033 -0.39225
 98 -0.13508 1.28719 -0.39794
102 -0.20327 1.26097 -0.40041
107 -0.27025 1.22233 -0.40060
111 -0.33493 1.17218 -0.40008
115 -0.39640 1.11168 -0.39610
119 -0.45391 1.04218 -0.39212
123 -0.50697 0.96525 -0.38720
127 -0.55539 0.88257 -0.38197
131 -0.59932 0.79597 -0.37786
136 -0.63937 0.70735 -0.37587
140 -0.67672 0.61863 -0.37389
144 -0.71339 0.53174 -0.37392
148 -0.75259 0.44856 -0.37410
150 -0.69883 0.40492 -0.37218
153 -0.64508 0.36324 -0.35612
155 -0.59132 0.32381 -0.34006
157 -0.53756 0.28688 -0.32401
159 -0.48381 0.25269 -0.30795
162 -0.43005 0.22147 -0.33755
164 -0.37629 0.19342 -0.38236
166 -0.32254 0.16872 -0.42718
169 -0.26878 0.14755 -0.47199
171 -0.21503 0.13003 -0.45714
173 -0.16127 0.11629 -0.34286
175 -0.10751 0.10641 -0.22857
178 -0.05376 0.10045 -0.11429
180 0.00000 0.09846 0.00000
