 alpha    c_a    c_d    c_m
-180 0.00000 0.08425 0.00000
-178 0.05429 0.08625 0.09143
-175 0.10858 0.09224 0.18286
-173 0.16287 0.10218 0.27429
-171 0.21716 0.11601 0.36571
-169 0.27145 0.13362 0.38829
-166 0.32574 0.15492 0.36955
-164 0.38003 0.17976 0.35081
-162 0.43432 0.20797 0.33207
-159 0.48861 0.23939 0.32202
-157 0.54290 0.27378 0.33805
-155 0.59719 0.31095 0.35407
-153 0.65148 0.35063 0.37010
-150 0.70577 0.39258 0.38612
-148 0.76006 0.43651 0.38742
-144 0.71948 0.52026 0.38595
-140 0.68168 0.60779 0.38467
-136 0.64338 0.69720 0.38580
-131 0.60254 0.78657 0.38694
-127 0.55793 0.87396 0.39042
-123 0.50894 0.95748 0.39514
-119 0.45539 1.03529 0.39959
-115 0.39747 1.10570 0.40319
-111 0.33567 1.16716 0.40680
-107 0.27072 1.21828 0.40699
-102 0.20353 1.25792 0.40647
-98 0.13520 1.28514 0.40368
-94 0.06692 1.29931 0.39766
-90 0.00000 1.30000 0.39165
-86 -0.06692 1.29931 0.38209
-82 -0.13520 1.28514 0.37253
-78 -0.20353 1.25792 0.36015
-73 -0.27072 1.21828 0.34578
-69 -0.33567 1.16716 0.33088
-65 -0.39747 1.10570 0.31345
-61 -0.45539 1.03529 0.29602
-57 -0.50894 0.95748 0.27788
-53 -0.55793 0.87396 0.25952
-49 -0.60254 0.78657 0.24131
-44 -0.64338 0.69720 0.22337
-40 -0.68168 0.60779 0.20544
-36 -0.71948 0.52026 0.14195
-32 -0.76006 0.43651 0.07509
-28 -0.90835 0.25884 0.04911
-24 -0.89417 0.19207 0.02585
-20 -0.85845 0.13626 0.00690
-18 -0.83032 0.11280 -0.00033
-16 -0.79494 0.09228 -0.00574
-14 -0.75410 0.07446 -0.00913
-12 -0.70808 0.05888 -0.01068
-10 -0.66438 0.04532 -0.01025
 -8 -0.62381 0.03335 -0.00922
 -6 -0.51455 0.02381 -0.01891
 -4 -0.25947 0.01846 -0.04457
 -2 0.04301 0.01599 -0.07030
 -1 0.19181 0.01539 -0.08072
  0 0.33676 0.01507 -0.08954
  1 0.47789 0.01497 -0.09702
  2 0.61550 0.01504 -0.10343
  3 0.74984 0.01527 -0.10896
  4 0.88099 0.01564 -0.11374
  5 1.00878 0.01616 -0.11782
  6 1.13275 0.01684 -0.12122
  7 1.25225 0.01770 -0.12388
  8 1.36569 0.01878 -0.12567
  9 1.47079 0.02018 -0.12634
 10 1.56366 0.02204 -0.12556
 11 1.63994 0.02466 -0.12321
 12 1.69417 0.02857 -0.11968
 13 1.71569 0.03502 -0.11568
 14 1.68530 0.04628 -0.11214
 15 1.59871 0.06405 -0.11076
 16 1.48391 0.08704 -0.11269
 18 1.30570 0.13557 -0.12306
 20 1.21250 0.18065 -0.13508
 24 1.13781 0.26391 -0.15749
 28 1.11081 0.34736 -0.17936
 32 1.08580 0.43651 -0.20147
 36 1.02783 0.52026 -0.22045
 40 0.97383 0.60779 -0.23921
 44 0.91912 0.69720 -0.25518
 49 0.86077 0.78657 -0.27114
 53 0.79705 0.87396 -0.28627
 57 0.72705 0.95748 -0.30095
 61 0.65055 1.03529 -0.31531
 65 0.56781 1.10570 -0.32867
 69 0.47953 1.16716 -0.34203
 73 0.38674 1.21828 -0.35363
 78 0.29076 1.25792 -0.36486
 82 0.19314 1.28514 -0.37491
 86 0.09561 1.29931 -0.38328
 90 0.00000 1.30000 -0.39165
 94 -0.06692 1.29931 -0.39766
 98 -0.13520 1.28514 -0.40368
102 -0.20353 1.25792 -0.40647
107 -0.27072 1.21828 -0.40699
111 -0.33567 1.16716 -0.40680
115 -0.39747 1.10570 -0.40319
119 -0.45539 1.03529 -0.39959
123 -0.50894 0.95748 -0.39514
127 -0.55793 0.87396 -0.39042
131 -0.60254 0.78657 -0.38694
136 -0.64338 0.69720 -0.38580
140 -0.68168 0.60779 -0.38467
144 -0.71948 0.52026 -0.38595
148 -0.76006 0.43651 -0.38742
150 -0.70577 0.39258 -0.38612
153 -0.65148 0.35063 -0.37010
155 -0.59719 0.31095 -0.35407
157 -0.54290 0.27378 -0.33805
159 -0.48861 0.23939 -0.32202
162 -0.43432 0.20797 -0.34921
164 -0.38003 0.17976 -0.39081
166 -0.32574 0.15492 -0.43241
169 -0.27145 0.13362 -0.47400
171 -0.21716 0.11601 -0.45714
173 -0.16287 0.10218 -0.34286
175 -0.10858 0.09224 -0.22857
178 -0.05429 0.08625 -0.11429
180 0.00000 0.08425 0.00000
