 alpha    c_a    c_d    c_m
-180 0.00000 0.11129 0.00000
-178 0.05312 0.11327 0.09143
-175 0.10624 0.11919 0.18286
-173 0.15935 0.12902 0.27429
-171 0.21247 0.14270 0.36571
-169 0.26559 0.16012 0.38405
-166 0.31871 0.18118 0.35854
-164 0.37183 0.20575 0.33303
-162 0.42494 0.23364 0.30752
-159 0.47806 0.26469 0.29240
-157 0.53118 0.29869 0.30847
-155 0.58430 0.33542 0.32454
-153 0.63741 0.37463 0.34061
-150 0.69053 0.41606 0.35668
-148 0.74365 0.45944 0.35924
-144 0.70611 0.54209 0.36038
-140 0.67080 0.62841 0.36164
-136 0.63457 0.71651 0.36453
-131 0.59548 0.80446 0.36741
-127 0.55236 0.89034 0.37219
-123 0.50462 0.97226 0.37796
-119 0.45214 1.04840 0.38340
-115 0.39511 1.11707 0.38777
-111 0.33405 1.17672 0.39215
-107 0.26969 1.22599 0.39303
-102 0.20296 1.26373 0.39319
-98 0.13495 1.28904 0.39107
-94 0.06686 1.30126 0.38573
-90 0.00000 1.30000 0.38038
-86 -0.06686 1.30126 0.37244
-82 -0.13495 1.28904 0.36450
-78 -0.20296 1.26373 0.35362
-73 -0.26969 1.22599 0.34067
-69 -0.33405 1.17672 0.32715
-65 -0.39511 1.11707 0.31086
-61 -0.45214 1.04840 0.29457
-57 -0.50462 0.97226 0.27737
-53 -0.55236 0.89034 0.25988
-49 -0.59548 0.80446 0.24254
-44 -0.63457 0.71651 0.22548
-40 -0.67080 0.62841 0.20841
-36 -0.70611 0.54209 0.14179
-32 -0.74365 0.45944 0.07150
-28 -0.79859 0.27362 0.04655
-24 -0.78308 0.20378 0.02335
-20 -0.74020 0.14639 0.00399
-18 -0.70664 0.12239 -0.00374
-16 -0.66540 0.10129 -0.00992
-14 -0.61840 0.08294 -0.01425
-12 -0.56615 0.06696 -0.01671
-10 -0.51197 0.05307 -0.01730
 -8 -0.46493 0.04082 -0.01581
 -6 -0.41588 0.03009 -0.01543
 -4 -0.25063 0.02263 -0.03121
 -2 0.04014 0.01912 -0.05925
 -1 0.19760 0.01823 -0.07290
  0 0.35367 0.01773 -0.08517
  1 0.50571 0.01752 -0.09581
  2 0.65281 0.01757 -0.10489
  3 0.79470 0.01783 -0.11255
  4 0.93131 0.01829 -0.11894
  5 1.06236 0.01895 -0.12417
  6 1.18724 0.01984 -0.12830
  7 1.30428 0.02100 -0.13121
  8 1.41083 0.02255 -0.13268
  9 1.50243 0.02471 -0.13247
 10 1.57338 0.02790 -0.13055
 11 1.61274 0.03312 -0.12722
 12 1.59980 0.04261 -0.12339
 13 1.52582 0.05851 -0.12090
 14 1.40927 0.08056 -0.12130
 15 1.29005 0.10588 -0.12488
 16 1.20253 0.13067 -0.13023
 18 1.10358 0.17640 -0.14174
 20 1.05861 0.21846 -0.15251
 24 1.04092 0.29755 -0.17252
 28 1.04967 0.37674 -0.19195
 32 1.06236 0.45944 -0.21206
 36 1.00872 0.54209 -0.22854
 40 0.95828 0.62841 -0.24488
 44 0.90653 0.71651 -0.25940
 49 0.85068 0.80446 -0.27392
 53 0.78908 0.89034 -0.28776
 57 0.72089 0.97226 -0.30124
 61 0.64591 1.04840 -0.31438
 65 0.56445 1.11707 -0.32644
 69 0.47722 1.17672 -0.33849
 73 0.38527 1.22599 -0.34864
 78 0.28994 1.26373 -0.35838
 82 0.19278 1.28904 -0.36688
 86 0.09551 1.30126 -0.37363
 90 0.00000 1.30000 -0.38038
 94 -0.06686 1.30126 -0.38573
 98 -0.13495 1.28904 -0.39107
102 -0.20296 1.26373 -0.39319
107 -0.26969 1.22599 -0.39303
111 -0.33405 1.17672 -0.39215
115 -0.39511 1.11707 -0.38777
119 -0.45214 1.04840 -0.38340
123 -0.50462 0.97226 -0.37796
127 -0.55236 0.89034 -0.37219
131 -0.59548 0.80446 -0.36741
136 -0.63457 0.71651 -0.36453
140 -0.67080 0.62841 -0.36164
144 -0.70611 0.54209 -0.36038
148 -0.74365 0.45944 -0.35924
150 -0.69053 0.41606 -0.35668
153 -0.63741 0.37463 -0.34061
155 -0.58430 0.33542 -0.32454
157 -0.53118 0.29869 -0.30847
159 -0.47806 0.26469 -0.29240
162 -0.42494 0.23364 -0.32466
164 -0.37183 0.20575 -0.37303
166 -0.31871 0.18118 -0.42140
169 -0.26559 0.16012 -0.46977
171 -0.21247 0.14270 -0.45714
173 -0.15935 0.12902 -0.34286
175 -0.10624 0.11919 -0.22857
178 -0.05312 0.11327 -0.11429
180 0.00000 0.11129 0.00000
