 alpha    c_a    c_d    c_m
-180 0.00000 0.10242 0.00000
-178 0.05361 0.10440 0.09143
-175 0.10722 0.11035 0.18286
-173 0.16082 0.12022 0.27429
-171 0.21443 0.13394 0.36571
-169 0.26804 0.15143 0.38572
-166 0.32165 0.17257 0.36286
-164 0.37525 0.19722 0.34001
-162 0.42886 0.22522 0.31715
-159 0.48247 0.25639 0.30403
-157 0.53608 0.29052 0.32010
-155 0.58968 0.32739 0.33616
-153 0.64329 0.36675 0.35223
-150 0.69690 0.40835 0.36830
-148 0.75051 0.45191 0.37039
-144 0.71169 0.53493 0.37057
-140 0.67534 0.62165 0.37089
-136 0.63825 0.71017 0.37311
-131 0.59843 0.79859 0.37534
-127 0.55469 0.88497 0.37962
-123 0.50642 0.96741 0.38499
-119 0.45349 1.04410 0.39005
-115 0.39610 1.11334 0.39412
-111 0.33473 1.17358 0.39820
-107 0.27012 1.22346 0.39882
-102 0.20320 1.26182 0.39872
-98 0.13505 1.28776 0.39635
-94 0.06689 1.30062 0.39075
-90 0.00000 1.30000 0.38515
-86 -0.06689 1.30062 0.37665
-82 -0.13505 1.28776 0.36815
-78 -0.20320 1.26182 0.35675
-73 -0.27012 1.22346 0.34330
-69 -0.33473 1.17358 0.32930
-65 -0.39610 1.11334 0.31261
-61 -0.45349 1.04410 0.29593
-57 -0.50642 0.96741 0.27841
-53 -0.55469 0.88497 0.26062
-49 -0.59843 0.79859 0.24298
-44 -0.63825 0.71017 0.22563
-40 -0.67534 0.62165 0.20827
-36 -0.71169 0.53493 0.14336
-32 -0.75051 0.45191 0.07492
-28 -0.83830 0.27116 0.04968
-24 -0.82558 0.20159 0.02638
-20 -0.78802 0.14401 0.00704
-18 -0.75772 0.11992 -0.00058
-16 -0.71982 0.09876 -0.00654
-14 -0.67632 0.08041 -0.01055
-12 -0.62768 0.06441 -0.01266
-10 -0.57826 0.05050 -0.01284
 -8 -0.53643 0.03821 -0.01111
 -6 -0.47575 0.02768 -0.01348
 -4 -0.26535 0.02106 -0.03509
 -2 0.04111 0.01802 -0.06403
 -1 0.19772 0.01724 -0.07689
  0 0.35100 0.01680 -0.08806
  1 0.49962 0.01663 -0.09755
  2 0.64343 0.01668 -0.10555
  3 0.78273 0.01692 -0.11232
  4 0.91770 0.01733 -0.11804
  5 1.04821 0.01792 -0.12284
  6 1.17393 0.01869 -0.12676
  7 1.29381 0.01969 -0.12974
  8 1.40588 0.02097 -0.13160
  9 1.50678 0.02267 -0.13204
 10 1.59118 0.02504 -0.13068
 11 1.65412 0.02855 -0.12776
 12 1.68456 0.03425 -0.12381
 13 1.65910 0.04474 -0.11980
 14 1.55064 0.06407 -0.11799
 15 1.40678 0.09009 -0.12037
 16 1.29465 0.11636 -0.12552
 18 1.16607 0.16442 -0.13754
 20 1.10590 0.20780 -0.14879
 24 1.07185 0.28834 -0.16941
 28 1.07062 0.36877 -0.18936
 32 1.07215 0.45191 -0.20937
 36 1.01670 0.53493 -0.22668
 40 0.96478 0.62165 -0.24384
 44 0.91179 0.71017 -0.25884
 49 0.85490 0.79859 -0.27385
 53 0.79241 0.88497 -0.28812
 57 0.72346 0.96741 -0.30201
 61 0.64785 1.04410 -0.31557
 65 0.56585 1.11334 -0.32808
 69 0.47818 1.17358 -0.34058
 73 0.38589 1.22346 -0.35123
 78 0.29029 1.26182 -0.36149
 82 0.19293 1.28776 -0.37053
 86 0.09555 1.30062 -0.37784
 90 0.00000 1.30000 -0.38515
 94 -0.06689 1.30062 -0.39075
 98 -0.13505 1.28776 -0.39635
102 -0.20320 1.26182 -0.39872
107 -0.27012 1.22346 -0.39882
111 -0.33473 1.17358 -0.39820
115 -0.39610 1.11334 -0.39412
119 -0.45349 1.04410 -0.39005
123 -0.50642 0.96741 -0.38499
127 -0.55469 0.88497 -0.37962
131 -0.59843 0.79859 -0.37534
136 -0.63825 0.71017 -0.37311
140 -0.67534 0.62165 -0.37089
144 -0.71169 0.53493 -0.37057
148 -0.75051 0.45191 -0.37039
150 -0.69690 0.40835 -0.36830
153 -0.64329 0.36675 -0.35223
155 -0.58968 0.32739 -0.33616
157 -0.53608 0.29052 -0.32010
159 -0.48247 0.25639 -0.30403
162 -0.42886 0.22522 -0.33430
164 -0.37525 0.19722 -0.38001
166 -0.32165 0.17257 -0.42572
169 -0.26804 0.15143 -0.47143
171 -0.21443 0.13394 -0.45714
173 -0.16082 0.12022 -0.34286
175 -0.10722 0.11035 -0.22857
178 -0.05361 0.10440 -0.11429
180 0.00000 0.10242 0.00000
