 alpha    c_a    c_d    c_m
-180 0.00000 0.09514 0.00000
-178 0.05388 0.09713 0.09143
-175 0.10776 0.10309 0.18286
-173 0.16164 0.11299 0.27429
-171 0.21552 0.12675 0.36571
-169 0.26941 0.14429 0.38675
-166 0.32329 0.16550 0.36554
-164 0.37717 0.19022 0.34434
-162 0.43105 0.21831 0.32313
-159 0.48493 0.24958 0.31124
-157 0.53881 0.28381 0.32729
-155 0.59269 0.32080 0.34334
-153 0.64657 0.36029 0.35939
-150 0.70045 0.40203 0.37544
-148 0.75434 0.44574 0.37721
-144 0.71481 0.52905 0.37673
-140 0.67788 0.61609 0.37641
-136 0.64031 0.70498 0.37820
-131 0.60008 0.79378 0.37998
-127 0.55599 0.88056 0.38395
-123 0.50743 0.96343 0.38906
-119 0.45425 1.04057 0.39387
-115 0.39665 1.11028 0.39776
-111 0.33511 1.17101 0.40165
-107 0.27036 1.22139 0.40210
-102 0.20333 1.26026 0.40183
-98 0.13511 1.28671 0.39928
-94 0.06690 1.30009 0.39352
-90 0.00000 1.30000 0.38775
-86 -0.06690 1.30009 0.37883
-82 -0.13511 1.28671 0.36991
-78 -0.20333 1.26026 0.35811
-73 -0.27036 1.22139 0.34430
-69 -0.33511 1.17101 0.32993
-65 -0.39665 1.11028 0.31295
-61 -0.45425 1.04057 0.29597
-57 -0.50743 0.96343 0.27820
-53 -0.55599 0.88056 0.26018
-49 -0.60008 0.79378 0.24231
-44 -0.64031 0.70498 0.22472
-40 -0.67788 0.61609 0.20713
-36 -0.71481 0.52905 0.14279
-32 -0.75434 0.44574 0.07499
-28 -0.86637 0.26622 0.04945
-24 -0.85307 0.19777 0.02617
-20 -0.81624 0.14090 0.00698
-18 -0.78681 0.11707 -0.00048
-16 -0.74992 0.09616 -0.00622
-14 -0.70749 0.07803 -0.00998
-12 -0.65990 0.06219 -0.01187
-10 -0.61277 0.04842 -0.01180
 -8 -0.57144 0.03626 -0.01036
 -6 -0.49130 0.02613 -0.01566
 -4 -0.26299 0.02001 -0.03889
 -2 0.04188 0.01721 -0.06654
 -1 0.19535 0.01650 -0.07842
  0 0.34529 0.01610 -0.08865
  1 0.49091 0.01596 -0.09734
  2 0.63224 0.01602 -0.10470
  3 0.76955 0.01626 -0.11098
  4 0.90299 0.01666 -0.11632
  5 1.03241 0.01721 -0.12083
  6 1.15743 0.01795 -0.12454
  7 1.27716 0.01889 -0.12739
  8 1.38977 0.02010 -0.12922
  9 1.49236 0.02167 -0.12976
 10 1.58015 0.02384 -0.12862
 11 1.64844 0.02699 -0.12594
 12 1.68841 0.03198 -0.12216
 13 1.68178 0.04084 -0.11815
 14 1.60460 0.05694 -0.11565
 15 1.48369 0.07966 -0.11652
 16 1.37049 0.10461 -0.12038
 18 1.22203 0.15286 -0.13174
 20 1.14862 0.19692 -0.14330
 24 1.09829 0.27855 -0.16463
 28 1.08673 0.36019 -0.18535
 32 1.07762 0.44574 -0.20621
 36 1.02116 0.52905 -0.22419
 40 0.96840 0.61609 -0.24199
 44 0.91473 0.70498 -0.25738
 49 0.85725 0.79378 -0.27277
 53 0.79427 0.88056 -0.28738
 57 0.72490 0.96343 -0.30159
 61 0.64893 1.04057 -0.31547
 65 0.56664 1.11028 -0.32832
 69 0.47872 1.17101 -0.34116
 73 0.38623 1.22139 -0.35219
 78 0.29048 1.26026 -0.36284
 82 0.19302 1.28671 -0.37228
 86 0.09557 1.30009 -0.38002
 90 0.00000 1.30000 -0.38775
 94 -0.06690 1.30009 -0.39352
 98 -0.13511 1.28671 -0.39928
102 -0.20333 1.26026 -0.40183
107 -0.27036 1.22139 -0.40210
111 -0.33511 1.17101 -0.40165
115 -0.39665 1.11028 -0.39776
119 -0.45425 1.04057 -0.39387
123 -0.50743 0.96343 -0.38906
127 -0.55599 0.88056 -0.38395
131 -0.60008 0.79378 -0.37998
136 -0.64031 0.70498 -0.37820
140 -0.67788 0.61609 -0.37641
144 -0.71481 0.52905 -0.37673
148 -0.75434 0.44574 -0.37721
150 -0.70045 0.40203 -0.37544
153 -0.64657 0.36029 -0.35939
155 -0.59269 0.32080 -0.34334
157 -0.53881 0.28381 -0.32729
159 -0.48493 0.24958 -0.31124
162 -0.43105 0.21831 -0.34027
164 -0.37717 0.19022 -0.38434
166 -0.32329 0.16550 -0.42840
169 -0.26941 0.14429 -0.47246
171 -0.21552 0.12675 -0.45714
173 -0.16164 0.11299 -0.34286
175 -0.10776 0.10309 -0.22857
178 -0.05388 0.09713 -0.11429
180 0.00000 0.09514 0.00000
