 alpha    c_a    c_d    c_m
-180 0.00000 0.59225 0.00000
-178 0.00085 0.59228 0.00148
-175 0.00170 0.59237 0.00296
-173 0.00255 0.59253 0.00444
-171 0.00340 0.59275 0.00593
-169 0.00426 0.59303 0.00619
-166 0.00511 0.59337 0.00573
-164 0.00596 0.59377 0.00526
-162 0.00681 0.59422 0.00480
-159 0.00766 0.59472 0.00452
-157 0.00851 0.59527 0.00478
-155 0.00936 0.59586 0.00504
-153 0.01021 0.59649 0.00530
-150 0.01107 0.59716 0.00556
-148 0.01192 0.59786 0.00561
-144 0.01133 0.59920 0.00564
-140 0.01078 0.60059 0.00568
-136 0.01021 0.60201 0.00574
-131 0.00959 0.60342 0.00580
-127 0.00891 0.60480 0.00589
-123 0.00814 0.60612 0.00599
-119 0.00730 0.60735 0.00608
-115 0.00638 0.60845 0.00616
-111 0.00540 0.60940 0.00624
-107 0.00436 0.61019 0.00626
-102 0.00328 0.61079 0.00626
-98 0.00218 0.61119 0.00623
-94 0.00108 0.61137 0.00615
-90 0.00000 0.61134 0.00607
-86 -0.00108 0.61137 0.00595
-82 -0.00218 0.61119 0.00583
-78 -0.00328 0.61079 0.00567
-73 -0.00436 0.61019 0.00547
-69 -0.00540 0.60940 0.00526
-65 -0.00638 0.60845 0.00500
-61 -0.00730 0.60735 0.00474
-57 -0.00814 0.60612 0.00447
-53 -0.00891 0.60480 0.00419
-49 -0.00959 0.60342 0.00392
-44 -0.01021 0.60201 0.00365
-40 -0.01078 0.60059 0.00338
-36 -0.01133 0.59920 0.00226
-32 -0.01192 0.59786 0.00109
-28 -0.01219 0.59475 0.00069
-24 -0.01188 0.59362 0.00032
-20 -0.01108 0.59269 0.00000
-18 -0.01047 0.59231 -0.00013
-16 -0.00973 0.59196 -0.00023
-14 -0.00890 0.59167 -0.00031
-12 -0.00798 0.59141 -0.00035
-10 -0.00701 0.59119 -0.00037
 -8 -0.00614 0.59099 -0.00035
 -6 -0.00554 0.59081 -0.00030
 -4 -0.00375 0.59067 -0.00044
 -2 0.00063 0.59061 -0.00087
 -1 0.00319 0.59059 -0.00110
  0 0.00577 0.59058 -0.00132
  1 0.00830 0.59058 -0.00152
  2 0.01074 0.59058 -0.00168
  3 0.01309 0.59058 -0.00182
  4 0.01534 0.59059 -0.00194
  5 0.01747 0.59060 -0.00203
  6 0.01947 0.59062 -0.00211
  7 0.02131 0.59064 -0.00215
  8 0.02292 0.59067 -0.00217
  9 0.02422 0.59072 -0.00215
 10 0.02510 0.59079 -0.00211
 11 0.02526 0.59091 -0.00205
 12 0.02418 0.59114 -0.00199
 13 0.02203 0.59150 -0.00198
 14 0.02005 0.59191 -0.00203
 15 0.01868 0.59229 -0.00211
 16 0.01777 0.59266 -0.00219
 18 0.01673 0.59336 -0.00237
 20 0.01628 0.59401 -0.00253
 24 0.01629 0.59527 -0.00285
 28 0.01662 0.59653 -0.00315
 32 0.01702 0.59786 -0.00348
 36 0.01619 0.59920 -0.00374
 40 0.01540 0.60059 -0.00398
 44 0.01459 0.60201 -0.00421
 49 0.01370 0.60342 -0.00444
 53 0.01272 0.60480 -0.00465
 57 0.01163 0.60612 -0.00486
 61 0.01043 0.60735 -0.00507
 65 0.00912 0.60845 -0.00526
 69 0.00771 0.60940 -0.00544
 73 0.00623 0.61019 -0.00560
 78 0.00469 0.61079 -0.00575
 82 0.00312 0.61119 -0.00587
 86 0.00155 0.61137 -0.00597
 90 0.00000 0.61134 -0.00607
 94 -0.00108 0.61137 -0.00615
 98 -0.00218 0.61119 -0.00623
102 -0.00328 0.61079 -0.00626
107 -0.00436 0.61019 -0.00626
111 -0.00540 0.60940 -0.00624
115 -0.00638 0.60845 -0.00616
119 -0.00730 0.60735 -0.00608
123 -0.00814 0.60612 -0.00599
127 -0.00891 0.60480 -0.00589
131 -0.00959 0.60342 -0.00580
136 -0.01021 0.60201 -0.00574
140 -0.01078 0.60059 -0.00568
144 -0.01133 0.59920 -0.00564
148 -0.01192 0.59786 -0.00561
150 -0.01107 0.59716 -0.00556
153 -0.01021 0.59649 -0.00530
155 -0.00936 0.59586 -0.00504
157 -0.00851 0.59527 -0.00478
159 -0.00766 0.59472 -0.00452
162 -0.00681 0.59422 -0.00508
164 -0.00596 0.59377 -0.00591
166 -0.00511 0.59337 -0.00675
169 -0.00426 0.59303 -0.00758
171 -0.00340 0.59275 -0.00741
173 -0.00255 0.59253 -0.00556
175 -0.00170 0.59237 -0.00370
178 -0.00085 0.59228 -0.00185
180 0.00000 0.59225 0.00000
