 alpha    c_a    c_d    c_m
-180 0.00000 0.21514 0.00000
-178 0.04225 0.21673 0.07353
-175 0.08451 0.22148 0.14707
-173 0.12676 0.22935 0.22060
-171 0.16901 0.24030 0.29414
-169 0.21127 0.25426 0.30731
-166 0.25352 0.27113 0.28427
-164 0.29577 0.29080 0.26122
-162 0.33802 0.31314 0.23818
-159 0.38028 0.33800 0.22413
-157 0.42253 0.36523 0.23706
-155 0.46478 0.39463 0.24998
-153 0.50704 0.42602 0.26291
-150 0.54929 0.45919 0.27583
-148 0.59154 0.49391 0.27833
-144 0.56256 0.56006 0.28015
-140 0.53516 0.62911 0.28206
-136 0.50685 0.69957 0.28500
-131 0.47611 0.76988 0.28794
-127 0.44202 0.83849 0.29225
-123 0.40413 0.90389 0.29728
-119 0.36235 0.96462 0.30201
-115 0.31684 1.01932 0.30581
-111 0.26803 1.06675 0.30961
-107 0.21650 1.10581 0.31057
-102 0.16301 1.13560 0.31094
-98 0.10843 1.15537 0.30948
-94 0.05375 1.16460 0.30542
-90 0.00000 1.16300 0.30136
-86 -0.05375 1.16460 0.29549
-82 -0.10843 1.15537 0.28963
-78 -0.16301 1.13560 0.28137
-73 -0.21650 1.10581 0.27142
-69 -0.26803 1.06675 0.26099
-65 -0.31684 1.01932 0.24825
-61 -0.36235 0.96462 0.23552
-57 -0.40413 0.90389 0.22199
-53 -0.44202 0.83849 0.20821
-49 -0.47611 0.76988 0.19454
-44 -0.50685 0.69957 0.18108
-40 -0.53516 0.62911 0.16763
-36 -0.56256 0.56006 0.11237
-32 -0.59154 0.49391 0.05401
-28 -0.60501 0.33941 0.03420
-24 -0.58959 0.28312 0.01565
-20 -0.54974 0.23723 0.00008
-18 -0.51950 0.21805 -0.00625
-16 -0.48303 0.20116 -0.01141
-14 -0.44177 0.18644 -0.01518
-12 -0.39618 0.17364 -0.01750
-10 -0.34801 0.16249 -0.01836
 -8 -0.30489 0.15270 -0.01744
 -6 -0.27498 0.14391 -0.01468
 -4 -0.18618 0.13712 -0.02160
 -2 0.03137 0.13383 -0.04306
 -1 0.15852 0.13302 -0.05474
  0 0.28649 0.13256 -0.06560
  1 0.41192 0.13236 -0.07526
  2 0.53329 0.13239 -0.08359
  3 0.64984 0.13262 -0.09059
  4 0.76121 0.13303 -0.09636
  5 0.86702 0.13364 -0.10099
  6 0.96651 0.13446 -0.10450
  7 1.05771 0.13557 -0.10674
  8 1.13782 0.13708 -0.10754
  9 1.20216 0.13928 -0.10670
 10 1.24584 0.14266 -0.10462
 11 1.25396 0.14856 -0.10155
 12 1.20023 0.15999 -0.09860
 13 1.09326 0.17814 -0.09816
 14 0.99506 0.19826 -0.10066
 15 0.92726 0.21750 -0.10459
 16 0.88198 0.23577 -0.10895
 18 0.83034 0.27018 -0.11760
 20 0.80814 0.30273 -0.12580
 24 0.80871 0.36499 -0.14135
 28 0.82471 0.42757 -0.15655
 32 0.84506 0.49391 -0.17293
 36 0.80366 0.56006 -0.18540
 40 0.76451 0.62911 -0.19779
 44 0.72408 0.69957 -0.20902
 49 0.68016 0.76988 -0.22025
 53 0.63146 0.83849 -0.23098
 57 0.57733 0.90389 -0.24144
 61 0.51764 0.96462 -0.25162
 65 0.45263 1.01932 -0.26090
 69 0.38290 1.06675 -0.27017
 73 0.30928 1.10581 -0.27786
 78 0.23287 1.13560 -0.28522
 82 0.15491 1.15537 -0.29156
 86 0.07678 1.16460 -0.29646
 90 0.00000 1.16300 -0.30136
 94 -0.05375 1.16460 -0.30542
 98 -0.10843 1.15537 -0.30948
102 -0.16301 1.13560 -0.31094
107 -0.21650 1.10581 -0.31057
111 -0.26803 1.06675 -0.30961
115 -0.31684 1.01932 -0.30581
119 -0.36235 0.96462 -0.30201
123 -0.40413 0.90389 -0.29728
127 -0.44202 0.83849 -0.29225
131 -0.47611 0.76988 -0.28794
136 -0.50685 0.69957 -0.28500
140 -0.53516 0.62911 -0.28206
144 -0.56256 0.56006 -0.28015
148 -0.59154 0.49391 -0.27833
150 -0.54929 0.45919 -0.27583
153 -0.50704 0.42602 -0.26291
155 -0.46478 0.39463 -0.24998
157 -0.42253 0.36523 -0.23706
159 -0.38028 0.33800 -0.22413
162 -0.33802 0.31314 -0.25197
164 -0.29577 0.29080 -0.29340
166 -0.25352 0.27113 -0.33482
169 -0.21127 0.25426 -0.37625
171 -0.16901 0.24030 -0.36767
173 -0.12676 0.22935 -0.27575
175 -0.08451 0.22148 -0.18384
178 -0.04225 0.21673 -0.09192
180 0.00000 0.21514 0.00000
