 alpha    c_a    c_d    c_m
-180 0.00000 0.06781 0.00000
-178 0.05418 0.06988 0.09143
-175 0.10836 0.07609 0.18286
-173 0.16254 0.08640 0.27429
-171 0.21672 0.10074 0.36571
-169 0.27090 0.11901 0.38931
-166 0.32508 0.14111 0.37221
-164 0.37926 0.16687 0.35511
-162 0.43344 0.19615 0.33800
-159 0.48762 0.22874 0.32923
-157 0.54179 0.26444 0.34542
-155 0.59597 0.30301 0.36162
-153 0.65015 0.34420 0.37781
-150 0.70433 0.38775 0.39401
-148 0.75851 0.43337 0.39574
-144 0.72118 0.52037 0.39514
-140 0.68591 0.61133 0.39471
-136 0.64952 0.70432 0.39660
-131 0.61003 0.79732 0.39849
-127 0.56628 0.88836 0.40260
-123 0.51768 0.97547 0.40787
-119 0.46410 1.05676 0.41281
-115 0.40578 1.13047 0.41674
-111 0.34324 1.19501 0.42066
-107 0.27723 1.24895 0.42096
-102 0.20872 1.29108 0.42050
-98 0.13883 1.32045 0.41766
-94 0.06881 1.33640 0.41146
-90 0.00000 1.33848 0.40526
-86 -0.06881 1.33640 0.39472
-82 -0.13883 1.32045 0.38419
-78 -0.20872 1.29108 0.37077
-73 -0.27723 1.24895 0.35532
-69 -0.34324 1.19501 0.33933
-65 -0.40578 1.13047 0.32079
-61 -0.46410 1.05676 0.30224
-57 -0.51768 0.97547 0.28299
-53 -0.56628 0.88836 0.26352
-49 -0.61003 0.79732 0.24420
-44 -0.64952 0.70432 0.22516
-40 -0.68591 0.61133 0.20612
-36 -0.72118 0.52037 0.14280
-32 -0.75851 0.43337 0.07619
-28 -0.95042 0.25121 0.04902
-24 -0.94469 0.18428 0.02526
-20 -0.91568 0.12906 0.00646
-18 -0.89007 0.10610 -0.00041
-16 -0.85687 0.08617 -0.00526
-14 -0.81755 0.06889 -0.00807
-12 -0.77424 0.05381 -0.00904
-10 -0.73407 0.04063 -0.00843
 -8 -0.67730 0.02917 -0.01066
 -6 -0.51516 0.02085 -0.02686
 -4 -0.24018 0.01651 -0.05262
 -2 0.05348 0.01454 -0.07446
 -1 0.19611 0.01408 -0.08296
  0 0.33537 0.01385 -0.09014
  1 0.47162 0.01380 -0.09631
  2 0.60518 0.01390 -0.10166
  3 0.73621 0.01413 -0.10636
  4 0.86470 0.01449 -0.11047
  5 0.99043 0.01498 -0.11404
  6 1.11293 0.01561 -0.11704
  7 1.23168 0.01640 -0.11943
  8 1.34540 0.01739 -0.12109
  9 1.45226 0.01864 -0.12183
 10 1.54928 0.02025 -0.12135
 11 1.63262 0.02244 -0.11942
 12 1.69832 0.02555 -0.11625
 13 1.74041 0.03031 -0.11243
 14 1.74404 0.03826 -0.10846
 15 1.69178 0.05185 -0.10570
 16 1.59279 0.07167 -0.10584
 18 1.39853 0.11877 -0.11442
 20 1.28616 0.16431 -0.12658
 24 1.18175 0.25000 -0.15045
 28 1.13094 0.33755 -0.17416
 32 1.08359 0.43337 -0.19811
 36 1.03026 0.52037 -0.21872
 40 0.97987 0.61133 -0.23910
 44 0.92788 0.70432 -0.25645
 49 0.87147 0.79732 -0.27380
 53 0.80897 0.88836 -0.29021
 57 0.73954 0.97547 -0.30612
 61 0.66301 1.05676 -0.32168
 65 0.57969 1.13047 -0.33617
 69 0.49034 1.19501 -0.35065
 73 0.39604 1.24895 -0.36330
 78 0.29817 1.29108 -0.37557
 82 0.19833 1.32045 -0.38661
 86 0.09830 1.33640 -0.39594
 90 0.00000 1.33848 -0.40526
 94 -0.06881 1.33640 -0.41146
 98 -0.13883 1.32045 -0.41766
102 -0.20872 1.29108 -0.42050
107 -0.27723 1.24895 -0.42096
111 -0.34324 1.19501 -0.42066
115 -0.40578 1.13047 -0.41674
119 -0.46410 1.05676 -0.41281
123 -0.51768 0.97547 -0.40787
127 -0.56628 0.88836 -0.40260
131 -0.61003 0.79732 -0.39849
136 -0.64952 0.70432 -0.39660
140 -0.68591 0.61133 -0.39471
144 -0.72118 0.52037 -0.39514
148 -0.75851 0.43337 -0.39574
150 -0.70433 0.38775 -0.39401
153 -0.65015 0.34420 -0.37781
155 -0.59597 0.30301 -0.36162
157 -0.54179 0.26444 -0.34542
159 -0.48762 0.22874 -0.32923
162 -0.43344 0.19615 -0.35515
164 -0.37926 0.16687 -0.39511
166 -0.32508 0.14111 -0.43507
169 -0.27090 0.11901 -0.47503
171 -0.21672 0.10074 -0.45714
173 -0.16254 0.08640 -0.34286
175 -0.10836 0.07609 -0.22857
178 -0.05418 0.06988 -0.11429
180 0.00000 0.06781 0.00000
