 alpha    c_a    c_d    c_m
-180 0.00000 0.09041 0.00000
-178 0.05406 0.09241 0.09143
-175 0.10812 0.09838 0.18286
-173 0.16218 0.10829 0.27429
-171 0.21624 0.12208 0.36571
-169 0.27029 0.13966 0.38742
-166 0.32435 0.16090 0.36728
-164 0.37841 0.18568 0.34715
-162 0.43247 0.21382 0.32702
-159 0.48653 0.24515 0.31593
-157 0.54059 0.27946 0.33196
-155 0.59465 0.31652 0.34800
-153 0.64871 0.35610 0.36404
-150 0.70276 0.39792 0.38008
-148 0.75682 0.44173 0.38165
-144 0.71684 0.52523 0.38074
-140 0.67953 0.61249 0.38000
-136 0.64164 0.70160 0.38150
-131 0.60115 0.79065 0.38300
-127 0.55683 0.87769 0.38676
-123 0.50809 0.96084 0.39170
-119 0.45475 1.03828 0.39635
-115 0.39700 1.10829 0.40012
-111 0.33535 1.16934 0.40389
-107 0.27052 1.22004 0.40422
-102 0.20342 1.25924 0.40384
-98 0.13515 1.28603 0.40119
-94 0.06691 1.29975 0.39532
-90 0.00000 1.30000 0.38945
-86 -0.06691 1.29975 0.38025
-82 -0.13515 1.28603 0.37105
-78 -0.20342 1.25924 0.35900
-73 -0.27052 1.22004 0.34494
-69 -0.33535 1.16934 0.33034
-65 -0.39700 1.10829 0.31317
-61 -0.45475 1.03828 0.29599
-57 -0.50809 0.96084 0.27806
-53 -0.55683 0.87769 0.25989
-49 -0.60115 0.79065 0.24187
-44 -0.64164 0.70160 0.22414
-40 -0.67953 0.61249 0.20640
-36 -0.71684 0.52523 0.14243
-32 -0.75682 0.44173 0.07503
-28 -0.88461 0.26301 0.04931
-24 -0.87093 0.19529 0.02603
-20 -0.83458 0.13889 0.00695
-18 -0.80571 0.11521 -0.00042
-16 -0.76948 0.09447 -0.00601
-14 -0.72774 0.07648 -0.00961
-12 -0.68083 0.06076 -0.01135
-10 -0.63519 0.04707 -0.01113
 -8 -0.59419 0.03500 -0.00986
 -6 -0.50140 0.02512 -0.01707
 -4 -0.26146 0.01934 -0.04136
 -2 0.04237 0.01668 -0.06817
 -1 0.19381 0.01602 -0.07942
  0 0.34159 0.01565 -0.08904
  1 0.48525 0.01553 -0.09720
  2 0.62497 0.01560 -0.10415
  3 0.76098 0.01583 -0.11010
  4 0.89343 0.01621 -0.11520
  5 1.02214 0.01676 -0.11952
  6 1.14671 0.01747 -0.12310
  7 1.26634 0.01837 -0.12587
  8 1.37931 0.01953 -0.12768
  9 1.48298 0.02102 -0.12827
 10 1.57299 0.02306 -0.12729
 11 1.64475 0.02598 -0.12475
 12 1.69091 0.03050 -0.12108
 13 1.69651 0.03831 -0.11708
 14 1.63967 0.05231 -0.11412
 15 1.53366 0.07288 -0.11402
 16 1.41977 0.09697 -0.11704
 18 1.25838 0.14535 -0.12797
 20 1.17637 0.18985 -0.13973
 24 1.11546 0.27219 -0.16153
 28 1.09719 0.35462 -0.18275
 32 1.08118 0.44173 -0.20415
 36 1.02406 0.52523 -0.22256
 40 0.97076 0.61249 -0.24078
 44 0.91663 0.70160 -0.25642
 49 0.85878 0.79065 -0.27206
 53 0.79547 0.87769 -0.28690
 57 0.72584 0.96084 -0.30131
 61 0.64964 1.03828 -0.31540
 65 0.56715 1.10829 -0.32847
 69 0.47907 1.16934 -0.34154
 73 0.38645 1.22004 -0.35282
 78 0.29060 1.25924 -0.36372
 82 0.19307 1.28603 -0.37342
 86 0.09559 1.29975 -0.38143
 90 0.00000 1.30000 -0.38945
 94 -0.06691 1.29975 -0.39532
 98 -0.13515 1.28603 -0.40119
102 -0.20342 1.25924 -0.40384
107 -0.27052 1.22004 -0.40422
111 -0.33535 1.16934 -0.40389
115 -0.39700 1.10829 -0.40012
119 -0.45475 1.03828 -0.39635
123 -0.50809 0.96084 -0.39170
127 -0.55683 0.87769 -0.38676
131 -0.60115 0.79065 -0.38300
136 -0.64164 0.70160 -0.38150
140 -0.67953 0.61249 -0.38000
144 -0.71684 0.52523 -0.38074
148 -0.75682 0.44173 -0.38165
150 -0.70276 0.39792 -0.38008
153 -0.64871 0.35610 -0.36404
155 -0.59465 0.31652 -0.34800
157 -0.54059 0.27946 -0.33196
159 -0.48653 0.24515 -0.31593
162 -0.43247 0.21382 -0.34416
164 -0.37841 0.18568 -0.38715
166 -0.32435 0.16090 -0.43014
169 -0.27029 0.13966 -0.47313
171 -0.21624 0.12208 -0.45714
173 -0.16218 0.10829 -0.34286
175 -0.10812 0.09838 -0.22857
178 -0.05406 0.09241 -0.11429
180 0.00000 0.09041 0.00000
