 alpha    c_a    c_d    c_m
-180 0.00000 0.04635 0.00000
-178 0.05064 0.04870 0.09143
-175 0.10128 0.05573 0.18286
-173 0.15192 0.06740 0.27429
-171 0.20256 0.08363 0.36571
-169 0.25320 0.10433 0.38882
-166 0.30384 0.12934 0.37093
-164 0.35448 0.15852 0.35304
-162 0.40512 0.19167 0.33514
-159 0.45576 0.22859 0.32593
-157 0.50640 0.26903 0.34274
-155 0.55704 0.31274 0.35954
-153 0.60768 0.35943 0.37635
-150 0.65832 0.40880 0.39316
-148 0.70896 0.46053 0.39881
-144 0.69327 0.55923 0.40616
-140 0.67513 0.66249 0.41354
-136 0.65216 0.76814 0.42141
-131 0.62294 0.87393 0.42927
-127 0.58666 0.97761 0.43788
-123 0.54304 1.07698 0.44687
-119 0.49217 1.16991 0.45514
-115 0.43451 1.25444 0.46112
-111 0.37075 1.32873 0.46710
-107 0.30186 1.39120 0.46830
-102 0.22897 1.44049 0.46851
-98 0.15340 1.47553 0.46588
-94 0.07657 1.49552 0.45925
-90 0.00000 1.50000 0.45262
-86 -0.07657 1.49552 0.43996
-82 -0.15340 1.47553 0.42729
-78 -0.22897 1.44049 0.41132
-73 -0.30186 1.39120 0.39300
-69 -0.37075 1.32873 0.37403
-65 -0.43451 1.25444 0.35194
-61 -0.49217 1.16991 0.32985
-57 -0.54304 1.07698 0.30671
-53 -0.58666 0.97761 0.28324
-49 -0.62294 0.87393 0.25987
-44 -0.65216 0.76814 0.23670
-40 -0.67513 0.66249 0.21353
-36 -0.69327 0.55923 0.15508
-32 -0.70896 0.46053 0.09401
-28 -0.90444 0.27565 0.05821
-24 -1.06704 0.16252 0.02210
-20 -1.09712 0.10351 0.00116
-18 -1.08525 0.08194 -0.00456
-16 -1.06066 0.06390 -0.00773
-14 -1.03023 0.04841 -0.00908
-12 -0.99329 0.03473 -0.01106
-10 -0.90145 0.02336 -0.02037
 -8 -0.69202 0.01615 -0.04041
 -6 -0.42478 0.01277 -0.05942
 -4 -0.16069 0.01130 -0.07192
 -2 0.09726 0.01070 -0.08096
 -1 0.22455 0.01059 -0.08477
  0 0.35082 0.01059 -0.08824
  1 0.47602 0.01068 -0.09141
  2 0.60010 0.01086 -0.09432
  3 0.72287 0.01113 -0.09697
  4 0.84414 0.01150 -0.09936
  5 0.96364 0.01197 -0.10147
  6 1.08106 0.01255 -0.10328
  7 1.19579 0.01326 -0.10475
  8 1.30735 0.01413 -0.10581
  9 1.41456 0.01518 -0.10635
 10 1.51589 0.01649 -0.10623
 11 1.60898 0.01815 -0.10527
 12 1.69059 0.02035 -0.10336
 13 1.75622 0.02352 -0.10069
 14 1.79557 0.02859 -0.09757
 15 1.78887 0.03756 -0.09449
 16 1.73014 0.05198 -0.09285
 18 1.56335 0.09095 -0.09699
 20 1.45229 0.13114 -0.10675
 24 1.31123 0.21511 -0.13127
 28 1.17159 0.31992 -0.16205
 32 1.01280 0.46053 -0.19482
 36 0.99038 0.55923 -0.22012
 40 0.96447 0.66249 -0.24521
 44 0.93166 0.76814 -0.26739
 49 0.88991 0.87393 -0.28958
 53 0.83808 0.97761 -0.31045
 57 0.77576 1.07698 -0.33063
 61 0.70310 1.16991 -0.35027
 65 0.62072 1.25444 -0.36822
 69 0.52965 1.32873 -0.38617
 73 0.43123 1.39120 -0.40161
 78 0.32711 1.44049 -0.41653
 82 0.21915 1.47553 -0.42996
 86 0.10939 1.49552 -0.44129
 90 0.00000 1.50000 -0.45262
 94 -0.07657 1.49552 -0.45925
 98 -0.15340 1.47553 -0.46588
102 -0.22897 1.44049 -0.46851
107 -0.30186 1.39120 -0.46830
111 -0.37075 1.32873 -0.46710
115 -0.43451 1.25444 -0.46112
119 -0.49217 1.16991 -0.45514
123 -0.54304 1.07698 -0.44687
127 -0.58666 0.97761 -0.43788
131 -0.62294 0.87393 -0.42927
136 -0.65216 0.76814 -0.42141
140 -0.67513 0.66249 -0.41354
144 -0.69327 0.55923 -0.40616
148 -0.70896 0.46053 -0.39881
150 -0.65832 0.40880 -0.39316
153 -0.60768 0.35943 -0.37635
155 -0.55704 0.31274 -0.35954
157 -0.50640 0.26903 -0.34274
159 -0.45576 0.22859 -0.32593
162 -0.40512 0.19167 -0.35229
164 -0.35448 0.15852 -0.39304
166 -0.30384 0.12934 -0.43378
169 -0.25320 0.10433 -0.47453
171 -0.20256 0.08363 -0.45714
173 -0.15192 0.06740 -0.34286
175 -0.10128 0.05573 -0.22857
178 -0.05064 0.04870 -0.11429
180 0.00000 0.04635 0.00000
