 alpha    c_a    c_d    c_m
-180 0.00000 0.58108 0.00000
-178 0.00208 0.58116 0.00362
-175 0.00415 0.58139 0.00723
-173 0.00623 0.58178 0.01085
-171 0.00831 0.58232 0.01446
-169 0.01039 0.58300 0.01511
-166 0.01246 0.58383 0.01397
-164 0.01454 0.58480 0.01284
-162 0.01662 0.58590 0.01171
-159 0.01869 0.58712 0.01102
-157 0.02077 0.58846 0.01165
-155 0.02285 0.58990 0.01229
-153 0.02493 0.59145 0.01292
-150 0.02700 0.59308 0.01356
-148 0.02908 0.59478 0.01368
-144 0.02766 0.59804 0.01377
-140 0.02631 0.60143 0.01387
-136 0.02492 0.60489 0.01401
-131 0.02341 0.60835 0.01416
-127 0.02173 0.61172 0.01437
-123 0.01987 0.61494 0.01461
-119 0.01781 0.61793 0.01485
-115 0.01558 0.62061 0.01503
-111 0.01318 0.62295 0.01522
-107 0.01064 0.62487 0.01527
-102 0.00801 0.62633 0.01529
-98 0.00533 0.62730 0.01521
-94 0.00264 0.62776 0.01501
-90 0.00000 0.62768 0.01482
-86 -0.00264 0.62776 0.01453
-82 -0.00533 0.62730 0.01424
-78 -0.00801 0.62633 0.01383
-73 -0.01064 0.62487 0.01334
-69 -0.01318 0.62295 0.01283
-65 -0.01558 0.62061 0.01220
-61 -0.01781 0.61793 0.01158
-57 -0.01987 0.61494 0.01091
-53 -0.02173 0.61172 0.01024
-49 -0.02341 0.60835 0.00956
-44 -0.02492 0.60489 0.00890
-40 -0.02631 0.60143 0.00824
-36 -0.02766 0.59804 0.00552
-32 -0.02908 0.59478 0.00266
-28 -0.02974 0.58719 0.00168
-24 -0.02898 0.58442 0.00077
-20 -0.02703 0.58217 0.00000
-18 -0.02554 0.58122 -0.00031
-16 -0.02375 0.58039 -0.00056
-14 -0.02172 0.57967 -0.00075
-12 -0.01948 0.57904 -0.00086
-10 -0.01711 0.57849 -0.00090
 -8 -0.01499 0.57801 -0.00086
 -6 -0.01352 0.57758 -0.00072
 -4 -0.00915 0.57724 -0.00106
 -2 0.00154 0.57708 -0.00212
 -1 0.00779 0.57704 -0.00269
  0 0.01408 0.57702 -0.00323
  1 0.02025 0.57701 -0.00370
  2 0.02622 0.57701 -0.00411
  3 0.03195 0.57702 -0.00445
  4 0.03742 0.57704 -0.00474
  5 0.04262 0.57707 -0.00496
  6 0.04751 0.57711 -0.00514
  7 0.05200 0.57717 -0.00525
  8 0.05594 0.57724 -0.00529
  9 0.05910 0.57735 -0.00525
 10 0.06125 0.57752 -0.00514
 11 0.06165 0.57781 -0.00499
 12 0.05901 0.57837 -0.00485
 13 0.05375 0.57926 -0.00483
 14 0.04892 0.58025 -0.00495
 15 0.04559 0.58120 -0.00514
 16 0.04336 0.58209 -0.00536
 18 0.04082 0.58379 -0.00578
 20 0.03973 0.58539 -0.00618
 24 0.03976 0.58845 -0.00695
 28 0.04054 0.59152 -0.00770
 32 0.04154 0.59478 -0.00850
 36 0.03951 0.59804 -0.00911
 40 0.03758 0.60143 -0.00972
 44 0.03560 0.60489 -0.01028
 49 0.03344 0.60835 -0.01083
 53 0.03104 0.61172 -0.01136
 57 0.02838 0.61494 -0.01187
 61 0.02545 0.61793 -0.01237
 65 0.02225 0.62061 -0.01283
 69 0.01882 0.62295 -0.01328
 73 0.01520 0.62487 -0.01366
 78 0.01145 0.62633 -0.01402
 82 0.00762 0.62730 -0.01433
 86 0.00377 0.62776 -0.01457
 90 0.00000 0.62768 -0.01482
 94 -0.00264 0.62776 -0.01501
 98 -0.00533 0.62730 -0.01521
102 -0.00801 0.62633 -0.01529
107 -0.01064 0.62487 -0.01527
111 -0.01318 0.62295 -0.01522
115 -0.01558 0.62061 -0.01503
119 -0.01781 0.61793 -0.01485
123 -0.01987 0.61494 -0.01461
127 -0.02173 0.61172 -0.01437
131 -0.02341 0.60835 -0.01416
136 -0.02492 0.60489 -0.01401
140 -0.02631 0.60143 -0.01387
144 -0.02766 0.59804 -0.01377
148 -0.02908 0.59478 -0.01368
150 -0.02700 0.59308 -0.01356
153 -0.02493 0.59145 -0.01292
155 -0.02285 0.58990 -0.01229
157 -0.02077 0.58846 -0.01165
159 -0.01869 0.58712 -0.01102
162 -0.01662 0.58590 -0.01239
164 -0.01454 0.58480 -0.01442
166 -0.01246 0.58383 -0.01646
169 -0.01039 0.58300 -0.01850
171 -0.00831 0.58232 -0.01808
173 -0.00623 0.58178 -0.01356
175 -0.00415 0.58139 -0.00904
178 -0.00208 0.58116 -0.00452
180 0.00000 0.58108 0.00000
