 alpha    c_a    c_d    c_m
-180 0.00000 0.04914 0.00000
-178 0.05371 0.05133 0.09143
-175 0.10742 0.05788 0.18286
-173 0.16113 0.06875 0.27429
-171 0.21484 0.08387 0.36571
-169 0.26855 0.10314 0.38986
-166 0.32225 0.12644 0.37364
-164 0.37596 0.15362 0.35742
-162 0.42967 0.18450 0.34120
-159 0.48338 0.21889 0.33315
-157 0.53709 0.25655 0.34964
-155 0.59080 0.29726 0.36613
-153 0.64451 0.34074 0.38261
-150 0.69822 0.38671 0.39910
-148 0.75193 0.43489 0.40187
-144 0.72058 0.52678 0.40336
-140 0.68999 0.62292 0.40498
-136 0.65717 0.72126 0.40855
-131 0.62029 0.81970 0.41213
-127 0.57828 0.91616 0.41757
-123 0.53063 1.00858 0.42400
-119 0.47729 1.09497 0.43000
-115 0.41855 1.17349 0.43463
-111 0.35498 1.24246 0.43927
-107 0.28742 1.30037 0.43991
-102 0.21690 1.34597 0.43972
-98 0.14460 1.37826 0.43700
-94 0.07183 1.39651 0.43068
-90 0.00000 1.40026 0.42436
-86 -0.07183 1.39651 0.41270
-82 -0.14460 1.37826 0.40103
-78 -0.21690 1.34597 0.38637
-73 -0.28742 1.30037 0.36958
-69 -0.35498 1.24246 0.35224
-65 -0.41855 1.17349 0.33221
-61 -0.47729 1.09497 0.31218
-57 -0.53063 1.00858 0.29141
-53 -0.57828 0.91616 0.27040
-49 -0.62029 0.81970 0.24955
-44 -0.65717 0.72126 0.22899
-40 -0.68999 0.62292 0.20843
-36 -0.72058 0.52678 0.14477
-32 -0.75193 0.43489 0.07792
-28 -0.98816 0.24420 0.04911
-24 -0.99674 0.17580 0.02452
-20 -0.97775 0.12078 0.00579
-18 -0.95528 0.09837 -0.00064
-16 -0.92451 0.07911 -0.00484
-14 -0.88650 0.06247 -0.00698
-12 -0.84646 0.04800 -0.00726
-10 -0.80945 0.03531 -0.00662
 -8 -0.72593 0.02453 -0.01381
 -6 -0.49961 0.01774 -0.03732
 -4 -0.21170 0.01447 -0.06153
 -2 0.06947 0.01307 -0.07848
 -1 0.20551 0.01277 -0.08492
  0 0.33916 0.01264 -0.09048
  1 0.47076 0.01264 -0.09537
  2 0.60046 0.01277 -0.09972
  3 0.72827 0.01301 -0.10360
  4 0.85411 0.01336 -0.10705
  5 0.97768 0.01383 -0.11008
  6 1.09856 0.01442 -0.11266
  7 1.21625 0.01517 -0.11475
  8 1.32985 0.01609 -0.11624
  9 1.43775 0.01722 -0.11699
 10 1.53785 0.01865 -0.11676
 11 1.62686 0.02052 -0.11527
 12 1.70088 0.02309 -0.11248
 13 1.75611 0.02686 -0.10895
 14 1.78125 0.03293 -0.10503
 15 1.75979 0.04329 -0.10163
 16 1.68724 0.05944 -0.10027
 18 1.48830 0.10404 -0.10669
 20 1.35923 0.14960 -0.11873
 24 1.22439 0.23800 -0.14419
 28 1.14625 0.33087 -0.17006
 32 1.07418 0.43489 -0.19607
 36 1.02940 0.52678 -0.21859
 40 0.98570 0.62292 -0.24089
 44 0.93881 0.72126 -0.26005
 49 0.88613 0.81970 -0.27921
 53 0.82611 0.91616 -0.29732
 57 0.75804 1.00858 -0.31487
 61 0.68184 1.09497 -0.33202
 65 0.59792 1.17349 -0.34795
 69 0.50712 1.24246 -0.36388
 73 0.41060 1.30037 -0.37781
 78 0.30985 1.34597 -0.39133
 82 0.20656 1.37826 -0.40355
 86 0.10261 1.39651 -0.41396
 90 0.00000 1.40026 -0.42436
 94 -0.07183 1.39651 -0.43068
 98 -0.14460 1.37826 -0.43700
102 -0.21690 1.34597 -0.43972
107 -0.28742 1.30037 -0.43991
111 -0.35498 1.24246 -0.43927
115 -0.41855 1.17349 -0.43463
119 -0.47729 1.09497 -0.43000
123 -0.53063 1.00858 -0.42400
127 -0.57828 0.91616 -0.41757
131 -0.62029 0.81970 -0.41213
136 -0.65717 0.72126 -0.40855
140 -0.68999 0.62292 -0.40498
144 -0.72058 0.52678 -0.40336
148 -0.75193 0.43489 -0.40187
150 -0.69822 0.38671 -0.39910
153 -0.64451 0.34074 -0.38261
155 -0.59080 0.29726 -0.36613
157 -0.53709 0.25655 -0.34964
159 -0.48338 0.21889 -0.33315
162 -0.42967 0.18450 -0.35834
164 -0.37596 0.15362 -0.39742
166 -0.32225 0.12644 -0.43650
169 -0.26855 0.10314 -0.47558
171 -0.21484 0.08387 -0.45714
173 -0.16113 0.06875 -0.34286
175 -0.10742 0.05788 -0.22857
178 -0.05371 0.05133 -0.11429
180 0.00000 0.04914 0.00000
