 alpha    c_a    c_d    c_m
-180 0.00000 0.07619 0.00000
-178 0.04803 0.07851 0.09143
-175 0.09606 0.08547 0.18286
-173 0.14409 0.09702 0.27429
-171 0.19212 0.11309 0.36571
-169 0.24015 0.13357 0.38726
-166 0.28818 0.15832 0.36688
-164 0.33621 0.18720 0.34650
-162 0.38424 0.22000 0.32612
-159 0.43227 0.25652 0.31498
-157 0.48030 0.29653 0.33158
-155 0.52833 0.33975 0.34818
-153 0.57636 0.38591 0.36478
-150 0.62439 0.43471 0.38138
-148 0.67242 0.48583 0.38817
-144 0.66350 0.58332 0.39794
-140 0.65090 0.68525 0.40769
-136 0.63255 0.78945 0.41710
-131 0.60722 0.89367 0.42650
-127 0.57424 0.99568 0.43604
-123 0.53342 1.09328 0.44565
-119 0.48494 1.18438 0.45441
-115 0.42926 1.26698 0.46048
-111 0.36715 1.33928 0.46654
-107 0.29957 1.39971 0.46761
-102 0.22770 1.44691 0.46763
-98 0.15284 1.47983 0.46479
-94 0.07643 1.49768 0.45788
-90 0.00000 1.50000 0.45098
-86 -0.07643 1.49768 0.43907
-82 -0.15284 1.47983 0.42716
-78 -0.22770 1.44691 0.41181
-73 -0.29957 1.39971 0.39403
-69 -0.36715 1.33928 0.37554
-65 -0.42926 1.26698 0.35366
-61 -0.48494 1.18438 0.33178
-57 -0.53342 1.09328 0.30858
-53 -0.57424 0.99568 0.28495
-49 -0.60722 0.89367 0.26134
-44 -0.63255 0.78945 0.23775
-40 -0.65090 0.68525 0.21416
-36 -0.66350 0.58332 0.15899
-32 -0.67242 0.48583 0.10148
-28 -0.62615 0.37510 0.07995
-24 -1.07824 0.15893 0.02308
-20 -1.16550 0.09318 -0.00143
-18 -1.16288 0.07176 -0.00696
-16 -1.14497 0.05424 -0.00974
-14 -1.12393 0.03910 -0.01136
-12 -1.07249 0.02535 -0.01892
-10 -0.88640 0.01616 -0.03951
 -8 -0.63972 0.01240 -0.05463
 -6 -0.38731 0.01068 -0.06481
 -4 -0.13662 0.00984 -0.07246
 -2 0.11207 0.00950 -0.07881
 -1 0.23560 0.00947 -0.08167
  0 0.35845 0.00952 -0.08435
  1 0.48056 0.00965 -0.08686
  2 0.60176 0.00986 -0.08921
  3 0.72188 0.01015 -0.09139
  4 0.84071 0.01053 -0.09339
  5 0.95796 0.01101 -0.09518
  6 1.07334 0.01159 -0.09675
  7 1.18626 0.01230 -0.09804
  8 1.29642 0.01316 -0.09903
  9 1.40273 0.01421 -0.09964
 10 1.50386 0.01551 -0.09976
 11 1.59785 0.01716 -0.09928
 12 1.68106 0.01937 -0.09805
 13 1.74773 0.02260 -0.09616
 14 1.78409 0.02806 -0.09380
 15 1.76696 0.03804 -0.09140
 16 1.70148 0.05321 -0.09029
 18 1.55813 0.08953 -0.09396
 20 1.47504 0.12513 -0.10183
 24 1.36195 0.20092 -0.12313
 28 1.19621 0.30921 -0.15583
 32 0.96060 0.48583 -0.19428
 36 0.94786 0.58332 -0.21991
 40 0.92985 0.68525 -0.24534
 44 0.90364 0.78945 -0.26801
 49 0.86745 0.89367 -0.29068
 53 0.82034 0.99568 -0.31186
 57 0.76204 1.09328 -0.33227
 61 0.69277 1.18438 -0.35204
 65 0.61323 1.26698 -0.36983
 69 0.52450 1.33928 -0.38762
 73 0.42796 1.39971 -0.40260
 78 0.32528 1.44691 -0.41700
 82 0.21834 1.47983 -0.42982
 86 0.10919 1.49768 -0.44040
 90 0.00000 1.50000 -0.45098
 94 -0.07643 1.49768 -0.45788
 98 -0.15284 1.47983 -0.46479
102 -0.22770 1.44691 -0.46763
107 -0.29957 1.39971 -0.46761
111 -0.36715 1.33928 -0.46654
115 -0.42926 1.26698 -0.46048
119 -0.48494 1.18438 -0.45441
123 -0.53342 1.09328 -0.44565
127 -0.57424 0.99568 -0.43604
131 -0.60722 0.89367 -0.42650
136 -0.63255 0.78945 -0.41710
140 -0.65090 0.68525 -0.40769
144 -0.66350 0.58332 -0.39794
148 -0.67242 0.48583 -0.38817
150 -0.62439 0.43471 -0.38138
153 -0.57636 0.38591 -0.36478
155 -0.52833 0.33975 -0.34818
157 -0.48030 0.29653 -0.33158
159 -0.43227 0.25652 -0.31498
162 -0.38424 0.22000 -0.34326
164 -0.33621 0.18720 -0.38650
166 -0.28818 0.15832 -0.42974
169 -0.24015 0.13357 -0.47298
171 -0.19212 0.11309 -0.45714
173 -0.14409 0.09702 -0.34286
175 -0.09606 0.08547 -0.22857
178 -0.04803 0.07851 -0.11429
180 0.00000 0.07619 0.00000
