 alpha    c_a    c_d    c_m
-180 0.00000 0.05430 0.00000
-178 0.04994 0.05665 0.09143
-175 0.09989 0.06366 0.18286
-173 0.14983 0.07530 0.27429
-171 0.19978 0.09149 0.36571
-169 0.24972 0.11212 0.38840
-166 0.29967 0.13707 0.36985
-164 0.34961 0.16616 0.35129
-162 0.39955 0.19923 0.33274
-159 0.44950 0.23604 0.32301
-157 0.49944 0.27636 0.33976
-155 0.54939 0.31994 0.35652
-153 0.59933 0.36649 0.37327
-150 0.64928 0.41570 0.39002
-148 0.69922 0.46727 0.39597
-144 0.68533 0.56565 0.40397
-140 0.66867 0.66856 0.41198
-136 0.64694 0.77382 0.42026
-131 0.61875 0.87919 0.42854
-127 0.58335 0.98242 0.43739
-123 0.54047 1.08132 0.44655
-119 0.49024 1.17377 0.45494
-115 0.43311 1.25778 0.46095
-111 0.36979 1.33154 0.46695
-107 0.30125 1.39347 0.46812
-102 0.22863 1.44220 0.46827
-98 0.15325 1.47668 0.46559
-94 0.07653 1.49610 0.45889
-90 0.00000 1.50000 0.45218
-86 -0.07653 1.49610 0.43972
-82 -0.15325 1.47668 0.42726
-78 -0.22863 1.44220 0.41145
-73 -0.30125 1.39347 0.39327
-69 -0.36979 1.33154 0.37443
-65 -0.43311 1.25778 0.35240
-61 -0.49024 1.17377 0.33037
-57 -0.54047 1.08132 0.30721
-53 -0.58335 0.98242 0.28370
-49 -0.61875 0.87919 0.26026
-44 -0.64694 0.77382 0.23698
-40 -0.66867 0.66856 0.21370
-36 -0.68533 0.56565 0.15612
-32 -0.69922 0.46727 0.09600
-28 -0.83026 0.30216 0.06401
-24 -1.07003 0.16156 0.02236
-20 -1.11535 0.10076 0.00047
-18 -1.10594 0.07923 -0.00520
-16 -1.08313 0.06132 -0.00827
-14 -1.05520 0.04593 -0.00969
-12 -1.01440 0.03223 -0.01316
-10 -0.89744 0.02144 -0.02547
 -8 -0.67808 0.01515 -0.04420
 -6 -0.41479 0.01221 -0.06086
 -4 -0.15427 0.01091 -0.07207
 -2 0.10121 0.01038 -0.08039
 -1 0.22750 0.01029 -0.08394
  0 0.35285 0.01030 -0.08720
  1 0.47723 0.01040 -0.09020
  2 0.60054 0.01059 -0.09296
  3 0.72260 0.01087 -0.09548
  4 0.84322 0.01124 -0.09777
  5 0.96213 0.01171 -0.09980
  6 1.07900 0.01230 -0.10154
  7 1.19325 0.01301 -0.10296
  8 1.30444 0.01387 -0.10400
  9 1.41141 0.01493 -0.10456
 10 1.51269 0.01623 -0.10451
 11 1.60601 0.01788 -0.10368
 12 1.68805 0.02009 -0.10195
 13 1.75395 0.02327 -0.09948
 14 1.79251 0.02845 -0.09656
 15 1.78303 0.03769 -0.09367
 16 1.72250 0.05231 -0.09217
 18 1.56196 0.09057 -0.09619
 20 1.45836 0.12954 -0.10544
 24 1.32475 0.21132 -0.12910
 28 1.17815 0.31707 -0.16040
 32 0.99888 0.46727 -0.19467
 36 0.97905 0.56565 -0.22007
 40 0.95524 0.66856 -0.24524
 44 0.92419 0.77382 -0.26756
 49 0.88393 0.87919 -0.28987
 53 0.83336 0.98242 -0.31083
 57 0.77211 1.08132 -0.33107
 61 0.70035 1.17377 -0.35074
 65 0.61873 1.25778 -0.36865
 69 0.52827 1.33154 -0.38656
 73 0.43036 1.39347 -0.40188
 78 0.32662 1.44220 -0.41666
 82 0.21893 1.47668 -0.42992
 86 0.10933 1.49610 -0.44105
 90 0.00000 1.50000 -0.45218
 94 -0.07653 1.49610 -0.45889
 98 -0.15325 1.47668 -0.46559
102 -0.22863 1.44220 -0.46827
107 -0.30125 1.39347 -0.46812
111 -0.36979 1.33154 -0.46695
115 -0.43311 1.25778 -0.46095
119 -0.49024 1.17377 -0.45494
123 -0.54047 1.08132 -0.44655
127 -0.58335 0.98242 -0.43739
131 -0.61875 0.87919 -0.42854
136 -0.64694 0.77382 -0.42026
140 -0.66867 0.66856 -0.41198
144 -0.68533 0.56565 -0.40397
148 -0.69922 0.46727 -0.39597
150 -0.64928 0.41570 -0.39002
153 -0.59933 0.36649 -0.37327
155 -0.54939 0.31994 -0.35652
157 -0.49944 0.27636 -0.33976
159 -0.44950 0.23604 -0.32301
162 -0.39955 0.19923 -0.34988
164 -0.34961 0.16616 -0.39129
166 -0.29967 0.13707 -0.43271
169 -0.24972 0.11212 -0.47412
171 -0.19978 0.09149 -0.45714
173 -0.14983 0.07530 -0.34286
175 -0.09989 0.06366 -0.22857
178 -0.04994 0.05665 -0.11429
180 0.00000 0.05430 0.00000
