 alpha    c_a    c_d    c_m
-180 0.00000 0.12114 0.00000
-178 0.05255 0.12312 0.09143
-175 0.10511 0.12902 0.18286
-173 0.15766 0.13881 0.27429
-171 0.21022 0.15243 0.36571
-169 0.26277 0.16978 0.38216
-166 0.31533 0.19076 0.35362
-164 0.36788 0.21522 0.32507
-162 0.42044 0.24300 0.29653
-159 0.47299 0.27392 0.27914
-157 0.52555 0.30778 0.29521
-155 0.57810 0.34434 0.31128
-153 0.63066 0.38338 0.32735
-150 0.68321 0.42462 0.34342
-148 0.73577 0.46780 0.34651
-144 0.69969 0.55005 0.34874
-140 0.66557 0.63593 0.35106
-136 0.63034 0.72355 0.35470
-131 0.59209 0.81098 0.35833
-127 0.54968 0.89631 0.36367
-123 0.50255 0.97765 0.36990
-119 0.45058 1.05318 0.37577
-115 0.39398 1.12121 0.38048
-111 0.33328 1.18021 0.38520
-107 0.26920 1.22880 0.38638
-102 0.20268 1.26586 0.38684
-98 0.13482 1.29046 0.38501
-94 0.06683 1.30196 0.37995
-90 0.00000 1.30000 0.37489
-86 -0.06683 1.30196 0.36757
-82 -0.13482 1.29046 0.36026
-78 -0.20268 1.26586 0.34997
-73 -0.26920 1.22880 0.33757
-69 -0.33328 1.18021 0.32459
-65 -0.39398 1.12121 0.30874
-61 -0.45058 1.05318 0.29289
-57 -0.50255 0.97765 0.27606
-53 -0.54968 0.89631 0.25891
-49 -0.59209 0.81098 0.24190
-44 -0.63034 0.72355 0.22516
-40 -0.66557 0.63593 0.20842
-36 -0.69969 0.55005 0.13978
-32 -0.73577 0.46780 0.06730
-28 -0.75381 0.27592 0.04266
-24 -0.73476 0.20593 0.01960
-20 -0.68544 0.14886 0.00023
-18 -0.64799 0.12502 -0.00763
-16 -0.60278 0.10401 -0.01404
-14 -0.55162 0.08571 -0.01872
-12 -0.49510 0.06979 -0.02158
-10 -0.43539 0.05593 -0.02264
 -8 -0.38200 0.04375 -0.02149
 -6 -0.34442 0.03282 -0.01815
 -4 -0.23214 0.02442 -0.02700
 -2 0.03904 0.02035 -0.05374
 -1 0.19712 0.01934 -0.06822
  0 0.35611 0.01877 -0.08169
  1 0.51194 0.01853 -0.09365
  2 0.66271 0.01856 -0.10396
  3 0.80752 0.01885 -0.11263
  4 0.94592 0.01936 -0.11978
  5 1.07747 0.02011 -0.12552
  6 1.20121 0.02113 -0.12987
  7 1.31473 0.02250 -0.13267
  8 1.41457 0.02437 -0.13368
  9 1.49496 0.02708 -0.13266
 10 1.54983 0.03125 -0.13010
 11 1.56093 0.03851 -0.12629
 12 1.49596 0.05257 -0.12262
 13 1.36497 0.07490 -0.12201
 14 1.24306 0.09982 -0.12503
 15 1.15757 0.12379 -0.12986
 16 1.10021 0.14658 -0.13528
 18 1.03482 0.18946 -0.14607
 20 1.00663 0.22998 -0.15628
 24 1.00671 0.30745 -0.17564
 28 1.02623 0.38531 -0.19455
 32 1.05110 0.46780 -0.21491
 36 0.99955 0.55005 -0.23045
 40 0.95081 0.63593 -0.24588
 44 0.90049 0.72355 -0.25987
 49 0.84584 0.81098 -0.27385
 53 0.78525 0.89631 -0.28721
 57 0.71793 0.97765 -0.30023
 61 0.64368 1.05318 -0.31290
 65 0.56283 1.12121 -0.32445
 69 0.47611 1.18021 -0.33601
 73 0.38457 1.22880 -0.34558
 78 0.28955 1.26586 -0.35475
 82 0.19261 1.29046 -0.36265
 86 0.09547 1.30196 -0.36877
 90 0.00000 1.30000 -0.37489
 94 -0.06683 1.30196 -0.37995
 98 -0.13482 1.29046 -0.38501
102 -0.20268 1.26586 -0.38684
107 -0.26920 1.22880 -0.38638
111 -0.33328 1.18021 -0.38520
115 -0.39398 1.12121 -0.38048
119 -0.45058 1.05318 -0.37577
123 -0.50255 0.97765 -0.36990
127 -0.54968 0.89631 -0.36367
131 -0.59209 0.81098 -0.35833
136 -0.63034 0.72355 -0.35470
140 -0.66557 0.63593 -0.35106
144 -0.69969 0.55005 -0.34874
148 -0.73577 0.46780 -0.34651
150 -0.68321 0.42462 -0.34342
153 -0.63066 0.38338 -0.32735
155 -0.57810 0.34434 -0.31128
157 -0.52555 0.30778 -0.29521
159 -0.47299 0.27392 -0.27914
162 -0.42044 0.24300 -0.31367
164 -0.36788 0.21522 -0.36507
166 -0.31533 0.19076 -0.41647
169 -0.26277 0.16978 -0.46787
171 -0.21022 0.15243 -0.45714
173 -0.15766 0.13881 -0.34286
175 -0.10511 0.12902 -0.22857
178 -0.05255 0.12312 -0.11429
180 0.00000 0.12114 0.00000
