 alpha    c_a    c_d    c_m
-180 0.00000 0.54537 0.00000
-178 0.00600 0.54560 0.01044
-175 0.01199 0.54627 0.02088
-173 0.01799 0.54739 0.03131
-171 0.02399 0.54894 0.04175
-169 0.02999 0.55092 0.04362
-166 0.03598 0.55332 0.04035
-164 0.04198 0.55611 0.03708
-162 0.04798 0.55928 0.03381
-159 0.05398 0.56281 0.03181
-157 0.05997 0.56668 0.03365
-155 0.06597 0.57085 0.03548
-153 0.07197 0.57530 0.03732
-150 0.07797 0.58001 0.03915
-148 0.08396 0.58494 0.03951
-144 0.07985 0.59433 0.03977
-140 0.07596 0.60413 0.04004
-136 0.07194 0.61413 0.04045
-131 0.06758 0.62411 0.04087
-127 0.06274 0.63385 0.04148
-123 0.05736 0.64313 0.04220
-119 0.05143 0.65176 0.04287
-115 0.04497 0.65952 0.04341
-111 0.03804 0.66625 0.04395
-107 0.03073 0.67180 0.04408
-102 0.02314 0.67602 0.04414
-98 0.01539 0.67883 0.04393
-94 0.00763 0.68014 0.04335
-90 0.00000 0.67991 0.04278
-86 -0.00763 0.68014 0.04194
-82 -0.01539 0.67883 0.04111
-78 -0.02314 0.67602 0.03994
-73 -0.03073 0.67180 0.03853
-69 -0.03804 0.66625 0.03705
-65 -0.04497 0.65952 0.03524
-61 -0.05143 0.65176 0.03343
-57 -0.05736 0.64313 0.03151
-53 -0.06274 0.63385 0.02955
-49 -0.06758 0.62411 0.02761
-44 -0.07194 0.61413 0.02570
-40 -0.07596 0.60413 0.02379
-36 -0.07985 0.59433 0.01595
-32 -0.08396 0.58494 0.00767
-28 -0.08588 0.56301 0.00485
-24 -0.08369 0.55502 0.00222
-20 -0.07803 0.54851 0.00001
-18 -0.07374 0.54579 -0.00089
-16 -0.06856 0.54339 -0.00162
-14 -0.06271 0.54130 -0.00216
-12 -0.05623 0.53948 -0.00248
-10 -0.04940 0.53790 -0.00261
 -8 -0.04328 0.53651 -0.00248
 -6 -0.03903 0.53526 -0.00208
 -4 -0.02643 0.53430 -0.00307
 -2 0.00445 0.53383 -0.00611
 -1 0.02250 0.53372 -0.00777
  0 0.04066 0.53365 -0.00931
  1 0.05847 0.53362 -0.01068
  2 0.07570 0.53363 -0.01186
  3 0.09224 0.53366 -0.01286
  4 0.10805 0.53372 -0.01368
  5 0.12307 0.53380 -0.01434
  6 0.13719 0.53392 -0.01483
  7 0.15013 0.53408 -0.01515
  8 0.16150 0.53429 -0.01526
  9 0.17064 0.53460 -0.01515
 10 0.17684 0.53508 -0.01485
 11 0.17799 0.53592 -0.01441
 12 0.17036 0.53754 -0.01400
 13 0.15518 0.54012 -0.01393
 14 0.14124 0.54298 -0.01429
 15 0.13162 0.54571 -0.01485
 16 0.12519 0.54830 -0.01546
 18 0.11786 0.55318 -0.01669
 20 0.11471 0.55780 -0.01786
 24 0.11479 0.56664 -0.02006
 28 0.11706 0.57552 -0.02222
 32 0.11995 0.58494 -0.02455
 36 0.11407 0.59433 -0.02632
 40 0.10852 0.60413 -0.02807
 44 0.10278 0.61413 -0.02967
 49 0.09654 0.62411 -0.03126
 53 0.08963 0.63385 -0.03279
 57 0.08195 0.64313 -0.03427
 61 0.07347 0.65176 -0.03572
 65 0.06425 0.65952 -0.03703
 69 0.05435 0.66625 -0.03835
 73 0.04390 0.67180 -0.03944
 78 0.03305 0.67602 -0.04048
 82 0.02199 0.67883 -0.04138
 86 0.01090 0.68014 -0.04208
 90 0.00000 0.67991 -0.04278
 94 -0.00763 0.68014 -0.04335
 98 -0.01539 0.67883 -0.04393
102 -0.02314 0.67602 -0.04414
107 -0.03073 0.67180 -0.04408
111 -0.03804 0.66625 -0.04395
115 -0.04497 0.65952 -0.04341
119 -0.05143 0.65176 -0.04287
123 -0.05736 0.64313 -0.04220
127 -0.06274 0.63385 -0.04148
131 -0.06758 0.62411 -0.04087
136 -0.07194 0.61413 -0.04045
140 -0.07596 0.60413 -0.04004
144 -0.07985 0.59433 -0.03977
148 -0.08396 0.58494 -0.03951
150 -0.07797 0.58001 -0.03915
153 -0.07197 0.57530 -0.03732
155 -0.06597 0.57085 -0.03548
157 -0.05997 0.56668 -0.03365
159 -0.05398 0.56281 -0.03181
162 -0.04798 0.55928 -0.03576
164 -0.04198 0.55611 -0.04165
166 -0.03598 0.55332 -0.04753
169 -0.02999 0.55092 -0.05341
171 -0.02399 0.54894 -0.05219
173 -0.01799 0.54739 -0.03914
175 -0.01199 0.54627 -0.02609
178 -0.00600 0.54560 -0.01305
180 0.00000 0.54537 0.00000
