 alpha    c_a    c_d    c_m
-180 0.00000 0.10004 0.00000
-178 0.05370 0.10203 0.09143
-175 0.10739 0.10798 0.18286
-173 0.16109 0.11786 0.27429
-171 0.21479 0.13159 0.36571
-169 0.26848 0.14910 0.38605
-166 0.32218 0.17026 0.36374
-164 0.37588 0.19494 0.34142
-162 0.42957 0.22297 0.31910
-159 0.48327 0.25417 0.30638
-157 0.53697 0.28833 0.32244
-155 0.59067 0.32524 0.33850
-153 0.64436 0.36465 0.35456
-150 0.69806 0.40629 0.37063
-148 0.75176 0.44990 0.37262
-144 0.71271 0.53301 0.37258
-140 0.67617 0.61983 0.37269
-136 0.63892 0.70848 0.37477
-131 0.59897 0.79702 0.37685
-127 0.55511 0.88353 0.38103
-123 0.50675 0.96611 0.38632
-119 0.45374 1.04295 0.39129
-115 0.39628 1.11235 0.39531
-111 0.33485 1.17274 0.39933
-107 0.27020 1.22279 0.39989
-102 0.20324 1.26131 0.39973
-98 0.13507 1.28742 0.39730
-94 0.06689 1.30045 0.39165
-90 0.00000 1.30000 0.38600
-86 -0.06689 1.30045 0.37736
-82 -0.13507 1.28742 0.36872
-78 -0.20324 1.26131 0.35719
-73 -0.27020 1.22279 0.34363
-69 -0.33485 1.17274 0.32951
-65 -0.39628 1.11235 0.31272
-61 -0.45374 1.04295 0.29594
-57 -0.50675 0.96611 0.27834
-53 -0.55511 0.88353 0.26048
-49 -0.59897 0.79702 0.24276
-44 -0.63892 0.70848 0.22533
-40 -0.67617 0.61983 0.20790
-36 -0.71271 0.53301 0.14317
-32 -0.75176 0.44990 0.07494
-28 -0.84746 0.26955 0.04961
-24 -0.83455 0.20034 0.02631
-20 -0.79723 0.14300 0.00702
-18 -0.76721 0.11899 -0.00054
-16 -0.72964 0.09791 -0.00644
-14 -0.68649 0.07963 -0.01036
-12 -0.63820 0.06369 -0.01240
-10 -0.58952 0.04982 -0.01250
 -8 -0.54785 0.03758 -0.01087
 -6 -0.48082 0.02717 -0.01419
 -4 -0.26458 0.02072 -0.03633
 -2 0.04136 0.01776 -0.06485
 -1 0.19694 0.01700 -0.07739
  0 0.34914 0.01657 -0.08825
  1 0.49678 0.01641 -0.09748
  2 0.63978 0.01647 -0.10527
  3 0.77843 0.01670 -0.11188
  4 0.91290 0.01711 -0.11748
  5 1.04306 0.01769 -0.12218
  6 1.16855 0.01845 -0.12603
  7 1.28838 0.01943 -0.12897
  8 1.40062 0.02069 -0.13082
  9 1.50207 0.02235 -0.13129
 10 1.58758 0.02465 -0.13001
 11 1.65227 0.02804 -0.12717
 12 1.68582 0.03351 -0.12327
 13 1.66650 0.04347 -0.11926
 14 1.56825 0.06175 -0.11723
 15 1.43187 0.08669 -0.11911
 16 1.31940 0.11252 -0.12384
 18 1.18433 0.16065 -0.13565
 20 1.11984 0.20425 -0.14700
 24 1.08048 0.28515 -0.16785
 28 1.07588 0.36597 -0.18805
 32 1.07394 0.44990 -0.20834
 36 1.01816 0.53301 -0.22587
 40 0.96596 0.61983 -0.24323
 44 0.91275 0.70848 -0.25837
 49 0.85567 0.79702 -0.27350
 53 0.79301 0.88353 -0.28788
 57 0.72393 0.96611 -0.30187
 61 0.64820 1.04295 -0.31554
 65 0.56611 1.11235 -0.32815
 69 0.47836 1.17274 -0.34077
 73 0.38600 1.22279 -0.35154
 78 0.29035 1.26131 -0.36193
 82 0.19296 1.28742 -0.37110
 86 0.09556 1.30045 -0.37855
 90 0.00000 1.30000 -0.38600
 94 -0.06689 1.30045 -0.39165
 98 -0.13507 1.28742 -0.39730
102 -0.20324 1.26131 -0.39973
107 -0.27020 1.22279 -0.39989
111 -0.33485 1.17274 -0.39933
115 -0.39628 1.11235 -0.39531
119 -0.45374 1.04295 -0.39129
123 -0.50675 0.96611 -0.38632
127 -0.55511 0.88353 -0.38103
131 -0.59897 0.79702 -0.37685
136 -0.63892 0.70848 -0.37477
140 -0.67617 0.61983 -0.37269
144 -0.71271 0.53301 -0.37258
148 -0.75176 0.44990 -0.37262
150 -0.69806 0.40629 -0.37063
153 -0.64436 0.36465 -0.35456
155 -0.59067 0.32524 -0.33850
157 -0.53697 0.28833 -0.32244
159 -0.48327 0.25417 -0.30638
162 -0.42957 0.22297 -0.33625
164 -0.37588 0.19494 -0.38142
166 -0.32218 0.17026 -0.42659
169 -0.26848 0.14910 -0.47177
171 -0.21479 0.13159 -0.45714
173 -0.16109 0.11786 -0.34286
175 -0.10739 0.10798 -0.22857
178 -0.05370 0.10203 -0.11429
180 0.00000 0.10004 0.00000
