 alpha    c_a    c_d    c_m
-180 0.00000 0.04528 0.00000
-178 0.05300 0.04752 0.09143
-175 0.10600 0.05423 0.18286
-173 0.15900 0.06536 0.27429
-171 0.21200 0.08085 0.36571
-169 0.26500 0.10059 0.38969
-166 0.31800 0.12446 0.37319
-164 0.37100 0.15230 0.35669
-162 0.42400 0.18394 0.34019
-159 0.47700 0.21916 0.33196
-157 0.53000 0.25775 0.34857
-155 0.58299 0.29945 0.36518
-153 0.63599 0.34400 0.38179
-150 0.68899 0.39111 0.39840
-148 0.74199 0.44047 0.40197
-144 0.71492 0.53463 0.40506
-140 0.68771 0.63316 0.40827
-136 0.65755 0.73395 0.41305
-131 0.62270 0.83488 0.41782
-127 0.58217 0.93378 0.42418
-123 0.53551 1.02857 0.43136
-119 0.48272 1.11722 0.43802
-115 0.42412 1.19783 0.44307
-111 0.36033 1.26868 0.44812
-107 0.29222 1.32824 0.44896
-102 0.22084 1.37522 0.44891
-98 0.14744 1.40859 0.44624
-94 0.07334 1.42760 0.43985
-90 0.00000 1.43180 0.43346
-86 -0.07334 1.42760 0.42140
-82 -0.14744 1.40859 0.40935
-78 -0.22084 1.37522 0.39421
-73 -0.29222 1.32824 0.37688
-69 -0.36033 1.26868 0.35898
-65 -0.42412 1.19783 0.33828
-61 -0.48272 1.11722 0.31758
-57 -0.53551 1.02857 0.29606
-53 -0.58217 0.93378 0.27429
-49 -0.62270 0.83488 0.25266
-44 -0.65755 0.73395 0.23132
-40 -0.68771 0.63316 0.20998
-36 -0.71492 0.53463 0.14764
-32 -0.74199 0.44047 0.08226
-28 -0.98951 0.24420 0.04982
-24 -1.01785 0.17196 0.02366
-20 -1.00866 0.11635 0.00458
-18 -0.98861 0.09419 -0.00164
-16 -0.95913 0.07526 -0.00556
-14 -0.92258 0.05896 -0.00742
-12 -0.88497 0.04474 -0.00768
-10 -0.84005 0.03225 -0.00906
 -8 -0.72044 0.02225 -0.02080
 -6 -0.47970 0.01638 -0.04377
 -4 -0.19797 0.01362 -0.06476
 -2 0.07677 0.01244 -0.07948
 -1 0.21043 0.01219 -0.08519
  0 0.34208 0.01209 -0.09016
  1 0.47197 0.01212 -0.09457
  2 0.60018 0.01226 -0.09852
  3 0.72666 0.01251 -0.10206
  4 0.85130 0.01287 -0.10522
  5 0.97381 0.01334 -0.10799
  6 1.09380 0.01393 -0.11035
  7 1.21074 0.01466 -0.11226
  8 1.32383 0.01556 -0.11362
  9 1.43160 0.01667 -0.11429
 10 1.53211 0.01807 -0.11408
 11 1.62232 0.01987 -0.11271
 12 1.69858 0.02232 -0.11013
 13 1.75699 0.02589 -0.10679
 14 1.78692 0.03161 -0.10305
 15 1.77118 0.04143 -0.09968
 16 1.70367 0.05695 -0.09818
 18 1.51255 0.10004 -0.10392
 20 1.38638 0.14436 -0.11544
 24 1.24678 0.23218 -0.14092
 28 1.15180 0.32848 -0.16815
 32 1.05999 0.44047 -0.19573
 36 1.02132 0.53463 -0.21910
 40 0.98244 0.63316 -0.24224
 44 0.93935 0.73395 -0.26231
 49 0.88957 0.83488 -0.28238
 53 0.83167 0.93378 -0.30133
 57 0.76502 1.02857 -0.31969
 61 0.68960 1.11722 -0.33762
 65 0.60588 1.19783 -0.35420
 69 0.51475 1.26868 -0.37079
 73 0.41745 1.32824 -0.38524
 78 0.31549 1.37522 -0.39925
 82 0.21062 1.40859 -0.41192
 86 0.10477 1.42760 -0.42269
 90 0.00000 1.43180 -0.43346
 94 -0.07334 1.42760 -0.43985
 98 -0.14744 1.40859 -0.44624
102 -0.22084 1.37522 -0.44891
107 -0.29222 1.32824 -0.44896
111 -0.36033 1.26868 -0.44812
115 -0.42412 1.19783 -0.44307
119 -0.48272 1.11722 -0.43802
123 -0.53551 1.02857 -0.43136
127 -0.58217 0.93378 -0.42418
131 -0.62270 0.83488 -0.41782
136 -0.65755 0.73395 -0.41305
140 -0.68771 0.63316 -0.40827
144 -0.71492 0.53463 -0.40506
148 -0.74199 0.44047 -0.40197
150 -0.68899 0.39111 -0.39840
153 -0.63599 0.34400 -0.38179
155 -0.58299 0.29945 -0.36518
157 -0.53000 0.25775 -0.34857
159 -0.47700 0.21916 -0.33196
162 -0.42400 0.18394 -0.35733
164 -0.37100 0.15230 -0.39669
166 -0.31800 0.12446 -0.43604
169 -0.26500 0.10059 -0.47540
171 -0.21200 0.08085 -0.45714
173 -0.15900 0.06536 -0.34286
175 -0.10600 0.05423 -0.22857
178 -0.05300 0.04752 -0.11429
180 0.00000 0.04528 0.00000
