 alpha    c_a    c_d    c_m
-180 0.00000 0.27061 0.00000
-178 0.03616 0.27196 0.06294
-175 0.07233 0.27603 0.12587
-173 0.10849 0.28277 0.18881
-171 0.14466 0.29214 0.25175
-169 0.18082 0.30408 0.26302
-166 0.21698 0.31852 0.24330
-164 0.25315 0.33536 0.22358
-162 0.28931 0.35448 0.20386
-159 0.32547 0.37576 0.19183
-157 0.36164 0.39906 0.20289
-155 0.39780 0.42423 0.21396
-153 0.43397 0.45109 0.22502
-150 0.47013 0.47948 0.23608
-148 0.50629 0.50920 0.23822
-144 0.48149 0.56581 0.23978
-140 0.45803 0.62492 0.24141
-136 0.43381 0.68522 0.24393
-131 0.40750 0.74539 0.24645
-127 0.37832 0.80412 0.25013
-123 0.34589 0.86009 0.25444
-119 0.31013 0.91207 0.25849
-115 0.27118 0.95889 0.26174
-111 0.22940 0.99948 0.26499
-107 0.18530 1.03292 0.26582
-102 0.13952 1.05841 0.26613
-98 0.09281 1.07533 0.26488
-94 0.04600 1.08323 0.26140
-90 0.00000 1.08186 0.25793
-86 -0.04600 1.08323 0.25291
-82 -0.09281 1.07533 0.24789
-78 -0.13952 1.05841 0.24082
-73 -0.18530 1.03292 0.23230
-69 -0.22940 0.99948 0.22338
-65 -0.27118 0.95889 0.21248
-61 -0.31013 0.91207 0.20158
-57 -0.34589 0.86009 0.19000
-53 -0.37832 0.80412 0.17820
-49 -0.40750 0.74539 0.16650
-44 -0.43381 0.68522 0.15499
-40 -0.45803 0.62492 0.14347
-36 -0.48149 0.56581 0.09618
-32 -0.50629 0.50920 0.04623
-28 -0.51782 0.37697 0.02927
-24 -0.50462 0.32879 0.01340
-20 -0.47051 0.28951 0.00007
-18 -0.44463 0.27310 -0.00535
-16 -0.41342 0.25864 -0.00977
-14 -0.37810 0.24604 -0.01300
-12 -0.33909 0.23508 -0.01497
-10 -0.29785 0.22555 -0.01572
 -8 -0.26095 0.21716 -0.01493
 -6 -0.23536 0.20964 -0.01256
 -4 -0.15935 0.20383 -0.01848
 -2 0.02685 0.20101 -0.03686
 -1 0.13568 0.20032 -0.04685
  0 0.24520 0.19992 -0.05615
  1 0.35256 0.19975 -0.06441
  2 0.45643 0.19978 -0.07154
  3 0.55619 0.19997 -0.07753
  4 0.65151 0.20033 -0.08247
  5 0.74207 0.20085 -0.08644
  6 0.82722 0.20155 -0.08944
  7 0.90528 0.20250 -0.09136
  8 0.97384 0.20380 -0.09204
  9 1.02891 0.20567 -0.09133
 10 1.06629 0.20857 -0.08954
 11 1.07324 0.21362 -0.08691
 12 1.02726 0.22340 -0.08439
 13 0.93571 0.23893 -0.08402
 14 0.85166 0.25616 -0.08616
 15 0.79363 0.27262 -0.08952
 16 0.75487 0.28826 -0.09325
 18 0.71068 0.31771 -0.10065
 20 0.69168 0.34557 -0.10767
 24 0.69216 0.39886 -0.12098
 28 0.70586 0.45242 -0.13399
 32 0.72328 0.50920 -0.14801
 36 0.68784 0.56581 -0.15868
 40 0.65434 0.62492 -0.16928
 44 0.61973 0.68522 -0.17890
 49 0.58214 0.74539 -0.18851
 53 0.54045 0.80412 -0.19769
 57 0.49413 0.86009 -0.20665
 61 0.44304 0.91207 -0.21536
 65 0.38740 0.95889 -0.22330
 69 0.32771 0.99948 -0.23124
 73 0.26471 1.03292 -0.23782
 78 0.19931 1.05841 -0.24411
 82 0.13258 1.07533 -0.24954
 86 0.06572 1.08323 -0.25373
 90 0.00000 1.08186 -0.25793
 94 -0.04600 1.08323 -0.26140
 98 -0.09281 1.07533 -0.26488
102 -0.13952 1.05841 -0.26613
107 -0.18530 1.03292 -0.26582
111 -0.22940 0.99948 -0.26499
115 -0.27118 0.95889 -0.26174
119 -0.31013 0.91207 -0.25849
123 -0.34589 0.86009 -0.25444
127 -0.37832 0.80412 -0.25013
131 -0.40750 0.74539 -0.24645
136 -0.43381 0.68522 -0.24393
140 -0.45803 0.62492 -0.24141
144 -0.48149 0.56581 -0.23978
148 -0.50629 0.50920 -0.23822
150 -0.47013 0.47948 -0.23608
153 -0.43397 0.45109 -0.22502
155 -0.39780 0.42423 -0.21396
157 -0.36164 0.39906 -0.20289
159 -0.32547 0.37576 -0.19183
162 -0.28931 0.35448 -0.21566
164 -0.25315 0.33536 -0.25111
166 -0.21698 0.31852 -0.28657
169 -0.18082 0.30408 -0.32203
171 -0.14466 0.29214 -0.31469
173 -0.10849 0.28277 -0.23601
175 -0.07233 0.27603 -0.15734
178 -0.03616 0.27196 -0.07867
180 0.00000 0.27061 0.00000
