 alpha    c_a    c_d    c_m
-180 0.00000 0.05841 0.00000
-178 0.05395 0.06054 0.09143
-175 0.10789 0.06692 0.18286
-173 0.16184 0.07752 0.27429
-171 0.21578 0.09225 0.36571
-169 0.26973 0.11102 0.38959
-166 0.32367 0.13372 0.37293
-164 0.37762 0.16020 0.35628
-162 0.43156 0.19028 0.33962
-159 0.48551 0.22377 0.33121
-157 0.53945 0.26046 0.34755
-155 0.59340 0.30010 0.36389
-153 0.64734 0.34244 0.38024
-150 0.70129 0.38721 0.39658
-148 0.75523 0.43411 0.39883
-144 0.72090 0.52357 0.39928
-140 0.68798 0.61713 0.39988
-136 0.65338 0.71281 0.40261
-131 0.61519 0.80855 0.40534
-127 0.57231 0.90230 0.41012
-123 0.52419 0.99208 0.41597
-119 0.47073 1.07593 0.42145
-115 0.41220 1.15206 0.42573
-111 0.34914 1.21883 0.43001
-107 0.28235 1.27476 0.43048
-102 0.21283 1.31864 0.43015
-98 0.14173 1.34948 0.42737
-94 0.07033 1.36658 0.42111
-90 0.00000 1.36950 0.41485
-86 -0.07033 1.36658 0.40375
-82 -0.14173 1.34948 0.39265
-78 -0.21283 1.31864 0.37860
-73 -0.28235 1.27476 0.36248
-69 -0.34914 1.21883 0.34581
-65 -0.41220 1.15206 0.32652
-61 -0.47073 1.07593 0.30723
-57 -0.52419 0.99208 0.28722
-53 -0.57231 0.90230 0.26697
-49 -0.61519 0.80855 0.24688
-44 -0.65338 0.71281 0.22708
-40 -0.68798 0.61713 0.20728
-36 -0.72090 0.52357 0.14378
-32 -0.75523 0.43411 0.07705
-28 -0.96945 0.24767 0.04906
-24 -0.97085 0.18002 0.02489
-20 -0.94685 0.12491 0.00613
-18 -0.92281 0.10222 -0.00052
-16 -0.89083 0.08262 -0.00505
-14 -0.85216 0.06567 -0.00752
-12 -0.81050 0.05090 -0.00814
-10 -0.77196 0.03796 -0.00751
 -8 -0.70184 0.02684 -0.01222
 -6 -0.50740 0.01929 -0.03210
 -4 -0.22587 0.01549 -0.05710
 -2 0.06151 0.01381 -0.07648
 -1 0.20083 0.01342 -0.08395
  0 0.33727 0.01324 -0.09032
  1 0.47118 0.01322 -0.09584
  2 0.60280 0.01333 -0.10069
  3 0.73221 0.01357 -0.10497
  4 0.85937 0.01392 -0.10876
  5 0.98401 0.01440 -0.11205
  6 1.10571 0.01501 -0.11484
  7 1.22392 0.01578 -0.11708
  8 1.33759 0.01674 -0.11865
  9 1.44497 0.01793 -0.11940
 10 1.54354 0.01945 -0.11905
 11 1.62974 0.02148 -0.11734
 12 1.69962 0.02431 -0.11436
 13 1.74832 0.02857 -0.11068
 14 1.76278 0.03558 -0.10674
 15 1.72603 0.04754 -0.10366
 16 1.64035 0.06551 -0.10304
 18 1.44369 0.11136 -0.11053
 20 1.32289 0.15691 -0.12264
 24 1.20316 0.24397 -0.14731
 28 1.13864 0.33419 -0.17211
 32 1.07891 0.43411 -0.19708
 36 1.02986 0.52357 -0.21865
 40 0.98282 0.61713 -0.24000
 44 0.93339 0.71281 -0.25826
 49 0.87885 0.80855 -0.27651
 53 0.81759 0.90230 -0.29377
 57 0.74884 0.99208 -0.31051
 61 0.67247 1.07593 -0.32687
 65 0.58885 1.15206 -0.34209
 69 0.49877 1.21883 -0.35730
 73 0.40335 1.27476 -0.37059
 78 0.30404 1.31864 -0.38348
 82 0.20246 1.34948 -0.39512
 86 0.10047 1.36658 -0.40499
 90 0.00000 1.36950 -0.41485
 94 -0.07033 1.36658 -0.42111
 98 -0.14173 1.34948 -0.42737
102 -0.21283 1.31864 -0.43015
107 -0.28235 1.27476 -0.43048
111 -0.34914 1.21883 -0.43001
115 -0.41220 1.15206 -0.42573
119 -0.47073 1.07593 -0.42145
123 -0.52419 0.99208 -0.41597
127 -0.57231 0.90230 -0.41012
131 -0.61519 0.80855 -0.40534
136 -0.65338 0.71281 -0.40261
140 -0.68798 0.61713 -0.39988
144 -0.72090 0.52357 -0.39928
148 -0.75523 0.43411 -0.39883
150 -0.70129 0.38721 -0.39658
153 -0.64734 0.34244 -0.38024
155 -0.59340 0.30010 -0.36389
157 -0.53945 0.26046 -0.34755
159 -0.48551 0.22377 -0.33121
162 -0.43156 0.19028 -0.35676
164 -0.37762 0.16020 -0.39628
166 -0.32367 0.13372 -0.43579
169 -0.26973 0.11102 -0.47530
171 -0.21578 0.09225 -0.45714
173 -0.16184 0.07752 -0.34286
175 -0.10789 0.06692 -0.22857
178 -0.05395 0.06054 -0.11429
180 0.00000 0.05841 0.00000
