 alpha    c_a    c_d    c_m
-180 0.00000 0.05654 0.00000
-178 0.04975 0.05888 0.09143
-175 0.09950 0.06589 0.18286
-173 0.14924 0.07752 0.27429
-171 0.19899 0.09370 0.36571
-169 0.24874 0.11431 0.38829
-166 0.29849 0.13924 0.36954
-164 0.34824 0.16832 0.35080
-162 0.39799 0.20135 0.33206
-159 0.44774 0.23813 0.32219
-157 0.49748 0.27843 0.33893
-155 0.54723 0.32197 0.35566
-153 0.59698 0.36847 0.37240
-150 0.64673 0.41765 0.38914
-148 0.69648 0.46917 0.39517
-144 0.68310 0.56746 0.40335
-140 0.66685 0.67027 0.41154
-136 0.64546 0.77542 0.41993
-131 0.61757 0.88067 0.42833
-127 0.58242 0.98378 0.43725
-123 0.53975 1.08255 0.44646
-119 0.48970 1.17485 0.45489
-115 0.43272 1.25872 0.46090
-111 0.36952 1.33233 0.46691
-107 0.30108 1.39411 0.46806
-102 0.22854 1.44268 0.46821
-98 0.15321 1.47700 0.46551
-94 0.07652 1.49626 0.45878
-90 0.00000 1.50000 0.45206
-86 -0.07652 1.49626 0.43965
-82 -0.15321 1.47700 0.42725
-78 -0.22854 1.44268 0.41148
-73 -0.30108 1.39411 0.39335
-69 -0.36952 1.33233 0.37454
-65 -0.43272 1.25872 0.35253
-61 -0.48970 1.17485 0.33051
-57 -0.53975 1.08255 0.30735
-53 -0.58242 0.98378 0.28383
-49 -0.61757 0.88067 0.26037
-44 -0.64546 0.77542 0.23706
-40 -0.66685 0.67027 0.21375
-36 -0.68310 0.56746 0.15642
-32 -0.69648 0.46917 0.09656
-28 -0.80938 0.30962 0.06564
-24 -1.07087 0.16129 0.02243
-20 -1.12048 0.09998 0.00027
-18 -1.11177 0.07847 -0.00538
-16 -1.08946 0.06060 -0.00842
-14 -1.06224 0.04523 -0.00986
-12 -1.02035 0.03152 -0.01375
-10 -0.89631 0.02090 -0.02691
 -8 -0.67415 0.01487 -0.04527
 -6 -0.41198 0.01206 -0.06126
 -4 -0.15247 0.01080 -0.07211
 -2 0.10232 0.01029 -0.08023
 -1 0.22833 0.01021 -0.08371
  0 0.35342 0.01022 -0.08691
  1 0.47757 0.01033 -0.08986
  2 0.60066 0.01052 -0.09258
  3 0.72253 0.01080 -0.09507
  4 0.84296 0.01117 -0.09732
  5 0.96170 0.01164 -0.09932
  6 1.07842 0.01222 -0.10105
  7 1.19253 0.01293 -0.10246
  8 1.30362 0.01380 -0.10349
  9 1.41052 0.01485 -0.10406
 10 1.51178 0.01615 -0.10402
 11 1.60518 0.01781 -0.10323
 12 1.68733 0.02002 -0.10155
 13 1.75332 0.02320 -0.09914
 14 1.79165 0.02841 -0.09628
 15 1.78139 0.03773 -0.09343
 16 1.72035 0.05240 -0.09198
 18 1.56157 0.09047 -0.09596
 20 1.46006 0.12909 -0.10507
 24 1.32856 0.21026 -0.12849
 28 1.18000 0.31626 -0.15993
 32 0.99497 0.46917 -0.19463
 36 0.97586 0.56746 -0.22005
 40 0.95264 0.67027 -0.24525
 44 0.92209 0.77542 -0.26760
 49 0.88224 0.88067 -0.28995
 53 0.83202 0.98378 -0.31093
 57 0.77107 1.08255 -0.33119
 61 0.69957 1.17485 -0.35088
 65 0.61816 1.25872 -0.36877
 69 0.52789 1.33233 -0.38667
 73 0.43011 1.39411 -0.40195
 78 0.32648 1.44268 -0.41669
 82 0.21887 1.47700 -0.42991
 86 0.10932 1.49626 -0.44098
 90 0.00000 1.50000 -0.45206
 94 -0.07652 1.49626 -0.45878
 98 -0.15321 1.47700 -0.46551
102 -0.22854 1.44268 -0.46821
107 -0.30108 1.39411 -0.46806
111 -0.36952 1.33233 -0.46691
115 -0.43272 1.25872 -0.46090
119 -0.48970 1.17485 -0.45489
123 -0.53975 1.08255 -0.44646
127 -0.58242 0.98378 -0.43725
131 -0.61757 0.88067 -0.42833
136 -0.64546 0.77542 -0.41993
140 -0.66685 0.67027 -0.41154
144 -0.68310 0.56746 -0.40335
148 -0.69648 0.46917 -0.39517
150 -0.64673 0.41765 -0.38914
153 -0.59698 0.36847 -0.37240
155 -0.54723 0.32197 -0.35566
157 -0.49748 0.27843 -0.33893
159 -0.44774 0.23813 -0.32219
162 -0.39799 0.20135 -0.34920
164 -0.34824 0.16832 -0.39080
166 -0.29849 0.13924 -0.43240
169 -0.24874 0.11431 -0.47400
171 -0.19899 0.09370 -0.45714
173 -0.14924 0.07752 -0.34286
175 -0.09950 0.06589 -0.22857
178 -0.04975 0.05888 -0.11429
180 0.00000 0.05654 0.00000
