1 FFA-W3 family airfoil data for 10 MW sized rotor, computed using EllipSys2D v16.0, fully turbulent flow, 360 deg extrapolated using AirfoilPreppy, no 3D correction. F Zahle, DTU Wind Energy 11 May 2017
7
1 120 21.100000 FFA-W3-211  (Re=1.00e+07)
 -1.800000000000000e+02   0.000000000000000e+00   7.980487519619903e-02   0.000000000000000e+00 
 -1.777142857142857e+02   4.771349999999976e-02   8.212730525339500e-02   9.142857142857111e-02 
 -1.754285714285714e+02   9.542700000000004e-02   8.907955970875690e-02   1.828571428571434e-01 
 -1.731428571428571e+02   1.431404999999998e-01   1.006164818294557e-01   2.742857142857145e-01 
 -1.708571428571429e+02   1.908540000000001e-01   1.166631555334801e-01   3.657142857142855e-01 
 -1.685714285714286e+02   2.385674999999999e-01   1.371153698492205e-01   3.870731128696838e-01 
 -1.662857142857143e+02   2.862809999999996e-01   1.618402853221947e-01   3.663900934611778e-01 
 -1.640000000000000e+02   3.339944999999999e-01   1.906772835225660e-01   3.457070740526716e-01 
 -1.617142857142857e+02   3.817079999999997e-01   2.234389942415904e-01   3.250240546441656e-01 
 -1.594285714285714e+02   4.294215000000000e-01   2.599124938330830e-01   3.136550246161587e-01 
 -1.571428571428572e+02   4.771349999999998e-01   2.998606670655776e-01   3.302279627296492e-01 
 -1.548571428571429e+02   5.248484999999999e-01   3.430237238090619e-01   3.468009008431399e-01 
 -1.525714285714286e+02   5.725619999999997e-01   3.891208608935544e-01   3.633738389566305e-01 
 -1.502857142857143e+02   6.202755000000000e-01   4.378520585517217e-01   3.799467770701213e-01 
 -1.480000000000000e+02   6.679889999999997e-01   4.889000000000000e-01   3.868784748286256e-01 
 -1.438571428571429e+02   6.598894629384439e-01   5.862433947003128e-01   3.969457844239989e-01 
 -1.397142857142857e+02   6.479589347039720e-01   6.880140740790285e-01   4.069804599076598e-01 
 -1.355714285714286e+02   6.301722130319429e-01   7.920315687327159e-01   4.165745748832052e-01 
 -1.314285714285714e+02   6.053104295681745e-01   8.960635245128644e-01   4.261686898587504e-01 
 -1.272857142857143e+02   5.727353004773862e-01   9.978726241736972e-01   4.358212460226215e-01 
 -1.231428571428572e+02   5.322586669811395e-01   1.095263636991265e+00   4.455045607066639e-01 
 -1.190000000000000e+02   4.840598232733875e-01   1.186129612333886e+00   4.543180135729074e-01 
 -1.148571428571429e+02   4.286274220841264e-01   1.268496250917289e+00   4.603976150117828e-01 
 -1.107142857142857e+02   3.667140205441988e-01   1.340563525413436e+00   4.664772164506581e-01 
 -1.065714285714286e+02   2.992969243292407e-01   1.400743679408365e+00   4.675263721532661e-01 
 -1.024285714285714e+02   2.275419349089204e-01   1.447694809225390e+00   4.675275183274851e-01 
 -9.828571428571428e+01   1.527682422343188e-01   1.480349325269337e+00   4.646569068476682e-01 
 -9.414285714285715e+01   7.641366166511095e-02   1.497936696382149e+00   4.577179720246339e-01 
 -9.000000000000000e+01   6.938893903907228e-17   1.500000000000000e+00   4.507790372015996e-01 
 -8.585714285714286e+01  -7.641366166511070e-02   1.497936696382149e+00   4.389625731361529e-01 
 -8.171428571428572e+01  -1.527682422343188e-01   1.480349325269337e+00   4.271461090707063e-01 
 -7.757142857142857e+01  -2.275419349089201e-01   1.447694809225389e+00   4.118705198989618e-01 
 -7.342857142857143e+01  -2.992969243292404e-01   1.400743679408366e+00   3.941531953580659e-01 
 -6.928571428571428e+01  -3.667140205441988e-01   1.340563525413436e+00   3.757228908149045e-01 
 -6.514285714285714e+01  -4.286274220841262e-01   1.268496250917289e+00   3.538702822608683e-01 
 -6.100000000000000e+01  -4.840598232733875e-01   1.186129612333886e+00   3.320176737068322e-01 
 -5.685714285714285e+01  -5.322586669811394e-01   1.095263636991265e+00   3.088065814565187e-01 
 -5.271428571428572e+01  -5.727353004773862e-01   9.978726241736972e-01   2.851632443937535e-01 
 -4.857142857142857e+01  -6.053104295681743e-01   8.960635245128650e-01   2.615202135576741e-01 
 -4.442857142857142e+01  -6.301722130319429e-01   7.920315687327159e-01   2.378777645522981e-01 
 -4.028571428571428e+01  -6.479589347039720e-01   6.880140740790288e-01   2.142353155469222e-01 
 -3.614285714285714e+01  -6.598894629384439e-01   5.862433947003126e-01   1.594655223723212e-01 
 -3.200000000000000e+01  -6.679890000000001e-01   4.889000000000000e-01   1.023900000000000e-01 
 -2.800000000000000e+01  -5.923900000000000e-01   3.871700000000000e-01   8.259200000000000e-02 
 -2.400000000000000e+01  -1.079600000000000e+00   1.584900000000000e-01   2.319700000000005e-02 
 -2.000000000000000e+01  -1.173800000000000e+00   9.193200000000000e-02  -1.746000000000001e-03 
 -1.800000000000000e+01  -1.172300000000000e+00   7.052500000000000e-02  -7.253500000000000e-03 
 -1.600000000000000e+01  -1.155200000000000e+00   5.307000000000000e-02  -9.979999999999999e-03 
 -1.400000000000000e+01  -1.135300000000000e+00   3.797400000000000e-02  -1.163500000000000e-02 
 -1.200000000000000e+01  -1.082100000000000e+00   2.420800000000000e-02  -1.986899999999999e-02 
 -1.000000000000000e+01  -8.845700000000000e-01   1.528800000000000e-02  -4.183600000000000e-02 
 -8.000000000000000e+00  -6.333800000000001e-01   1.194900000000000e-02  -5.635200000000000e-02 
 -6.000000000000001e+00  -3.827700000000000e-01   1.043000000000000e-02  -6.545800000000000e-02 
 -4.000000000000000e+00  -1.337000000000000e-01   9.662799999999999e-03  -7.252200000000000e-02 
 -2.000000000000000e+00   1.138700000000000e-01   9.352700000000000e-03  -7.855300000000000e-02 
